src word,tgt word,src slot,tgt slot,src apertium tags,tgt apertium tags,annotation
prisade,priset,2_11,2_4,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,n;nt;sg;def - n;nt;sg;def;compound-R - n;nt;sg;def - n;nt;sg;def;compound-R,POS_PAIR_ERROR
dricka,dricker,0_0,0_8,verb;inf;actv - n;nt;sg;ind - n;ut;sg;ind - n;nt;sg;ind;compound-R - n;ut;sg;ind;compound-R - n;nt;sg;ind;cmp;compound-only-L,verb;pres;actv,C
utvalde,utvald,0_5,0_2,verb;past;actv - adj;sint;pst;m;sg;def - adj;pp;m;sg;def,adj;sint;pst;ut;sg;ind - adj;pp;ut;sg;ind,C
förseglet,förseglat,2_4,2_5,n;nt;sg;def - n;nt;sg;def;compound-R,verb;supn;actv - adj;pp;nt;sg;ind,POS_PAIR_ERROR
överhet,överheten,1_1,1_7,n;ut;sg;ind - n;ut;sg;ind;compound-R,n;ut;sg;def - n;ut;sg;def;compound-R,C
skriven,skrivet,0_6,0_2,adj;pp;ut;sg;ind,adj;pp;nt;sg;ind,C
öppnade,öppnat,2_11,2_5,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,verb;supn;actv - adj;pp;nt;sg;ind,C
utropar,utropade,2_9,2_11,verb;pres;actv - n;ut;sg;ind;cmp;compound-only-L,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,C
räknade,räknen,2_11,2_14,,,TGT_LEXICAL_ERROR
bespottade,bespotta,2_11,2_12,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,verb;imp - verb;inf;actv,C
fördärvare,fördärvar,2_1,2_9,,,SRC_LEXICAL_ERROR
bort,bor,0_10,0_2,adv; - verb;supn;actv,verb;pres;actv - n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,PARADIGM_ERROR
arglistige,arglistigt,0_5,0_10,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
Sofar,Sofa,2_9,2_12,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
följen,följas,0_6,0_11,n;nt;pl;ind - n;nt;pl;ind;compound-R,verb;inf;pasv,POS_PAIR_ERROR
jämnar,jämnad,2_9,2_3,verb;pres;actv,adj;pp;ut;sg;ind,POS_PAIR_ERROR
Ara,Ard,0_0,0_5,,,SRC_LEXICAL_ERROR
ladan,lador,0_2,0_13,n;ut;sg;def - n;ut;sg;def;compound-R,n;ut;pl;ind - n;ut;pl;ind;compound-R,C
klokare,kloke,0_12,0_5,adj;sint;comp;un;sp,adj;sint;pst;m;sg;def,C
beröven,berövar,2_14,2_9,,,SRC_LEXICAL_ERROR
fastare,fastade,2_1,2_11,adj;sint;comp;un;sp,verb;past;actv,POS_PAIR_ERROR
Suf,Sufa,0_2,0_0,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
förunnade,förunna,2_11,2_12,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,verb;imp - verb;inf;actv,C
viljas,viljen,0_11,0_6,,,TGT_LEXICAL_ERROR
rota,rota,2_12,2_12,verb;imp - verb;inf;actv - verb;inf;actv;cmp;compound-only-L,verb;imp - verb;inf;actv - verb;inf;actv;cmp;compound-only-L,C
bitter,bittert,0_2,0_10,adj;sint;pst;ut;sg;ind,adj;sint;pst;nt;sg;ind,C
höge,högt,0_5,0_10,adj;sint;pst;m;sg;def,adj;sint;pst;nt;sg;ind,C
meddelat,meddelas,2_5,2_7,verb;supn;actv,verb;inf;pasv - verb;pres;pasv,C
undervisas,undervisa,2_7,2_12,verb;inf;pasv - verb;pres;pasv,verb;imp - verb;inf;actv,C
vän,vände,0_2,0_1,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L - adj;sint;pst;ut;sg;ind,verb;past;actv - adj;pp;m;sg;def - n;ut;sg;ind;cmp;compound-only-L,PARADIGM_ERROR
lovsången,lovsångs,1_7,1_2,n;ut;sg;def - n;ut;sg;def;compound-R,n;ut;sg;ind;gen - n;ut;sg;ind;gen;compound-R - n;ut;sg;ind;cmp;compound-only-L,C
ogudaktigt,ogudaktigare,0_10,0_12,adj;sint;pst;nt;sg;ind,adj;sint;comp;un;sp,C
stången,stångar,2_14,2_9,n;ut;sg;def - n;ut;sg;def;compound-R,verb;pres;actv,POS_PAIR_ERROR
uppfylle,uppfyllen,0_5,0_6,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
Ordet,Ord,1_8,1_1,n;nt;sg;def - n;nt;sg;def;compound-R,n;nt;sg;ind - n;nt;pl;ind - n;nt;sg;ind;compound-R - n;nt;pl;ind;compound-R - n;nt;sg;ind;cmp;compound-only-L,C
förhärda,förhärdad,2_12,2_3,verb;imp - verb;inf;actv,adj;pp;ut;sg;ind,POS_PAIR_ERROR
ofärden,ofärds,1_7,1_2,n;ut;sg;def - n;ut;sg;def;compound-R,n;ut;sg;ind;gen - n;ut;sg;ind;gen;compound-R - n;ut;sg;ind;cmp;compound-only-L,C
tages,tagit,0_3,0_14,verb;prs;pasv - verb;pres;pasv,verb;supn;actv,C
gång,gångerna,1_1,1_5,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,n;ut;pl;def - n;ut;pl;def;compound-R,C
frommas,fromme,0_11,0_5,adj;sint;pst;un;pl;ind;gen - adj;sint;pst;un;pl;def;gen - adj;sint;pst;fn;sg;def;gen,adj;sint;pst;m;sg;def,C
höljes,hölje,0_3,0_5,n;nt;sg;ind;gen - n;nt;sg;ind;gen;compound-R - verb;pres;pasv,n;nt;sg;ind - n;nt;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,C
fläck,fläckar,2_2,2_9,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L - verb;inf;actv;cmp;compound-only-L,verb;pres;actv - n;ut;pl;ind - n;ut;pl;ind;compound-R,C
trötta,trött,0_0,0_2,verb;imp - verb;inf;actv - adj;sint;pst;un;pl;ind - adj;sint;pst;un;pl;def - adj;sint;pst;fn;sg;def,adj;sint;pst;nt;sg;ind - adj;sint;pst;ut;sg;ind - verb;inf;actv;cmp;compound-only-L,C
anklagad,anklagade,2_3,2_11,adj;pp;ut;sg;ind,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,C
invig,invigas,0_2,0_11,verb;imp - verb;inf;actv;cmp;compound-only-L,verb;inf;pasv,C
framställa,framställa,0_0,0_0,verb;inf;actv,verb;inf;actv,C
framställa,framställda,0_0,0_0,verb;inf;actv,adj;pp;pl;ind - adj;pp;pl;def - adj;pp;fn;sg;def,POS_PAIR_ERROR
salar,sal,1_0,1_1,verb;pres;actv - n;ut;pl;ind - n;ut;pl;ind;compound-R,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L - verb;inf;actv;cmp;compound-only-L,C
mågar,måg,2_9,2_2,n;ut;pl;ind - n;ut;pl;ind;compound-R,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,C
räckt,räck,0_10,0_2,verb;supn;actv - adj;pp;nt;sg;ind - adj;pp;ut;sg;ind,verb;imp - n;nt;sg;ind - n;nt;pl;ind - n;nt;sg;ind;compound-R - n;nt;pl;ind;compound-R - n;nt;sg;ind;cmp;compound-only-L - n;ut;sg;ind;cmp - verb;inf;actv;cmp;compound-only-L - n;ut;sg;ind;cmp;compound-only-L,C
Jojakims,Jojakim,1_2,1_1,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
vilar,vilen,2_9,2_14,,,TGT_LEXICAL_ERROR
spetälsk,spetälske,0_2,0_5,adj;sint;pst;ut;sg;ind,adj;sint;pst;m;sg;def,C
Svara,Svarar,2_12,2_9,verb;imp - verb;inf;actv,verb;pres;actv,C
kalva,kalv,2_12,2_2,verb;imp - verb;inf;actv - verb;inf;actv;cmp;compound-only-L,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,POS_PAIR_ERROR
döden,dödas,2_14,2_7,n;ut;sg;def - n;ut;sg;def;compound-R,adj;sint;pst;un;pl;ind;gen - adj;sint;pst;un;pl;def;gen - adj;sint;pst;fn;sg;def;gen - verb;inf;pasv - verb;pres;pasv,POS_PAIR_ERROR
gynnsam,gynnsamt,0_2,0_10,adj;sint;pst;ut;sg;ind,adj;sint;pst;nt;sg;ind,C
förjagar,förjagat,2_9,2_5,verb;pres;actv,verb;supn;actv - adj;pp;nt;sg;ind,C
inför,införa,0_2,0_0,pr; - verb;imp - verb;pres;actv - verb;inf;actv;cmp;compound-only-L,verb;inf;actv,C
tavlor,tavla,0_13,0_0,n;ut;pl;ind - n;ut;pl;ind;compound-R,n;ut;sg;ind - n;ut;sg;ind;compound-R,C
doppade,doppa,2_11,2_12,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,verb;imp - verb;inf;actv,C
Teba,Tebet,0_0,0_2,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
pölen,pöl,1_7,1_1,n;ut;sg;def - n;ut;sg;def;compound-R,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,C
kamelston,kamelsto,0_6,0_2,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ar,art,0_2,0_10,n;un;sg;ind - n;un;pl;ind,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,PARADIGM_ERROR
utmarker,utmark,1_0,1_1,n;ut;pl;ind - n;ut;pl;ind;compound-R,n;ut;sg;ind - n;ut;sg;ind;compound-R,C
okändes,okända,0_3,0_0,adj;sint;pst;m;sg;def;gen,adj;sint;pst;un;pl;ind - adj;sint;pst;un;pl;def - adj;sint;pst;fn;sg;def,C
gårdar,gården,1_0,1_7,n;ut;pl;ind - n;ut;pl;ind;compound-R,n;ut;sg;def - n;ut;sg;def;compound-R,C
tro,tror,0_15,0_13,verb;imp - verb;inf;actv - n;ut;sg;ind - n;ut;sg;ind;compound-R - verb;inf;actv;cmp;compound-only-L,verb;pres;actv,C
hanne,hannar,1_1,1_0,n;ut;sg;ind - n;ut;sg;ind;compound-R,n;ut;pl;ind - n;ut;pl;ind;compound-R,C
veten,vette,0_6,0_1,,,SRC_LEXICAL_ERROR
efterlämnade,efterlämnade,2_11,2_11,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,C
förstör,förstörare,0_2,0_12,,,TGT_LEXICAL_ERROR
härs,härd,0_4,0_5,n;ut;sg;ind;gen - n;ut;sg;ind;gen;compound-R - n;ut;sg;ind;cmp;compound-only-L,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L - verb;inf;actv;cmp;compound-only-L,PARADIGM_ERROR
förgäten,förgätet,0_6,0_2,adj;pp;ut;sg;ind,adj;pp;nt;sg;ind,C
sönderslaget,sönderslagen,1_8,1_7,adj;pp;nt;sg;ind,adj;pp;ut;sg;ind,C
tala,tal,2_12,2_2,verb;imp - verb;inf;actv,n;nt;sg;ind - n;nt;pl;ind - n;nt;sg;ind;compound-R - n;nt;sg;ind;cmp;compound-only-L - verb;inf;actv;cmp;compound-only-L,C
övergivet,övergivit,0_2,0_14,adj;pp;nt;sg;ind - adj;sint;pst;nt;sg;ind,verb;supn;actv,POS_PAIR_ERROR
Kenaana,Kenaanas,0_0,0_11,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
steker,stekt,0_8,0_10,verb;pres;actv,verb;supn;actv - adj;pp;nt;sg;ind - adj;pp;ut;sg;ind,C
landshövdingen,landshövdingens,1_7,1_6,n;ut;sg;def - n;ut;sg;def;compound-R,n;ut;sg;def;gen - n;ut;sg;def;gen;compound-R,C
förstöra,förstörde,0_0,0_1,verb;inf;actv,verb;past;actv - adj;pst;un;pl;ind - adj;pst;un;pl;def - adj;pst;m;sg;def - adj;pst;fn;sg;def - adj;pp;m;sg;def,C
fläckat,fläckad,2_5,2_3,verb;supn;actv - adj;pp;nt;sg;ind,adj;pp;ut;sg;ind,C
både,bådat,2_15,2_5,adv; - cnjcoo; - n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,verb;supn;actv,POS_PAIR_ERROR
förhindra,förhindrar,2_12,2_9,verb;imp - verb;inf;actv - verb;inf;actv;cmp;compound-only-L,verb;pres;actv,C
sorgsen,sorgsen,1_7,1_7,adj;sint;pst;ut;sg;ind,adj;sint;pst;ut;sg;ind,C
bevisade,bevisas,2_11,2_7,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,verb;inf;pasv - verb;pres;pasv,C
förgätna,förgäte,0_0,0_5,adj;pp;pl;ind - adj;pp;pl;def - adj;pp;fn;sg;def,verb;prs;actv,POS_PAIR_ERROR
glada,glad,0_0,0_2,n;ut;sg;ind - adj;sint;pst;un;pl;ind - adj;sint;pst;un;pl;def - adj;sint;pst;fn;sg;def - n;ut;sg;ind;compound-R,n;nt;sg;ind - n;nt;pl;ind - n;nt;sg;ind;compound-R - n;nt;pl;ind;compound-R - n;nt;sg;ind;cmp;compound-only-L - adj;sint;pst;ut;sg;ind - n;ut;sg;ind;cmp - n;ut;sg;ind;cmp;compound-only-L,C
Vakna,Vaken,0_0,0_6,verb;imp - verb;inf;actv - verb;inf;actv;cmp;compound-only-L - adj;sint;pst;un;pl;ind - adj;sint;pst;un;pl;def - adj;sint;pst;fn;sg;def,n;ut;sg;def - n;ut;sg;def;compound-R - adj;sint;pst;ut;sg;ind,C
säg,sägas,0_2,0_11,verb;imp - verb;inf;actv;cmp;compound-only-L,verb;inf;pasv,C
äktat,äkta,2_5,2_12,verb;supn;actv - adj;pp;nt;sg;ind,verb;imp - verb;inf;actv - adj;pst;un;pl;ind - adj;pst;un;pl;def - adj;pst;nt;sg;ind - adj;pst;m;sg;def - adj;pst;fn;sg;def - adj;pst;ut;sg;ind,C
tukta,tuktade,2_12,2_11,verb;imp - verb;inf;actv,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,C
avgudabelätet,avgudabeläten,1_8,1_7,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
kalv,kalvarna,2_2,2_13,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,n;ut;pl;def - n;ut;pl;def;compound-R,C
skonat,skonar,2_5,2_9,verb;supn;actv - adj;pp;nt;sg;ind,verb;pres;actv - n;ut;sg;ind;cmp;compound-only-L,C
gäcka,gäckades,2_12,2_10,verb;imp - verb;inf;actv,verb;past;pasv - adj;pp;pl;ind;gen - adj;pp;pl;def;gen - adj;pp;m;sg;def;gen - adj;pp;fn;sg;def;gen - verb;past;pasv,C
vildåsna,vildåsna,0_0,0_0,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
använde,användas,0_5,0_11,verb;past;actv - adj;pp;m;sg;def,adj;pp;pl;ind;gen - adj;pp;pl;def;gen - adj;pp;fn;sg;def;gen - verb;inf;pasv,C
förstlingsbröd,förstlingsbröden,1_1,1_7,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
lämna,lämnade,2_12,2_11,verb;imp - verb;inf;actv,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,C
tvagna,tvaget,0_0,0_2,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
kalvar,kalv,2_9,2_2,verb;pres;actv - n;ut;pl;ind - n;ut;pl;ind;compound-R,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,C
tager,tages,0_8,0_3,verb;pres;actv,verb;prs;pasv - verb;pres;pasv,C
förgätas,förgätet,0_11,0_2,verb;inf;pasv,adj;pp;nt;sg;ind,POS_PAIR_ERROR
hädade,hädar,2_11,2_9,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,verb;pres;actv,C
tornets,torn,1_9,1_1,n;nt;sg;def;gen - n;nt;sg;def;gen;compound-R,n;nt;sg;ind - n;nt;pl;ind - n;ut;sg;ind - n;nt;sg;ind;compound-R - n;nt;pl;ind;compound-R - n;ut;sg;ind;compound-R - n;nt;sg;ind;cmp;compound-only-L - n;ut;sg;ind;cmp;compound-only-L - verb;inf;actv;cmp;compound-only-L,C
anklagat,anklagar,2_5,2_9,verb;supn;actv - adj;pp;nt;sg;ind,verb;pres;actv,C
agar,aga,2_9,2_12,verb;pres;actv,verb;imp - verb;inf;actv - n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,C
utpantning,utpantat,2_0,2_5,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
sänkte,sänkt,0_1,0_10,verb;past;actv - adj;pp;m;sg;def,verb;supn;actv - adj;pp;nt;sg;ind - adj;pp;ut;sg;ind,C
förfaren,förfar,0_6,0_2,adj;sint;pst;ut;sg;ind,verb;imp - verb;pres;actv - verb;inf;actv;cmp;compound-only-L,POS_PAIR_ERROR
åligga,åligger,0_0,0_8,verb;inf;actv,verb;pres;actv,C
Safira,Safirs,0_0,0_4,,,SRC_LEXICAL_ERROR
eggen,eggade,2_14,2_11,n;ut;sg;def - n;ut;sg;def;compound-R,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,POS_PAIR_ERROR
underkasta,underkastade,2_12,2_11,verb;imp - verb;inf;actv,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,C
människor,människa,0_13,0_0,n;ut;pl;ind - n;ut;pl;ind;compound-R,n;ut;sg;ind - n;ut;sg;ind;compound-R,C
förbittrade,förbittrad,2_11,2_3,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def - adj;pst;un;pl;ind - adj;pst;un;pl;def - adj;pst;m;sg;def - adj;pst;fn;sg;def,adj;pp;ut;sg;ind - adj;pst;ut;sg;ind,C
förtrampar,förtrampas,2_9,2_7,verb;pres;actv,verb;inf;pasv - verb;pres;pasv,C
förklarade,förklaras,2_11,2_7,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def - adj;pst;un;pl;ind - adj;pst;un;pl;def - adj;pst;m;sg;def - adj;pst;fn;sg;def,verb;inf;pasv - verb;pres;pasv,C
frågade,frågen,2_11,2_14,,,TGT_LEXICAL_ERROR
uppväckt,uppväcka,0_10,0_0,verb;supn;actv - adj;pp;nt;sg;ind - adj;pp;ut;sg;ind,verb;inf;actv,C
syr,syr,2_2,2_2,verb;pres;actv - verb;inf;actv;cmp;compound-only-L,verb;pres;actv - verb;inf;actv;cmp;compound-only-L,C
förhindrar,förhindrade,2_9,2_11,verb;pres;actv,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,C
redliges,redlige,0_3,0_5,adj;sint;pst;m;sg;def;gen,adj;sint;pst;m;sg;def,C
röda,rödare,0_0,0_12,adj;sint;pst;un;pl;ind - adj;sint;pst;un;pl;def - adj;sint;pst;fn;sg;def,adj;sint;comp;un;sp,C
samlen,samlar,2_14,2_9,,,SRC_LEXICAL_ERROR
brukat,brukade,2_5,2_11,verb;supn;actv - adj;pp;nt;sg;ind,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,C
helge,helgar,2_15,2_9,,,SRC_LEXICAL_ERROR
möten,möte,0_6,0_5,n;nt;pl;ind - n;nt;pl;ind;compound-R,n;nt;sg;ind - n;nt;sg;ind;compound-R,C
vänner,vännen,1_0,1_7,n;ut;pl;ind - n;ut;pl;ind;compound-R,n;ut;sg;def - n;ut;sg;def;compound-R,C
orsaken,orsak,1_7,1_1,n;ut;sg;def - n;ut;sg;def;compound-R,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L - verb;inf;actv;cmp;compound-only-L,C
säges,säge,0_3,0_5,,,TGT_LEXICAL_ERROR
hörda,hören,0_0,0_6,,,TGT_LEXICAL_ERROR
nacke,nacken,1_1,1_7,n;ut;sg;ind - n;ut;sg;ind;compound-R,n;ut;sg;def - n;ut;sg;def;compound-R,C
böjd,böjt,0_5,0_10,adj;pp;ut;sg;ind - adj;sint;pst;ut;sg;ind,verb;supn;actv - adj;pp;nt;sg;ind - adj;sint;pst;nt;sg;ind,C
sadlade,sadla,2_11,2_12,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,verb;imp - verb;inf;actv,C
nåds,nådens,1_2,1_6,n;ut;sg;ind;gen - n;ut;sg;ind;gen;compound-R - n;ut;sg;ind;cmp;compound-only-L,n;ut;sg;def;gen - n;ut;sg;def;gen;compound-R,C
fresten,frestade,2_14,2_11,,,SRC_LEXICAL_ERROR
undrade,undra,2_11,2_12,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,verb;imp - verb;inf;actv - verb;inf;actv;cmp;compound-only-L,C
snabba,snabb,0_0,0_2,adj;sint;pst;un;pl;ind - adj;sint;pst;un;pl;def - adj;sint;pst;fn;sg;def,adj;sint;pst;ut;sg;ind,C
renad,renat,2_3,2_5,adj;pp;ut;sg;ind,verb;supn;actv - n;un;sg;ind - n;un;sg;def - adj;pp;nt;sg;ind - n;un;sg;ind;compound-R - n;un;sg;def;compound-R - n;un;sg;ind;cmp;compound-only-L,C
månads,månader,1_2,1_0,n;ut;sg;ind;gen - n;ut;sg;ind;gen;compound-R - n;ut;sg;ind;cmp;compound-only-L,n;ut;pl;ind - n;ut;pl;ind;compound-R,C
fattas,fatten,2_7,2_14,,,TGT_LEXICAL_ERROR
upptage,upptaget,0_5,0_2,verb;prs;actv,n;nt;sg;def - adj;pp;nt;sg;ind - n;nt;sg;def;compound-R - adj;pp;nt;sg;ind - adj;sint;pst;nt;sg;ind,POS_PAIR_ERROR
fånga,fånge,2_12,2_15,verb;imp - verb;inf;actv,n;ut;sg;ind - n;ut;sg;ind;compound-R,POS_PAIR_ERROR
oxe,oxar,1_1,1_0,n;ut;sg;ind - n;ut;sg;ind;compound-R,n;ut;pl;ind - n;ut;pl;ind;compound-R,C
överflödade,överflöden,2_11,2_14,,,TGT_LEXICAL_ERROR
böjes,böjd,0_3,0_5,verb;pres;pasv,adj;pp;ut;sg;ind - adj;sint;pst;ut;sg;ind,POS_PAIR_ERROR
for,fore,0_2,0_5,verb;past;actv - n;ut;sg;ind;cmp - n;ut;sg;ind;cmp;compound-only-L,verb;pis;actv - n;ut;sg;ind;cmp;compound-only-L,C
skyl,skylas,0_2,0_11,verb;imp - n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L - verb;inf;actv;cmp;compound-only-L,verb;inf;pasv - verb;pres;pasv,C
törstande,törst,2_8,2_2,adj;pprs - n;nt;sg;ind - n;nt;sg;ind;compound-R - n;nt;sg;ind;cmp;compound-only-L,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L - verb;inf;actv;cmp;compound-only-L,PARADIGM_ERROR
tränga,trängde,0_0,0_1,verb;inf;actv,verb;past;actv - adj;pp;m;sg;def - adj;sint;pst;m;sg;def,C
