src word,tgt word,src slot,tgt slot,src apertium tags,tgt apertium tags,annotation
Angesichts,Angesicht,0_1,0_12,pr;gen - n;nt;sg;gen - n;nt;sg;cmp;compound-only-L - n;nt;sg;gen;lower - n;nt;sg;gen;lower;compound-R - n;nt;sg;lower;cmp;compound-only-L,n;nt;sg;nom - n;nt;sg;dat - n;nt;sg;acc - n;nt;sg;cmp;compound-only-L - n;nt;sg;nom;lower - n;nt;sg;dat;lower - n;nt;sg;acc;lower - n;nt;sg;nom;lower;compound-R - n;nt;sg;dat;lower;compound-R - n;nt;sg;acc;lower;compound-R - n;nt;sg;lower;cmp;compound-only-L,C
klaget,klagt,0_9,0_6,verb;prs;p2;pl,verb;imp;pl - verb;pri;p2;pl - verb;pri;p3;sg,C
wohne,wohnst,0_3,0_10,verb;pri;p1;sg - verb;prs;p1;sg - verb;prs;p3;sg,verb;pri;p2;sg,C
versöhne,versöhnst,0_3,0_10,verb;pri;p1;sg - verb;prs;p1;sg - verb;prs;p3;sg,verb;pri;p2;sg,C
wehte,wehen,0_4,0_0,verb;pii;p1;sg - verb;pii;p3;sg - verb;pis;p1;sg - verb;pis;p3;sg,verb;inf - verb;ger;nom - verb;ger;dat - verb;ger;acc - adj;sint;m;sg;gen;st - adj;sint;m;sg;gen;sw - adj;sint;m;sg;gen;mix - adj;sint;m;sg;dat;sw - adj;sint;m;sg;dat;mix - adj;sint;m;sg;acc;st - adj;sint;m;sg;acc;sw - adj;sint;m;sg;acc;mix - adj;sint;m;pl;nom;sw - adj;sint;m;pl;nom;mix - adj;sint;m;pl;gen;sw - adj;sint;m;pl;gen;mix - adj;sint;m;pl;dat;st - adj;sint;m;pl;dat;sw - adj;sint;m;pl;dat;mix - adj;sint;m;pl;acc;sw - adj;sint;m;pl;acc;mix - adj;sint;nt;sg;gen;st - adj;sint;nt;sg;gen;sw - adj;sint;nt;sg;gen;mix - adj;sint;nt;sg;dat;sw - adj;sint;nt;sg;dat;mix - adj;sint;nt;pl;nom;sw - adj;sint;nt;pl;nom;mix - adj;sint;nt;pl;gen;sw - adj;sint;nt;pl;gen;mix - adj;sint;nt;pl;dat;sw - adj;sint;nt;pl;dat;mix - adj;sint;nt;pl;acc;sw - adj;sint;nt;pl;acc;mix - adj;sint;f;sg;gen;sw - adj;sint;f;sg;gen;mix - adj;sint;f;sg;dat;sw - adj;sint;f;sg;dat;mix - adj;sint;f;pl;nom;sw - adj;sint;f;pl;nom;mix - adj;sint;f;pl;gen;sw - adj;sint;f;pl;gen;mix - adj;sint;f;pl;dat;st - adj;sint;f;pl;dat;sw - adj;sint;f;pl;dat;mix - adj;sint;f;pl;acc;sw - adj;sint;f;pl;acc;mix - n;f;pl;nom;lower - n;f;pl;gen;lower - n;f;pl;dat;lower - n;f;pl;acc;lower - verb;pri;p1;pl - verb;pri;p3;pl - verb;prs;p1;pl - verb;prs;p3;pl - n;f;sg;lower;cmp;compound-only-L - n;f;pl;nom;lower;compound-R - n;f;pl;gen;lower;compound-R - n;f;pl;dat;lower;compound-R - n;f;pl;acc;lower;compound-R,C
wollt,wollte,0_6,0_4,verb;pri;p2;pl,verb;pii;p1;sg - verb;pii;p3;sg - verb;pis;p1;sg - verb;pis;p3;sg,C
dränge,drängten,0_3,0_11,verb;pri;p1;sg - verb;prs;p1;sg - verb;prs;p3;sg,verb;pis;p1;pl - verb;pis;p3;pl - verb;pii;p1;pl - verb;pii;p3;pl - verb;pis;p1;pl - verb;pis;p3;pl,C
bedrohte,bedrohen,1_4,1_1,verb;pp - verb;pii;p1;sg - verb;pii;p3;sg - verb;pis;p1;sg - verb;pis;p3;sg,verb;inf - verb;ger;nom - verb;ger;dat - verb;ger;acc - verb;pri;p1;pl - verb;pri;p3;pl - verb;prs;p1;pl - verb;prs;p3;pl,C
zürnet,zürnen,0_9,0_0,verb;prs;p2;pl,verb;inf - verb;ger;nom - verb;ger;dat - verb;ger;acc - verb;pri;p1;pl - verb;pri;p3;pl - verb;prs;p1;pl - verb;prs;p3;pl,C
Zerstreuer,Zerstreuer,0_5,0_5,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
Abisais,Abisai,1_2,1_0,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
verändern,veränderst,0_0,0_10,verb;inf - verb;ger;nom - verb;ger;dat - verb;ger;acc - verb;pri;p1;pl - verb;pri;p3;pl - verb;prs;p1;pl - verb;prs;p3;pl,verb;pri;p2;sg - verb;prs;p2;sg,C
schlaft,schlafen,0_6,0_0,verb;imp;pl - verb;pri;p2;pl,verb;inf - verb;ger;nom - verb;ger;dat - verb;ger;acc - verb;pri;p1;pl - verb;pri;p3;pl - verb;prs;p1;pl - verb;prs;p3;pl,C
Strauße,Strauß,0_3,0_12,n;m;sg;dat - n;m;pl;nom - n;m;pl;gen - n;m;pl;acc - n;m;sg;dat;lower - n;m;pl;nom;lower - n;m;pl;gen;lower - n;m;pl;acc;lower - n;m;sg;dat;lower;compound-R - n;m;pl;nom;lower;compound-R - n;m;pl;gen;lower;compound-R - n;m;pl;acc;lower;compound-R,n;m;sg;nom - n;m;sg;dat - n;m;sg;acc - n;m;sg;nom;lower - n;m;sg;dat;lower - n;m;sg;acc;lower - n;m;sg;nom;lower;compound-R - n;m;sg;dat;lower;compound-R - n;m;sg;acc;lower;compound-R,C
zinsen,zinste,1_1,1_4,,,TGT_LEXICAL_ERROR
bewahrte,bewahrest,0_4,0_2,verb;pp - verb;pii;p1;sg - verb;pii;p3;sg - verb;pis;p1;sg - verb;pis;p3;sg,verb;prs;p2;sg,C
geißeln,geißelte,0_0,0_4,verb;inf - verb;ger;nom - verb;ger;dat - verb;ger;acc - verb;pri;p1;pl - verb;pri;p3;pl - verb;prs;p1;pl - verb;prs;p3;pl,verb;pii;p1;sg - verb;pii;p3;sg - verb;pis;p1;sg - verb;pis;p3;sg,C
mangeln,mangelt,0_0,0_6,verb;inf - verb;ger;nom - verb;ger;dat - verb;ger;acc - n;f;pl;nom;lower - n;f;pl;gen;lower - n;f;pl;dat;lower - n;f;pl;acc;lower - verb;pri;p1;pl - verb;pri;p3;pl - verb;prs;p1;pl - verb;prs;p3;pl - n;f;pl;nom;lower;compound-R - n;f;pl;gen;lower;compound-R - n;f;pl;dat;lower;compound-R - n;f;pl;acc;lower;compound-R,verb;imp;pl - verb;pri;p2;pl - verb;pri;p3;sg - verb;prs;p2;pl,C
keltert,keltern,0_6,0_0,,,SRC_LEXICAL_ERROR
entsetzet,entsetzten,0_9,0_11,verb;prs;p2;pl,verb;pp - verb;pii;p1;pl - verb;pii;p3;pl - verb;pis;p1;pl - verb;pis;p3;pl - adj;sint;m;sg;gen;st - adj;sint;m;sg;gen;sw - adj;sint;m;sg;gen;mix - adj;sint;m;sg;dat;sw - adj;sint;m;sg;dat;mix - adj;sint;m;sg;acc;st - adj;sint;m;sg;acc;sw - adj;sint;m;sg;acc;mix - adj;sint;m;pl;nom;sw - adj;sint;m;pl;nom;mix - adj;sint;m;pl;gen;sw - adj;sint;m;pl;gen;mix - adj;sint;m;pl;dat;st - adj;sint;m;pl;dat;sw - adj;sint;m;pl;dat;mix - adj;sint;m;pl;acc;sw - adj;sint;m;pl;acc;mix - adj;sint;nt;sg;gen;st - adj;sint;nt;sg;gen;sw - adj;sint;nt;sg;gen;mix - adj;sint;nt;sg;dat;sw - adj;sint;nt;sg;dat;mix - adj;sint;nt;pl;nom;sw - adj;sint;nt;pl;nom;mix - adj;sint;nt;pl;gen;sw - adj;sint;nt;pl;gen;mix - adj;sint;nt;pl;dat;sw - adj;sint;nt;pl;dat;mix - adj;sint;nt;pl;acc;sw - adj;sint;nt;pl;acc;mix - adj;sint;f;sg;gen;sw - adj;sint;f;sg;gen;mix - adj;sint;f;sg;dat;sw - adj;sint;f;sg;dat;mix - adj;sint;f;pl;nom;sw - adj;sint;f;pl;nom;mix - adj;sint;f;pl;gen;sw - adj;sint;f;pl;gen;mix - adj;sint;f;pl;dat;st - adj;sint;f;pl;dat;sw - adj;sint;f;pl;dat;mix - adj;sint;f;pl;acc;sw - adj;sint;f;pl;acc;mix,C
dürft,dürfen,0_6,0_0,verb;pri;p2;pl,verb;inf - verb;pri;p1;pl - verb;pri;p3;pl - verb;prs;p1;pl - verb;prs;p3;pl,C
Raub,Raube,0_12,0_3,n;m;sg;nom - n;m;sg;dat - n;m;sg;acc - n;m;sg;cmp;compound-only-L - n;m;sg;nom;lower - n;m;sg;dat;lower - n;m;sg;acc;lower - verb;imp;sg - n;m;sg;nom;lower;compound-R - n;m;sg;dat;lower;compound-R - n;m;sg;acc;lower;compound-R - n;m;sg;lower;cmp;compound-only-L,n;m;sg;dat - n;m;pl;nom - n;m;pl;gen - n;m;pl;acc - n;m;sg;dat;lower - n;m;pl;nom;lower - n;m;pl;gen;lower - n;m;pl;acc;lower - verb;pri;p1;sg - verb;prs;p1;sg - verb;prs;p3;sg - n;m;sg;dat;lower;compound-R - n;m;pl;nom;lower;compound-R - n;m;pl;gen;lower;compound-R - n;m;pl;acc;lower;compound-R,C
sei,seist,0_12,0_10,verb;imp;sg - verb;prs;p1;sg - verb;prs;p3;sg,verb;prs;p2;sg,C
demütige,demütigt,0_3,0_6,verb;pri;p1;sg - verb;prs;p1;sg - verb;prs;p3;sg - adj;sint;m;sg;nom;sw - adj;sint;m;pl;nom;st - adj;sint;m;pl;acc;st - adj;sint;f;sg;nom;st - adj;sint;f;sg;nom;sw - adj;sint;f;sg;nom;mix - adj;sint;f;sg;acc;st - adj;sint;f;sg;acc;sw - adj;sint;f;sg;acc;mix - adj;sint;f;pl;nom;st - adj;sint;f;pl;acc;st - adj;sint;nt;sg;nom;sw - adj;sint;nt;sg;acc;sw,verb;imp;pl - verb;pri;p2;pl - verb;pri;p3;sg,C
freche,frechen,0_3,0_0,adj;sint;m;sg;nom;sw - adj;sint;m;pl;nom;st - adj;sint;m;pl;acc;st - adj;sint;f;sg;nom;st - adj;sint;f;sg;nom;sw - adj;sint;f;sg;nom;mix - adj;sint;f;sg;acc;st - adj;sint;f;sg;acc;sw - adj;sint;f;sg;acc;mix - adj;sint;f;pl;nom;st - adj;sint;f;pl;acc;st - adj;sint;nt;sg;nom;sw - adj;sint;nt;sg;acc;sw,adj;sint;m;sg;gen;st - adj;sint;m;sg;gen;sw - adj;sint;m;sg;gen;mix - adj;sint;m;sg;dat;sw - adj;sint;m;sg;dat;mix - adj;sint;m;sg;acc;st - adj;sint;m;sg;acc;sw - adj;sint;m;sg;acc;mix - adj;sint;m;pl;nom;sw - adj;sint;m;pl;nom;mix - adj;sint;m;pl;gen;sw - adj;sint;m;pl;gen;mix - adj;sint;m;pl;dat;st - adj;sint;m;pl;dat;sw - adj;sint;m;pl;dat;mix - adj;sint;m;pl;acc;sw - adj;sint;m;pl;acc;mix - adj;sint;nt;sg;gen;st - adj;sint;nt;sg;gen;sw - adj;sint;nt;sg;gen;mix - adj;sint;nt;sg;dat;sw - adj;sint;nt;sg;dat;mix - adj;sint;nt;pl;nom;sw - adj;sint;nt;pl;nom;mix - adj;sint;nt;pl;gen;sw - adj;sint;nt;pl;gen;mix - adj;sint;nt;pl;dat;sw - adj;sint;nt;pl;dat;mix - adj;sint;nt;pl;acc;sw - adj;sint;nt;pl;acc;mix - adj;sint;f;sg;gen;sw - adj;sint;f;sg;gen;mix - adj;sint;f;sg;dat;sw - adj;sint;f;sg;dat;mix - adj;sint;f;pl;nom;sw - adj;sint;f;pl;nom;mix - adj;sint;f;pl;gen;sw - adj;sint;f;pl;gen;mix - adj;sint;f;pl;dat;st - adj;sint;f;pl;dat;sw - adj;sint;f;pl;dat;mix - adj;sint;f;pl;acc;sw - adj;sint;f;pl;acc;mix,C
wärst,wäre,0_10,0_3,verb;pis;p2;sg,verb;pis;p1;sg - verb;pis;p3;sg,C
demütigen,demütigte,0_0,0_4,verb;inf - verb;ger;nom - verb;ger;dat - verb;ger;acc - adj;sint;m;sg;gen;st - adj;sint;m;sg;gen;sw - adj;sint;m;sg;gen;mix - adj;sint;m;sg;dat;sw - adj;sint;m;sg;dat;mix - adj;sint;m;sg;acc;st - adj;sint;m;sg;acc;sw - adj;sint;m;sg;acc;mix - adj;sint;m;pl;nom;sw - adj;sint;m;pl;nom;mix - adj;sint;m;pl;gen;sw - adj;sint;m;pl;gen;mix - adj;sint;m;pl;dat;st - adj;sint;m;pl;dat;sw - adj;sint;m;pl;dat;mix - adj;sint;m;pl;acc;sw - adj;sint;m;pl;acc;mix - adj;sint;nt;sg;gen;st - adj;sint;nt;sg;gen;sw - adj;sint;nt;sg;gen;mix - adj;sint;nt;sg;dat;sw - adj;sint;nt;sg;dat;mix - adj;sint;nt;pl;nom;sw - adj;sint;nt;pl;nom;mix - adj;sint;nt;pl;gen;sw - adj;sint;nt;pl;gen;mix - adj;sint;nt;pl;dat;sw - adj;sint;nt;pl;dat;mix - adj;sint;nt;pl;acc;sw - adj;sint;nt;pl;acc;mix - adj;sint;f;sg;gen;sw - adj;sint;f;sg;gen;mix - adj;sint;f;sg;dat;sw - adj;sint;f;sg;dat;mix - adj;sint;f;pl;nom;sw - adj;sint;f;pl;nom;mix - adj;sint;f;pl;gen;sw - adj;sint;f;pl;gen;mix - adj;sint;f;pl;dat;st - adj;sint;f;pl;dat;sw - adj;sint;f;pl;dat;mix - adj;sint;f;pl;acc;sw - adj;sint;f;pl;acc;mix - verb;pri;p1;pl - verb;pri;p3;pl - verb;prs;p1;pl - verb;prs;p3;pl,verb;pii;p1;sg - verb;pii;p3;sg - verb;pis;p1;sg - verb;pis;p3;sg,C
austraten,austrat,0_0,0_12,verb;sep;fs;pii;p1;pl - verb;sep;fs;pii;p3;pl,verb;sep;fs;pii;p1;sg - verb;sep;fs;pii;p3;sg,C
Gebots,Gebote,0_1,0_3,n;nt;sg;gen - n;nt;sg;cmp;compound-only-L - n;nt;sg;gen;lower - n;nt;sg;gen;lower;compound-R - n;nt;sg;lower;cmp;compound-only-L,n;nt;sg;dat - n;nt;pl;nom - n;nt;pl;gen - n;nt;pl;acc - n;nt;sg;dat;lower - n;nt;pl;nom;lower - n;nt;pl;gen;lower - n;nt;pl;acc;lower - n;nt;sg;dat;lower;compound-R - n;nt;pl;nom;lower;compound-R - n;nt;pl;gen;lower;compound-R - n;nt;pl;acc;lower;compound-R,C
jemandes,jemand,0_8,0_12,prn;ind;m;sg;gen - prn;ind;f;sg;gen,prn;ind;m;sg;nom - prn;ind;f;sg;nom,C
Steig,Steiget,0_12,0_9,n;m;sg;nom - n;m;sg;dat - n;m;sg;acc - n;m;sg;cmp;compound-only-L - n;m;sg;nom;lower - n;m;sg;dat;lower - n;m;sg;acc;lower - verb;imp;sg - n;m;sg;nom;lower;compound-R - n;m;sg;dat;lower;compound-R - n;m;sg;acc;lower;compound-R - n;m;sg;lower;cmp;compound-only-L,verb;prs;p2;pl,C
antworten,antworte,0_0,0_3,verb;inf - verb;ger;nom - verb;ger;dat - verb;ger;acc - n;f;pl;nom;lower - n;f;pl;gen;lower - n;f;pl;dat;lower - n;f;pl;acc;lower - verb;pri;p1;pl - verb;pri;p3;pl - verb;prs;p1;pl - verb;prs;p3;pl - n;f;sg;lower;cmp;compound-only-L - n;f;pl;nom;lower;compound-R - n;f;pl;gen;lower;compound-R - n;f;pl;dat;lower;compound-R - n;f;pl;acc;lower;compound-R,verb;imp;sg - verb;pri;p1;sg - verb;prs;p1;sg - verb;prs;p3;sg,C
nimm,nimmst,0_12,0_10,verb;imp;sg,verb;pri;p2;sg,C
neu,neuer,0_12,0_5,adj;sint - adj;sint;attr - adj;sint;pred,adj;sint;comp;attr - adj;sint;comp;pred - adj;sint;m;sg;nom;st - adj;sint;m;sg;nom;mix - adj;sint;m;pl;gen;st - adj;sint;f;sg;gen;st - adj;sint;f;sg;dat;st - adj;sint;f;pl;gen;st - verb;imp;sg,C
wüst,wüstes,0_12,0_8,adj;sint - adj;sint;attr - adj;sint;pred,adj;sint;nt;sg;nom;st - adj;sint;nt;sg;nom;mix - adj;sint;nt;sg;acc;st - adj;sint;nt;sg;acc;mix,C
Mizpe,Mizpe,0_3,0_3,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
hingehet,hingeht,0_9,0_6,verb;sep;fs;prs;p2;pl,verb;sep;fs;pri;p2;pl - verb;sep;fs;pri;p3;sg,C
fremden,fremdem,0_0,0_7,adj;sint;m;sg;gen;st - adj;sint;m;sg;gen;sw - adj;sint;m;sg;gen;mix - adj;sint;m;sg;dat;sw - adj;sint;m;sg;dat;mix - adj;sint;m;sg;acc;st - adj;sint;m;sg;acc;sw - adj;sint;m;sg;acc;mix - adj;sint;m;pl;nom;sw - adj;sint;m;pl;nom;mix - adj;sint;m;pl;gen;sw - adj;sint;m;pl;gen;mix - adj;sint;m;pl;dat;st - adj;sint;m;pl;dat;sw - adj;sint;m;pl;dat;mix - adj;sint;m;pl;acc;sw - adj;sint;m;pl;acc;mix - adj;sint;nt;sg;gen;st - adj;sint;nt;sg;gen;sw - adj;sint;nt;sg;gen;mix - adj;sint;nt;sg;dat;sw - adj;sint;nt;sg;dat;mix - adj;sint;nt;pl;nom;sw - adj;sint;nt;pl;nom;mix - adj;sint;nt;pl;gen;sw - adj;sint;nt;pl;gen;mix - adj;sint;nt;pl;dat;sw - adj;sint;nt;pl;dat;mix - adj;sint;nt;pl;acc;sw - adj;sint;nt;pl;acc;mix - adj;sint;f;sg;gen;sw - adj;sint;f;sg;gen;mix - adj;sint;f;sg;dat;sw - adj;sint;f;sg;dat;mix - adj;sint;f;pl;nom;sw - adj;sint;f;pl;nom;mix - adj;sint;f;pl;gen;sw - adj;sint;f;pl;gen;mix - adj;sint;f;pl;dat;st - adj;sint;f;pl;dat;sw - adj;sint;f;pl;dat;mix - adj;sint;f;pl;acc;sw - adj;sint;f;pl;acc;mix - n;f;pl;nom;lower - n;f;pl;gen;lower - n;f;pl;dat;lower - n;f;pl;acc;lower - n;m;sg;gen;lower - n;m;sg;acc;lower - n;m;pl;nom;lower - n;m;pl;gen;lower - n;m;pl;dat;lower - n;m;pl;acc;lower - n;f;sg;lower;cmp;compound-only-L - n;f;pl;nom;lower;compound-R - n;f;pl;gen;lower;compound-R - n;f;pl;dat;lower;compound-R - n;f;pl;acc;lower;compound-R - n;m;sg;gen;lower;compound-R - n;m;sg;acc;lower;compound-R - n;m;sg;lower;cmp;compound-only-L - n;m;pl;nom;lower;compound-R - n;m;pl;gen;lower;compound-R - n;m;pl;dat;lower;compound-R - n;m;pl;acc;lower;compound-R,adj;sint;m;sg;dat;st - adj;sint;nt;sg;dat;st - n;m;sg;dat;lower - n;m;sg;dat;lower;compound-R,C
welken,welke,0_0,0_3,adj;sint;m;sg;gen;st - adj;sint;m;sg;gen;sw - adj;sint;m;sg;gen;mix - adj;sint;m;sg;dat;sw - adj;sint;m;sg;dat;mix - adj;sint;m;sg;acc;st - adj;sint;m;sg;acc;sw - adj;sint;m;sg;acc;mix - adj;sint;m;pl;nom;sw - adj;sint;m;pl;nom;mix - adj;sint;m;pl;gen;sw - adj;sint;m;pl;gen;mix - adj;sint;m;pl;dat;st - adj;sint;m;pl;dat;sw - adj;sint;m;pl;dat;mix - adj;sint;m;pl;acc;sw - adj;sint;m;pl;acc;mix - adj;sint;nt;sg;gen;st - adj;sint;nt;sg;gen;sw - adj;sint;nt;sg;gen;mix - adj;sint;nt;sg;dat;sw - adj;sint;nt;sg;dat;mix - adj;sint;nt;pl;nom;sw - adj;sint;nt;pl;nom;mix - adj;sint;nt;pl;gen;sw - adj;sint;nt;pl;gen;mix - adj;sint;nt;pl;dat;sw - adj;sint;nt;pl;dat;mix - adj;sint;nt;pl;acc;sw - adj;sint;nt;pl;acc;mix - adj;sint;f;sg;gen;sw - adj;sint;f;sg;gen;mix - adj;sint;f;sg;dat;sw - adj;sint;f;sg;dat;mix - adj;sint;f;pl;nom;sw - adj;sint;f;pl;nom;mix - adj;sint;f;pl;gen;sw - adj;sint;f;pl;gen;mix - adj;sint;f;pl;dat;st - adj;sint;f;pl;dat;sw - adj;sint;f;pl;dat;mix - adj;sint;f;pl;acc;sw - adj;sint;f;pl;acc;mix,adj;sint;m;sg;nom;sw - adj;sint;m;pl;nom;st - adj;sint;m;pl;acc;st - adj;sint;f;sg;nom;st - adj;sint;f;sg;nom;sw - adj;sint;f;sg;nom;mix - adj;sint;f;sg;acc;st - adj;sint;f;sg;acc;sw - adj;sint;f;sg;acc;mix - adj;sint;f;pl;nom;st - adj;sint;f;pl;acc;st - adj;sint;nt;sg;nom;sw - adj;sint;nt;sg;acc;sw,C
versündige,versündigten,0_3,0_11,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
schießt,schieße,0_6,0_3,verb;imp;pl - verb;pri;p2;sg - verb;pri;p2;pl - verb;pri;p3;sg,verb;pri;p1;sg - verb;prs;p1;sg - verb;prs;p3;sg,C
erhöhte,erhöhe,0_4,0_3,verb;pp - verb;pii;p1;sg - verb;pii;p3;sg - verb;pis;p1;sg - verb;pis;p3;sg,verb;pri;p1;sg - verb;prs;p1;sg - verb;prs;p3;sg,C
Verstöre,Verstörer,0_3,0_5,,,TGT_LEXICAL_ERROR
beklagt,beklagte,0_6,0_4,verb;pp - verb;imp;pl - verb;pri;p2;pl - verb;pri;p3;sg,verb;pp - verb;pii;p1;sg - verb;pii;p3;sg - verb;pis;p1;sg - verb;pis;p3;sg,C
mehr,mehret,0_12,0_9,adv; - verb;imp;sg,verb;prs;p2;pl,C
Christ,Christe,0_12,0_3,,,TGT_LEXICAL_ERROR
anrührten,anrührte,0_11,0_4,verb;sep;fs;pii;p1;pl - verb;sep;fs;pii;p3;pl - verb;sep;fs;pis;p1;pl - verb;sep;fs;pis;p3;pl,verb;sep;fs;pii;p1;sg - verb;sep;fs;pii;p3;sg - verb;sep;fs;pis;p1;sg - verb;sep;fs;pis;p3;sg,C
erforschen,erforsche,0_0,0_3,verb;inf - verb;ger;nom - verb;ger;dat - verb;ger;acc - verb;pri;p1;pl - verb;pri;p3;pl - verb;prs;p1;pl - verb;prs;p3;pl,verb;pri;p1;sg - verb;prs;p1;sg - verb;prs;p3;sg,C
sehe,sehe,0_3,0_3,verb;pri;p1;sg - verb;prs;p1;sg - verb;prs;p3;sg,verb;pri;p1;sg - verb;prs;p1;sg - verb;prs;p3;sg,C
