src word,tgt word,src slot,tgt slot,src apertium tags,tgt apertium tags,annotation
ljósinu,ljós,1_10,1_0,n;nt;sg;dat;def,n;nt;sg;nom;ind - n;nt;sg;acc;ind - n;nt;pl;nom;ind - n;nt;pl;acc;ind,C
fræðst,fræðir,0_12,0_8,verb;midv;supn,verb;actv;pri;p2;sg - verb;actv;pri;p3;sg - verb;actv;prs;p2;sg,C
fullyrtu,fullyrti,1_17,1_7,verb;actv;past;p3;pl - verb;actv;pss;p3;pl - verb;actv;imp;p2;sg - verb;actv;pp;m;pl;nom;vei - verb;actv;pp;m;pl;acc;vei - verb;actv;pp;m;pl;dat;vei - verb;actv;pp;m;pl;gen;vei - verb;actv;pp;f;sg;acc;vei - verb;actv;pp;f;sg;dat;vei - verb;actv;pp;f;sg;gen;vei - verb;actv;pp;f;pl;nom;vei - verb;actv;pp;f;pl;acc;vei - verb;actv;pp;f;pl;dat;vei - verb;actv;pp;f;pl;gen;vei - verb;actv;pp;nt;sg;gen;sta - verb;actv;pp;nt;pl;nom;vei - verb;actv;pp;nt;pl;acc;vei - verb;actv;pp;nt;pl;dat;vei - verb;actv;pp;nt;pl;gen;vei,verb;actv;past;p1;sg - verb;actv;past;p3;sg - verb;actv;pss;p1;sg - verb;actv;pss;p3;sg - verb;actv;pp;m;sg;nom;vei,C
hinu,hina,1_17,1_14,prn;dem;nt;sg;dat - det;def;nt;sg;dat,prn;dem;m;pl;acc - prn;dem;f;sg;acc - det;def;m;pl;acc - det;def;f;sg;acc,SRC_POS_ERROR TGT_POS_ERROR
Sódómu,Sódóma,1_17,1_14,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
þessir,þessar,1_4,1_9,prn;dem;m;pl;nom - det;dem;m;pl;nom,prn;dem;f;pl;nom - prn;dem;f;pl;acc - det;dem;f;pl;nom - det;dem;f;pl;acc,SRC_POS_ERROR TGT_POS_ERROR
Mannssoninn,Mannssonurinn,1_5,1_16,np;ant;m;sg;nom - np;ant;m;sg;acc,np;ant;m;sg;nom - np;ant;m;sg;acc,SRC_POS_ERROR TGT_POS_ERROR
veitir,veitum,0_8,0_1,verb;actv;pri;p2;sg - verb;actv;pri;p3;sg - verb;actv;prs;p2;sg,verb;actv;pri;p1;pl - verb;actv;prs;p1;pl,C
arfleifð,arfleifðar,1_0,1_9,n;f;sg;nom;ind - n;f;sg;acc;ind - n;f;sg;dat;ind,n;f;sg;gen;ind,C
drukkum,drukkin,0_1,0_3,verb;actv;past;p1;pl,verb;actv;pp;f;sg;nom;sta - verb;actv;pp;nt;pl;nom;sta - verb;actv;pp;nt;pl;acc;sta - adj;pst;f;sg;nom;sta - adj;pst;nt;pl;nom;sta - adj;pst;nt;pl;acc;sta,C
fúsum,fúsir,1_2,1_4,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
útlendingum,útlendingur,1_2,1_12,n;m;pl;dat;ind,n;m;sg;nom;ind,C
stundu,stundum,1_17,1_2,verb;actv;past;p3;pl - verb;actv;pp;m;pl;nom;vei - verb;actv;pp;m;pl;acc;vei - verb;actv;pp;m;pl;dat;vei - verb;actv;pp;m;pl;gen;vei - verb;actv;pp;f;sg;acc;vei - verb;actv;pp;f;sg;dat;vei - verb;actv;pp;f;sg;gen;vei - verb;actv;pp;f;pl;nom;vei - verb;actv;pp;f;pl;acc;vei - verb;actv;pp;f;pl;dat;vei - verb;actv;pp;f;pl;gen;vei - verb;actv;pp;nt;sg;gen;sta - verb;actv;pp;nt;pl;nom;vei - verb;actv;pp;nt;pl;acc;vei - verb;actv;pp;nt;pl;dat;vei - verb;actv;pp;nt;pl;gen;vei,adv; - n;f;pl;dat;ind - verb;actv;past;p1;pl - verb;actv;pp;m;sg;gen;sta - verb;actv;pp;m;pl;gen;sta - verb;actv;pp;f;pl;gen;sta - verb;actv;pp;nt;pl;gen;sta,C
vonin,voni,1_6,1_7,n;f;sg;nom;def,verb;actv;prs;p1;sg - verb;actv;prs;p3;sg - verb;actv;prs;p3;pl,POS_PAIR_ERROR
Ljós,Ljós,0_14,0_14,n;nt;sg;nom;ind - n;nt;sg;acc;ind - n;nt;pl;nom;ind - n;nt;pl;acc;ind,n;nt;sg;nom;ind - n;nt;sg;acc;ind - n;nt;pl;nom;ind - n;nt;pl;acc;ind,C
ofsókn,ofsóknir,1_0,1_4,n;f;sg;nom;ind - n;f;sg;acc;ind - n;f;sg;dat;ind,n;f;pl;nom;ind - n;f;pl;acc;ind,C
senda,sendum,1_14,1_2,verb;actv;inf - verb;actv;pri;p3;pl - n;m;pl;acc;ind - n;m;pl;gen;ind - verb;actv;pp;m;sg;acc;vei - verb;actv;pp;m;sg;dat;vei - verb;actv;pp;m;sg;gen;vei - verb;actv;pp;m;pl;acc;sta - verb;actv;pp;f;sg;nom;vei - verb;actv;pp;f;sg;acc;sta - verb;actv;pp;nt;sg;nom;vei - verb;actv;pp;nt;sg;acc;vei - verb;actv;pp;nt;sg;dat;vei - verb;actv;pp;nt;sg;gen;vei,verb;actv;pri;p1;pl - verb;actv;past;p1;pl - verb;actv;prs;p1;pl - verb;actv;pss;p1;pl - n;m;pl;dat;ind - verb;actv;pp;m;sg;gen;sta - verb;actv;pp;m;pl;gen;sta - verb;actv;pp;f;pl;gen;sta - verb;actv;pp;nt;pl;gen;sta,C
hegðar,hegðið,1_9,1_15,verb;actv;pri;p2;sg - verb;actv;pri;p3;sg,verb;actv;pri;p2;pl - verb;actv;prs;p2;pl - verb;actv;imp;p2;pl,C
lærisveinunum,lærisveins,1_1,1_13,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
kvöldu,kvöld,1_17,1_0,,,SRC_LEXICAL_ERROR
stæra,stæri,0_20,0_15,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
efast,ef,0_11,0_14,,,SRC_LEXICAL_ERROR
guðlastar,guðlast,1_9,1_0,,,SRC_LEXICAL_ERROR
heiðingjar,heiðingja,1_9,1_14,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
sjáum,sjái,0_1,0_15,verb;actv;pri;p1;pl - verb;actv;prs;p1;pl,verb;actv;prs;p1;sg - verb;actv;prs;p3;sg - verb;actv;prs;p3;pl,C
annara,annara,1_14,1_14,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
slíkum,slíka,1_2,1_14,det;ind;m;sg;dat - det;ind;m;pl;dat - det;ind;f;pl;dat - det;ind;nt;pl;dat,det;ind;m;pl;acc - det;ind;f;sg;acc,SRC_POS_ERROR TGT_POS_ERROR
hlutu,hluta,1_17,1_14,verb;actv;past;p3;pl,n;m;sg;acc;ind - n;m;sg;dat;ind - n;m;sg;gen;ind - n;m;pl;acc;ind - n;m;pl;gen;ind - n;m;pl;gen;ind,POS_PAIR_ERROR
sæi,sæi,0_15,0_15,verb;actv;pss;p1;sg - verb;actv;pss;p3;sg,verb;actv;pss;p1;sg - verb;actv;pss;p3;sg,C
dýrlegan,dýrlegi,1_3,1_7,adj;pst;m;sg;acc;sta,adj;pst;m;sg;nom;vei,C
mælir,mælum,0_8,0_1,verb;actv;pri;p2;sg - verb;actv;pri;p3;sg - verb;actv;prs;p2;sg - n;m;sg;nom;ind,n;nt;pl;dat;ind - verb;actv;pri;p1;pl - verb;actv;prs;p1;pl - n;m;pl;dat;ind,C
tunglsjúka,tunglsjúkur,1_14,1_12,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
kunnan,kunnur,1_3,1_12,adj;pst;m;sg;acc;sta,adj;pst;m;sg;nom;sta,C
líka,líkur,0_20,0_16,adv; - verb;actv;inf - n;nt;pl;gen;ind - n;f;pl;gen;ind - adj;pst;m;sg;acc;vei - adj;pst;m;sg;dat;vei - adj;pst;m;sg;gen;vei - adj;pst;m;pl;acc;sta - adj;pst;f;sg;nom;vei - adj;pst;f;sg;acc;sta - adj;pst;nt;sg;nom;vei - adj;pst;nt;sg;acc;vei - adj;pst;nt;sg;dat;vei - adj;pst;nt;sg;gen;vei,n;f;pl;nom;ind - n;f;pl;acc;ind - adj;pst;m;sg;nom;sta,C
snauða,snauðu,1_14,1_17,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
dýrlegi,dýrlegi,1_7,1_7,adj;pst;m;sg;nom;vei,adj;pst;m;sg;nom;vei,C
greina,greinar,1_14,1_9,verb;actv;inf - verb;midv;inf - n;f;pl;gen;ind - verb;actv;pri;p3;pl - n;m;pl;acc;ind - n;m;pl;gen;ind,n;f;sg;gen;ind - n;f;pl;nom;ind - n;f;pl;acc;ind - n;m;pl;nom;ind,C
leiða,leiðin,1_14,1_6,verb;actv;inf - n;f;pl;gen;ind - verb;actv;pri;p3;pl - n;nt;pl;gen;ind - adj;pst;m;sg;acc;vei - adj;pst;m;sg;dat;vei - adj;pst;m;sg;gen;vei - adj;pst;m;pl;acc;sta - adj;pst;f;sg;nom;vei - adj;pst;f;sg;acc;sta - adj;pst;nt;sg;nom;vei - adj;pst;nt;sg;acc;vei - adj;pst;nt;sg;dat;vei - adj;pst;nt;sg;gen;vei,n;f;sg;nom;def - n;nt;pl;nom;def - n;nt;pl;acc;def,C
bát,báti,1_0,1_7,n;m;sg;acc;ind,n;m;sg;dat;ind,C
samlaga,samlagast,1_14,1_19,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ákaft,ákafar,1_0,1_9,adv;pst - adj;pst;nt;sg;nom;sta - adj;pst;nt;sg;acc;sta,adv;comp - adj;pst;f;pl;nom;sta - adj;pst;f;pl;acc;sta,C
friði,friður,1_7,1_12,verb;actv;prs;p1;sg - verb;actv;prs;p3;sg - verb;actv;prs;p3;pl - n;m;sg;dat;ind,n;m;sg;nom;ind,C
möttulinn,möttul,1_5,1_0,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
aftraði,aftrið,1_11,1_15,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
frelsaði,frelsað,1_11,1_8,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
flutti,fluttir,1_7,1_4,verb;actv;past;p1;sg - verb;actv;past;p3;sg - verb;actv;pp;m;sg;nom;vei,verb;actv;past;p2;sg - verb;actv;pp;m;pl;nom;sta,C
reglu,reglum,1_17,1_2,n;f;sg;acc;ind - n;f;sg;dat;ind - n;f;sg;gen;ind,n;f;pl;dat;ind,C
þjóð,þjóð,1_0,1_0,n;f;sg;nom;ind - n;f;sg;acc;ind - n;f;sg;dat;ind,n;f;sg;nom;ind - n;f;sg;acc;ind - n;f;sg;dat;ind,C
orðum,orðs,1_2,1_13,n;nt;pl;dat;ind,n;nt;sg;gen;ind,C
hvíldardagur,hvíldardaginn,1_12,1_5,n;m;sg;nom;ind,n;m;sg;acc;def,C
skíra,skírst,0_20,0_12,verb;actv;inf - verb;actv;pri;p3;pl,verb;midv;supn,C
mína,míns,1_14,1_13,prn;pos;m;pl;acc - prn;pos;f;sg;acc,prn;pos;m;sg;gen - prn;pos;nt;sg;gen,SRC_POS_ERROR TGT_POS_ERROR
lendir,lendi,1_4,1_7,verb;actv;pri;p2;sg - verb;actv;pri;p3;sg - verb;actv;prs;p2;sg,verb;actv;pri;p1;sg - verb;actv;prs;p1;sg - verb;actv;prs;p3;sg - verb;actv;prs;p3;pl,C
þýðast,þýðir,0_11,0_8,verb;midv;inf - verb;midv;pri;p3;pl,verb;actv;pri;p2;sg - verb;actv;pri;p3;sg - verb;actv;prs;p2;sg,C
tjaldbúð,tjaldbúðin,0_14,0_3,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
gæfi,gæfur,1_7,1_12,,,TGT_LEXICAL_ERROR
lífinu,líf,1_10,1_0,n;nt;sg;dat;def,n;nt;sg;nom;ind - n;nt;sg;acc;ind - n;nt;pl;nom;ind - n;nt;pl;acc;ind,C
sitja,sit,0_6,0_14,verb;actv;inf - verb;actv;pri;p3;pl,verb;actv;pri;p1;sg - verb;actv;imp;p2;sg,C
ávarpar,ávarpið,1_9,1_15,verb;actv;pri;p2;sg - verb;actv;pri;p3;sg,verb;actv;pri;p2;pl - verb;actv;prs;p2;pl - verb;actv;imp;p2;pl,C
þinna,þinni,1_14,1_7,prn;pos;m;pl;gen - prn;pos;f;pl;gen - prn;pos;nt;pl;gen,prn;pos;f;sg;dat,SRC_POS_ERROR TGT_POS_ERROR
fengin,fenguð,1_6,1_18,verb;actv;pp;nt;pl;nom;sta - verb;actv;pp;nt;pl;acc;sta - verb;actv;pp;f;sg;nom;sta,verb;actv;past;p2;pl,C
lokið,lokað,1_15,1_8,n;nt;sg;nom;def - n;nt;sg;acc;def - verb;actv;supn - adj;pst;nt;sg;nom;sta - adj;pst;nt;sg;acc;sta - verb;actv;pp;nt;sg;nom;sta - verb;actv;pp;nt;sg;acc;sta,adj;pst;nt;sg;nom;sta - adj;pst;nt;sg;acc;sta,PARADIGM_ERROR
óttinn,ótta,0_2,0_20,n;m;sg;nom;def,n;m;sg;acc;ind - n;m;sg;dat;ind - n;m;sg;gen;ind,C
náðar,náðar,1_9,1_9,verb;actv;pp;f;pl;nom;sta - verb;actv;pp;f;pl;acc;sta,verb;actv;pp;f;pl;nom;sta - verb;actv;pp;f;pl;acc;sta,C
skírlífar,skírlífu,1_9,1_17,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
festi,fest,1_7,1_0,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
lendar,lendur,1_9,1_12,,,SRC_LEXICAL_ERROR
samboðin,samboðinn,0_3,0_2,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
fórnað,fórnin,1_8,1_6,,,SRC_LEXICAL_ERROR
heilu,heilan,1_17,1_3,adj;pst;m;pl;nom;vei - adj;pst;m;pl;acc;vei - adj;pst;m;pl;dat;vei - adj;pst;m;pl;gen;vei - adj;pst;f;sg;acc;vei - adj;pst;f;sg;dat;vei - adj;pst;f;sg;gen;vei - adj;pst;f;pl;nom;vei - adj;pst;f;pl;acc;vei - adj;pst;f;pl;dat;vei - adj;pst;f;pl;gen;vei - adj;pst;nt;sg;dat;sta - adj;pst;nt;pl;nom;vei - adj;pst;nt;pl;acc;vei - adj;pst;nt;pl;dat;vei - adj;pst;nt;pl;gen;vei,adj;pst;m;sg;acc;sta,C
full,fullur,1_0,1_12,adj;pst;f;sg;nom;sta - adj;pst;nt;pl;nom;sta - adj;pst;nt;pl;acc;sta,adj;pst;m;sg;nom;sta,C
tungur,tungum,1_12,1_2,n;f;pl;nom;ind - n;f;pl;acc;ind,n;f;pl;dat;ind,C
skylduð,skyldir,1_18,1_4,verb;pss;p2;pl,verb;pss;p2;sg - adj;pst;m;pl;nom;sta,C
hvílík,hvílíkum,1_0,1_2,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
höggva,höggvin,1_14,1_6,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
einlægt,einlæg,1_0,1_0,adj;pst;nt;sg;nom;sta - adj;pst;nt;sg;acc;sta,adj;pst;f;sg;nom;sta - adj;pst;nt;pl;nom;sta - adj;pst;nt;pl;acc;sta,C
laus,lausan,1_0,1_3,adj;pst;m;sg;nom;sta - adj;pst;f;sg;nom;sta - adj;pst;nt;pl;nom;sta - adj;pst;nt;pl;acc;sta,adj;pst;m;sg;acc;sta,C
skipinu,skip,1_10,1_0,n;nt;sg;dat;def,n;nt;sg;nom;ind - n;nt;sg;acc;ind - n;nt;pl;nom;ind - n;nt;pl;acc;ind,C
Sælir,Sæl,1_4,1_0,adj;pst;m;pl;nom;sta,adj;pst;f;sg;nom;sta - adj;pst;nt;pl;nom;sta - adj;pst;nt;pl;acc;sta,C
ofdrykkja,ofdrykkju,1_14,1_17,n;f;sg;nom;ind,n;f;sg;acc;ind - n;f;sg;dat;ind - n;f;sg;gen;ind,C
bæn,bæ,0_9,0_14,,,TGT_LEXICAL_ERROR
léti,létum,1_7,1_2,verb;actv;pss;p1;sg - verb;actv;pss;p3;sg,verb;actv;past;p1;pl - verb;actv;pss;p1;pl,C
ráðalaus,ráðalaus,1_0,1_0,adj;pst;m;sg;nom;sta - adj;pst;f;sg;nom;sta - adj;pst;nt;pl;nom;sta - adj;pst;nt;pl;acc;sta,adj;pst;m;sg;nom;sta - adj;pst;f;sg;nom;sta - adj;pst;nt;pl;nom;sta - adj;pst;nt;pl;acc;sta,C
liðs,liði,1_13,1_7,n;nt;sg;gen;ind,n;nt;sg;dat;ind - verb;actv;pss;p1;sg - verb;actv;pss;p3;sg - n;m;sg;dat;ind - n;m;pl;acc;ind,C
fellur,fellir,1_12,1_4,verb;actv;pri;p2;sg - verb;actv;pri;p3;sg,verb;actv;pri;p2;sg - verb;actv;pri;p3;sg - verb;actv;prs;p2;sg,PARADIGM_ERROR
strætinu,strætum,1_10,1_2,n;nt;sg;dat;def,n;nt;pl;dat;ind,C
Ljós,Ljósið,0_14,0_19,n;nt;sg;nom;ind - n;nt;sg;acc;ind - n;nt;pl;nom;ind - n;nt;pl;acc;ind,n;nt;sg;nom;def - n;nt;sg;acc;def,C
fótur,fóta,1_12,1_14,n;m;sg;nom;ind,n;m;pl;gen;ind,C
flokk,flokkur,1_0,1_12,n;m;sg;acc;ind - n;m;sg;acc;def,n;m;sg;nom;ind - n;m;sg;nom;def,C
vegar,vegið,1_9,1_15,,,TGT_LEXICAL_ERROR
skírð,skírði,0_18,0_5,verb;actv;pp;f;sg;nom;sta - verb;actv;pp;nt;pl;nom;sta - verb;actv;pp;nt;pl;acc;sta,verb;actv;past;p1;sg - verb;actv;past;p3;sg - verb;actv;pss;p1;sg - verb;actv;pss;p3;sg - verb;actv;pp;m;sg;nom;vei,C
orðinu,orðunum,1_10,1_1,n;nt;sg;dat;def,n;nt;pl;dat;def,C
alda,aldar,1_14,1_9,n;f;sg;nom;ind - n;f;pl;gen;ind - verb;actv;pp;m;sg;acc;vei - verb;actv;pp;m;sg;dat;vei - verb;actv;pp;m;sg;gen;vei - verb;actv;pp;m;pl;acc;sta - verb;actv;pp;f;sg;nom;vei - verb;actv;pp;f;sg;acc;sta - verb;actv;pp;nt;sg;nom;vei - verb;actv;pp;nt;sg;acc;vei - verb;actv;pp;nt;sg;dat;vei - verb;actv;pp;nt;sg;gen;vei,n;f;sg;gen;ind - verb;actv;pp;f;pl;nom;sta - verb;actv;pp;f;pl;acc;sta,C
þjóni,þjónunum,1_7,1_1,n;m;sg;dat;def,n;m;pl;dat;ind,C
barn,barði,0_9,0_5,n;nt;sg;nom;ind - n;nt;sg;acc;ind,verb;actv;past;p1;sg - verb;actv;past;p3;sg - verb;actv;pp;m;sg;nom;vei,POS_PAIR_ERROR
mesta,mestu,1_14,1_17,adj;sup;m;sg;acc;vei - adj;sup;m;sg;dat;vei - adj;sup;m;sg;gen;vei - adj;sup;m;pl;acc;sta - adj;sup;f;sg;nom;vei - adj;sup;f;sg;acc;sta - adj;sup;nt;sg;nom;vei - adj;sup;nt;sg;acc;vei - adj;sup;nt;sg;dat;vei - adj;sup;nt;sg;gen;vei,verb;midv;imp;p2;sg - adj;sup;m;pl;nom;vei - adj;sup;m;pl;acc;vei - adj;sup;m;pl;dat;vei - adj;sup;m;pl;gen;vei - adj;sup;f;sg;acc;vei - adj;sup;f;sg;dat;vei - adj;sup;f;sg;gen;vei - adj;sup;f;pl;nom;vei - adj;sup;f;pl;acc;vei - adj;sup;f;pl;dat;vei - adj;sup;f;pl;gen;vei - adj;sup;nt;sg;dat;sta - adj;sup;nt;pl;nom;vei - adj;sup;nt;pl;acc;vei - adj;sup;nt;pl;dat;vei - adj;sup;nt;pl;gen;vei,C
kjöts,kjötið,1_13,1_15,n;nt;sg;gen;ind,n;nt;sg;nom;def - n;nt;sg;acc;def,C
konungunum,konung,1_1,1_0,n;m;pl;dat;def,n;m;sg;acc;ind,C
kostar,kosta,1_9,1_14,verb;actv;pri;p2;sg - verb;actv;pri;p3;sg - n;m;sg;gen;ind,verb;actv;inf - verb;actv;pri;p1;sg - verb;actv;pri;p3;pl - verb;actv;imp;p2;sg - n;m;pl;gen;ind,C
hlutur,hlutir,1_12,1_4,n;m;sg;nom;ind,n;m;pl;nom;ind,C
finna,finnur,0_20,0_16,verb;actv;inf - verb;actv;pri;p3;pl,verb;actv;pri;p2;sg - verb;actv;pri;p3;sg,C
vor,vora,1_0,1_14,n;nt;sg;nom;ind - n;nt;sg;acc;ind - n;nt;pl;nom;ind - n;nt;pl;acc;ind - prn;p1;mf;sg;gen,n;nt;pl;gen;ind,C
synduga,syndug,1_14,1_0,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
sálum,sál,1_2,1_0,n;f;pl;dat;ind,n;f;sg;nom;ind - n;f;sg;acc;ind - n;f;sg;dat;ind,C
röddu,röddin,1_17,1_6,,,SRC_LEXICAL_ERROR
fugla,fuglar,1_14,1_9,n;m;pl;acc;ind - n;m;pl;gen;ind,n;m;pl;nom;ind,C
hreinu,hreinum,1_17,1_2,adj;pst;m;pl;nom;vei - adj;pst;m;pl;acc;vei - adj;pst;m;pl;dat;vei - adj;pst;m;pl;gen;vei - adj;pst;f;sg;acc;vei - adj;pst;f;sg;dat;vei - adj;pst;f;sg;gen;vei - adj;pst;f;pl;nom;vei - adj;pst;f;pl;acc;vei - adj;pst;f;pl;dat;vei - adj;pst;f;pl;gen;vei - adj;pst;nt;sg;dat;sta - adj;pst;nt;pl;nom;vei - adj;pst;nt;pl;acc;vei - adj;pst;nt;pl;dat;vei - adj;pst;nt;pl;gen;vei,adj;pst;m;sg;dat;sta - adj;pst;m;pl;dat;sta - adj;pst;f;pl;dat;sta - adj;pst;nt;pl;dat;sta,C
sjálf,sjálfa,1_0,1_14,prn;ref;f;sg;nom - prn;ref;nt;pl;nom - prn;ref;nt;pl;acc,prn;ref;m;pl;acc - prn;ref;f;sg;acc,SRC_POS_ERROR TGT_POS_ERROR
inn,inni,0_14,0_15,adv;,adv;pst,SRC_POS_ERROR TGT_POS_ERROR
mínar,mínum,1_9,1_2,prn;pos;f;pl;nom - prn;pos;f;pl;acc,prn;pos;m;sg;dat - prn;pos;m;pl;dat - prn;pos;f;pl;dat - prn;pos;nt;pl;dat,SRC_POS_ERROR TGT_POS_ERROR
samþykk,samþykktu,0_14,0_4,verb;actv;imp;p2;sg,verb;actv;past;p3;pl - verb;actv;pss;p3;pl - verb;actv;imp;p2;sg - verb;actv;pp;m;pl;nom;vei - verb;actv;pp;m;pl;acc;vei - verb;actv;pp;m;pl;dat;vei - verb;actv;pp;m;pl;gen;vei - verb;actv;pp;f;sg;acc;vei - verb;actv;pp;f;sg;dat;vei - verb;actv;pp;f;sg;gen;vei - verb;actv;pp;f;pl;nom;vei - verb;actv;pp;f;pl;acc;vei - verb;actv;pp;f;pl;dat;vei - verb;actv;pp;f;pl;gen;vei - verb;actv;pp;nt;sg;gen;sta - verb;actv;pp;nt;pl;nom;vei - verb;actv;pp;nt;pl;acc;vei - verb;actv;pp;nt;pl;dat;vei - verb;actv;pp;nt;pl;gen;vei,C
hef,hefðu,0_14,0_13,verb;pri;p1;sg - verb;actv;imp;p2;sg,verb;pss;p3;pl - verb;actv;imp;p2;sg,C
verkinu,verka,1_10,1_14,n;nt;sg;dat;def,n;nt;pl;gen;ind,C
lendur,lendar,1_12,1_9,,,TGT_LEXICAL_ERROR
engla,englum,1_14,1_2,n;m;pl;acc;ind - n;m;pl;gen;ind,n;m;pl;dat;ind,C
rækur,ræktu,0_16,0_4,,,SRC_LEXICAL_ERROR
annt,annar,1_0,1_9,,,SRC_LEXICAL_ERROR
ljós,ljósið,1_0,1_15,n;nt;sg;nom;ind - n;nt;sg;acc;ind - n;nt;pl;nom;ind - n;nt;pl;acc;ind,n;nt;sg;nom;def - n;nt;sg;acc;def,C
