src word,tgt word,src slot,src msd,tgt slot,tgt msd,src apertium tags,tgt apertium tags,annotation
prisade,priset,2_11,ADJ;DEF;PL,2_4,PRN;NOM;NEUT;SG,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,n;nt;sg;def - n;nt;sg;def;compound-R - n;nt;sg;def - n;nt;sg;def;compound-R,POS_PAIR_ERROR;TGT_SLOT_ERROR
dricka,dricker,0_0,V;ACT;NFIN,0_8,V.CVB,verb;inf;actv - n;nt;sg;ind - n;ut;sg;ind - n;nt;sg;ind;compound-R - n;ut;sg;ind;compound-R - n;nt;sg;ind;cmp;compound-only-L,verb;pres;actv,ERR_TGT_SLOT_ERROR
utvalde,utvald,0_5,V.PTCP;PST,0_2,V;ACT;NFIN;COMPOUND,verb;past;actv - adj;sint;pst;m;sg;def - adj;pp;m;sg;def,adj;sint;pst;ut;sg;ind - adj;pp;ut;sg;ind,TGT_SLOT_ERROR
förseglet,förseglat,2_4,PRN;NOM;NEUT;SG,2_5,V.CVB;ACT,n;nt;sg;def - n;nt;sg;def;compound-R,verb;supn;actv - adj;pp;nt;sg;ind,ERR_TGT_SLOT_ERROR
överhet,överheten,1_1,N;INDF;NOM;SG,1_7,DET;SG,n;ut;sg;ind - n;ut;sg;ind;compound-R,n;ut;sg;def - n;ut;sg;def;compound-R,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
skriven,skrivet,0_6,ADJ;INDF;MASC+FEM;SG,0_2,V;ACT;NFIN;COMPOUND,adj;pp;ut;sg;ind,adj;pp;nt;sg;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
öppnade,öppnat,2_11,ADJ;DEF;PL,2_5,V.CVB;ACT,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,verb;supn;actv - adj;pp;nt;sg;ind,ERR_TGT_SLOT_ERROR
utropar,utropade,2_9,V;ACT;IND;PRS,2_11,ADJ;DEF;PL,verb;pres;actv - n;ut;sg;ind;cmp;compound-only-L,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,ERR_SRC_SLOT_ERROR
räknade,räknen,2_11,ADJ;DEF;PL,2_14,N;DEF;SG,,,UNK_TGT_SLOT_ERROR;TGT_LEXICAL_ERROR
bespottade,bespotta,2_11,ADJ;DEF;PL,2_12,V;IMP,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,verb;imp - verb;inf;actv,ERR_TGT_SLOT_ERROR
fördärvare,fördärvar,2_1,N;INDF;NOM;PL,2_9,V;ACT;IND;PRS,,,UNK_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR
bort,bor,0_10,ADJ;INDF;NEUT;SG,0_2,V;ACT;NFIN;COMPOUND,adv; - verb;supn;actv,verb;pres;actv - n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,PARADIGM_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
arglistige,arglistigt,0_5,V.PTCP;PST,0_10,ADJ;INDF;NEUT;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
Sofar,Sofa,2_9,V;ACT;IND;PRS,2_12,V;IMP,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
följen,följas,0_6,ADJ;INDF;MASC+FEM;SG,0_11,ADJ;INDF;GEN;PL,n;nt;pl;ind - n;nt;pl;ind;compound-R,verb;inf;pasv,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
jämnar,jämnad,2_9,V;ACT;IND;PRS,2_3,PRN,verb;pres;actv,adj;pp;ut;sg;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
Ara,Ard,0_0,V;ACT;NFIN,0_5,V.PTCP;PST,,,UNK_SRC_SLOT_ERROR;SRC_LEXICAL_ERROR
ladan,lador,0_2,V;ACT;NFIN;COMPOUND,0_13,ADJ;PRS;GEN,n;ut;sg;def - n;ut;sg;def;compound-R,n;ut;pl;ind - n;ut;pl;ind;compound-R,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
klokare,kloke,0_12,V.CVB;COMPV,0_5,V.PTCP;PST,adj;sint;comp;un;sp,adj;sint;pst;m;sg;def,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
beröven,berövar,2_14,N;DEF;SG,2_9,V;ACT;IND;PRS,,,UNK_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR
fastare,fastade,2_1,N;INDF;NOM;PL,2_11,ADJ;DEF;PL,adj;sint;comp;un;sp,verb;past;actv,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
Suf,Sufa,0_2,V;ACT;NFIN;COMPOUND,0_0,V;ACT;NFIN,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
förunnade,förunna,2_11,ADJ;DEF;PL,2_12,V;IMP,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,verb;imp - verb;inf;actv,ERR_TGT_SLOT_ERROR
viljas,viljen,0_11,ADJ;INDF;GEN;PL,0_6,ADJ;INDF;MASC+FEM;SG,,,ERR_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;TGT_LEXICAL_ERROR
rota,rota,2_12,V;IMP,2_12,V;IMP,verb;imp - verb;inf;actv - verb;inf;actv;cmp;compound-only-L,verb;imp - verb;inf;actv - verb;inf;actv;cmp;compound-only-L,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
bitter,bittert,0_2,V;ACT;NFIN;COMPOUND,0_10,ADJ;INDF;NEUT;SG,adj;sint;pst;ut;sg;ind,adj;sint;pst;nt;sg;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
höge,högt,0_5,V.PTCP;PST,0_10,ADJ;INDF;NEUT;SG,adj;sint;pst;m;sg;def,adj;sint;pst;nt;sg;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
meddelat,meddelas,2_5,V.CVB;ACT,2_7,V;PASS;NFIN,verb;supn;actv,verb;inf;pasv - verb;pres;pasv,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
undervisas,undervisa,2_7,V;PASS;NFIN,2_12,V;IMP,verb;inf;pasv - verb;pres;pasv,verb;imp - verb;inf;actv,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
vän,vände,0_2,V;ACT;NFIN;COMPOUND,0_1,V;ACT;IND;PST,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L - adj;sint;pst;ut;sg;ind,verb;past;actv - adj;pp;m;sg;def - n;ut;sg;ind;cmp;compound-only-L,PARADIGM_ERROR;SRC_SLOT_ERROR
lovsången,lovsångs,1_7,DET;SG,1_2,N;INDF;GEN;PL,n;ut;sg;def - n;ut;sg;def;compound-R,n;ut;sg;ind;gen - n;ut;sg;ind;gen;compound-R - n;ut;sg;ind;cmp;compound-only-L,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
ogudaktigt,ogudaktigare,0_10,ADJ;INDF;NEUT;SG,0_12,V.CVB;COMPV,adj;sint;pst;nt;sg;ind,adj;sint;comp;un;sp,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
stången,stångar,2_14,N;DEF;SG,2_9,V;ACT;IND;PRS,n;ut;sg;def - n;ut;sg;def;compound-R,verb;pres;actv,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
uppfylle,uppfyllen,0_5,V.PTCP;PST,0_6,ADJ;INDF;MASC+FEM;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
Ordet,Ord,1_8,N;DEF;NOM;SG,1_1,N;INDF;NOM;SG,n;nt;sg;def - n;nt;sg;def;compound-R,n;nt;sg;ind - n;nt;pl;ind - n;nt;sg;ind;compound-R - n;nt;pl;ind;compound-R - n;nt;sg;ind;cmp;compound-only-L,C
förhärda,förhärdad,2_12,V;IMP,2_3,PRN,verb;imp - verb;inf;actv,adj;pp;ut;sg;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
ofärden,ofärds,1_7,DET;SG,1_2,N;INDF;GEN;PL,n;ut;sg;def - n;ut;sg;def;compound-R,n;ut;sg;ind;gen - n;ut;sg;ind;gen;compound-R - n;ut;sg;ind;cmp;compound-only-L,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
tages,tagit,0_3,V;PASS;IND;PRS,0_14,PRN;NEUT;SG,verb;prs;pasv - verb;pres;pasv,verb;supn;actv,ERR_TGT_SLOT_ERROR
gång,gångerna,1_1,N;INDF;NOM;SG,1_5,N;DEF;PL,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,n;ut;pl;def - n;ut;pl;def;compound-R,ERR_SRC_SLOT_ERROR
frommas,fromme,0_11,ADJ;INDF;GEN;PL,0_5,V.PTCP;PST,adj;sint;pst;un;pl;ind;gen - adj;sint;pst;un;pl;def;gen - adj;sint;pst;fn;sg;def;gen,adj;sint;pst;m;sg;def,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
höljes,hölje,0_3,V;PASS;IND;PRS,0_5,V.PTCP;PST,n;nt;sg;ind;gen - n;nt;sg;ind;gen;compound-R - verb;pres;pasv,n;nt;sg;ind - n;nt;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,TGT_SLOT_ERROR
fläck,fläckar,2_2,N;INDF;NOM;SG;COMPOUND,2_9,V;ACT;IND;PRS,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L - verb;inf;actv;cmp;compound-only-L,verb;pres;actv - n;ut;pl;ind - n;ut;pl;ind;compound-R,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
trötta,trött,0_0,V;ACT;NFIN,0_2,V;ACT;NFIN;COMPOUND,verb;imp - verb;inf;actv - adj;sint;pst;un;pl;ind - adj;sint;pst;un;pl;def - adj;sint;pst;fn;sg;def,adj;sint;pst;nt;sg;ind - adj;sint;pst;ut;sg;ind - verb;inf;actv;cmp;compound-only-L,C
anklagad,anklagade,2_3,PRN,2_11,ADJ;DEF;PL,adj;pp;ut;sg;ind,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,ERR_SRC_SLOT_ERROR
invig,invigas,0_2,V;ACT;NFIN;COMPOUND,0_11,ADJ;INDF;GEN;PL,verb;imp - verb;inf;actv;cmp;compound-only-L,verb;inf;pasv,ERR_TGT_SLOT_ERROR
framställa,framställa,0_0,V;ACT;NFIN,0_0,V;ACT;NFIN,verb;inf;actv,verb;inf;actv,C
framställa,framställda,0_0,V;ACT;NFIN,0_0,V;ACT;NFIN,verb;inf;actv,adj;pp;pl;ind - adj;pp;pl;def - adj;pp;fn;sg;def,POS_PAIR_ERROR;TGT_SLOT_ERROR
salar,sal,1_0,N;INDF;PL,1_1,N;INDF;NOM;SG,verb;pres;actv - n;ut;pl;ind - n;ut;pl;ind;compound-R,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L - verb;inf;actv;cmp;compound-only-L,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
mågar,måg,2_9,V;ACT;IND;PRS,2_2,N;INDF;NOM;SG;COMPOUND,n;ut;pl;ind - n;ut;pl;ind;compound-R,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
räckt,räck,0_10,ADJ;INDF;NEUT;SG,0_2,V;ACT;NFIN;COMPOUND,verb;supn;actv - adj;pp;nt;sg;ind - adj;pp;ut;sg;ind,verb;imp - n;nt;sg;ind - n;nt;pl;ind - n;nt;sg;ind;compound-R - n;nt;pl;ind;compound-R - n;nt;sg;ind;cmp;compound-only-L - n;ut;sg;ind;cmp - verb;inf;actv;cmp;compound-only-L - n;ut;sg;ind;cmp;compound-only-L,MAPPED_POS_PAIR_ERROR
Jojakims,Jojakim,1_2,N;INDF;GEN;PL,1_1,N;INDF;NOM;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
vilar,vilen,2_9,V;ACT;IND;PRS,2_14,N;DEF;SG,,,ERR_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;TGT_LEXICAL_ERROR
spetälsk,spetälske,0_2,V;ACT;NFIN;COMPOUND,0_5,V.PTCP;PST,adj;sint;pst;ut;sg;ind,adj;sint;pst;m;sg;def,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
Svara,Svarar,2_12,V;IMP,2_9,V;ACT;IND;PRS,verb;imp - verb;inf;actv,verb;pres;actv,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
kalva,kalv,2_12,V;IMP,2_2,N;INDF;NOM;SG;COMPOUND,verb;imp - verb;inf;actv - verb;inf;actv;cmp;compound-only-L,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
döden,dödas,2_14,N;DEF;SG,2_7,V;PASS;NFIN,n;ut;sg;def - n;ut;sg;def;compound-R,adj;sint;pst;un;pl;ind;gen - adj;sint;pst;un;pl;def;gen - adj;sint;pst;fn;sg;def;gen - verb;inf;pasv - verb;pres;pasv,ERR_SRC_SLOT_ERROR
gynnsam,gynnsamt,0_2,V;ACT;NFIN;COMPOUND,0_10,ADJ;INDF;NEUT;SG,adj;sint;pst;ut;sg;ind,adj;sint;pst;nt;sg;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
förjagar,förjagat,2_9,V;ACT;IND;PRS,2_5,V.CVB;ACT,verb;pres;actv,verb;supn;actv - adj;pp;nt;sg;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
inför,införa,0_2,V;ACT;NFIN;COMPOUND,0_0,V;ACT;NFIN,pr; - verb;imp - verb;pres;actv - verb;inf;actv;cmp;compound-only-L,verb;inf;actv,C
tavlor,tavla,0_13,ADJ;PRS;GEN,0_0,V;ACT;NFIN,n;ut;pl;ind - n;ut;pl;ind;compound-R,n;ut;sg;ind - n;ut;sg;ind;compound-R,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
doppade,doppa,2_11,ADJ;DEF;PL,2_12,V;IMP,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,verb;imp - verb;inf;actv,ERR_TGT_SLOT_ERROR
Teba,Tebet,0_0,V;ACT;NFIN,0_2,V;ACT;NFIN;COMPOUND,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
pölen,pöl,1_7,DET;SG,1_1,N;INDF;NOM;SG,n;ut;sg;def - n;ut;sg;def;compound-R,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
kamelston,kamelsto,0_6,ADJ;INDF;MASC+FEM;SG,0_2,V;ACT;NFIN;COMPOUND,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ar,art,0_2,V;ACT;NFIN;COMPOUND,0_10,ADJ;INDF;NEUT;SG,n;un;sg;ind - n;un;pl;ind,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,ERR_TGT_SLOT_ERROR
utmarker,utmark,1_0,N;INDF;PL,1_1,N;INDF;NOM;SG,n;ut;pl;ind - n;ut;pl;ind;compound-R,n;ut;sg;ind - n;ut;sg;ind;compound-R,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
okändes,okända,0_3,V;PASS;IND;PRS,0_0,V;ACT;NFIN,adj;sint;pst;m;sg;def;gen,adj;sint;pst;un;pl;ind - adj;sint;pst;un;pl;def - adj;sint;pst;fn;sg;def,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
gårdar,gården,1_0,N;INDF;PL,1_7,DET;SG,n;ut;pl;ind - n;ut;pl;ind;compound-R,n;ut;sg;def - n;ut;sg;def;compound-R,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
tro,tror,0_15,ADJ;INDF;NOM;PL,0_13,ADJ;PRS;GEN,verb;imp - verb;inf;actv - n;ut;sg;ind - n;ut;sg;ind;compound-R - verb;inf;actv;cmp;compound-only-L,verb;pres;actv,ERR_TGT_SLOT_ERROR
hanne,hannar,1_1,N;INDF;NOM;SG,1_0,N;INDF;PL,n;ut;sg;ind - n;ut;sg;ind;compound-R,n;ut;pl;ind - n;ut;pl;ind;compound-R,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
veten,vette,0_6,ADJ;INDF;MASC+FEM;SG,0_1,V;ACT;IND;PST,,,UNK_SRC_SLOT_ERROR;SRC_LEXICAL_ERROR
efterlämnade,efterlämnade,2_11,ADJ;DEF;PL,2_11,ADJ;DEF;PL,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,C
förstör,förstörare,0_2,V;ACT;NFIN;COMPOUND,0_12,V.CVB;COMPV,,,UNK_TGT_SLOT_ERROR;TGT_LEXICAL_ERROR
härs,härd,0_4,N;INDF;GEN;SG,0_5,V.PTCP;PST,n;ut;sg;ind;gen - n;ut;sg;ind;gen;compound-R - n;ut;sg;ind;cmp;compound-only-L,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L - verb;inf;actv;cmp;compound-only-L,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
förgäten,förgätet,0_6,ADJ;INDF;MASC+FEM;SG,0_2,V;ACT;NFIN;COMPOUND,adj;pp;ut;sg;ind,adj;pp;nt;sg;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
sönderslaget,sönderslagen,1_8,N;DEF;NOM;SG,1_7,DET;SG,adj;pp;nt;sg;ind,adj;pp;ut;sg;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
tala,tal,2_12,V;IMP,2_2,N;INDF;NOM;SG;COMPOUND,verb;imp - verb;inf;actv,n;nt;sg;ind - n;nt;pl;ind - n;nt;sg;ind;compound-R - n;nt;sg;ind;cmp;compound-only-L - verb;inf;actv;cmp;compound-only-L,ERR_SRC_SLOT_ERROR
övergivet,övergivit,0_2,V;ACT;NFIN;COMPOUND,0_14,PRN;NEUT;SG,adj;pp;nt;sg;ind - adj;sint;pst;nt;sg;ind,verb;supn;actv,ERR_TGT_SLOT_ERROR
Kenaana,Kenaanas,0_0,V;ACT;NFIN,0_11,ADJ;INDF;GEN;PL,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
steker,stekt,0_8,V.CVB,0_10,ADJ;INDF;NEUT;SG,verb;pres;actv,verb;supn;actv - adj;pp;nt;sg;ind - adj;pp;ut;sg;ind,ERR_SRC_SLOT_ERROR
landshövdingen,landshövdingens,1_7,DET;SG,1_6,N;DEF;GEN;SG,n;ut;sg;def - n;ut;sg;def;compound-R,n;ut;sg;def;gen - n;ut;sg;def;gen;compound-R,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
förstöra,förstörde,0_0,V;ACT;NFIN,0_1,V;ACT;IND;PST,verb;inf;actv,verb;past;actv - adj;pst;un;pl;ind - adj;pst;un;pl;def - adj;pst;m;sg;def - adj;pst;fn;sg;def - adj;pp;m;sg;def,C
fläckat,fläckad,2_5,V.CVB;ACT,2_3,PRN,verb;supn;actv - adj;pp;nt;sg;ind,adj;pp;ut;sg;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
både,bådat,2_15,ADJ;DEF;MASC;SG,2_5,V.CVB;ACT,adv; - cnjcoo; - n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L,verb;supn;actv,ERR_TGT_SLOT_ERROR
förhindra,förhindrar,2_12,V;IMP,2_9,V;ACT;IND;PRS,verb;imp - verb;inf;actv - verb;inf;actv;cmp;compound-only-L,verb;pres;actv,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
sorgsen,sorgsen,1_7,DET;SG,1_7,DET;SG,adj;sint;pst;ut;sg;ind,adj;sint;pst;ut;sg;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
bevisade,bevisas,2_11,ADJ;DEF;PL,2_7,V;PASS;NFIN,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,verb;inf;pasv - verb;pres;pasv,ERR_TGT_SLOT_ERROR
förgätna,förgäte,0_0,V;ACT;NFIN,0_5,V.PTCP;PST,adj;pp;pl;ind - adj;pp;pl;def - adj;pp;fn;sg;def,verb;prs;actv,POS_PAIR_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
