src word,tgt word,src slot,src predicted MSD,tgt slot,tgt predicted MSD,src apertium tags,tgt apertium tags,annotation
πρῶτος,πρῶτο,0_2,N;NOM;SG,0_10,ADJ;VOC;SG;NEUT,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
παλαιὰ,παλαιὸς,2_1,?,2_21,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
φωνῆς,φωνὴ,2_5,?,2_20,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
κηρύσσεται,κηρύσσομεν,1_1,ADJ;VOC;PL;FEM;SPRL;AB,1_0,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
αὐτῶν,αὐτοὺς,2_24,?,2_15,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
βέβαιος,βέβαιοι,0_2,N;NOM;SG,0_13,ADJ;NOM;PL;MASC,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
πονηρίας,πονηροῦ,2_11,V;2;PL;IPFV;PST,2_17,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
λαμβάνομεν,λαμβάνει,1_0,?,1_10,V;3;SG;IPFV;PRS,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ὑπομονητικός,ὑπομονητικὸς,2_22,ADJ;NOM;SG;MASC,2_21,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἐλεημοσύνες,ἐλεημοσύνην,0_9,N;NOM;PL,0_4,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἰατροὺς,ἰατρὸν,2_15,?,2_4,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
πόσες,πόσον,0_9,N;NOM;PL,0_1,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
βοηθὸν,βοηθήσῃ,2_4,?,2_18,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
περιμένουν,περιμένομεν,1_5,?,1_0,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἰσραηλιτικὸς,ἰσραηλιτικὴν,2_21,?,2_12,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἱκανοὶ,ἱκανὸς,2_19,?,2_21,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
πάρε,πάρει,1_11,V;2;SG;IMP,1_10,V;3;SG;IPFV;PRS,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἐδιάλεξες,ἐδιάλεξα,0_9,N;NOM;PL,0_0,N;ACC;SG,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
τούτους,τούτων,0_7,ADJ;ACC;PL;MASC,0_8,N;GEN;PL,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἐπέστρεφε,ἐπέστρεφαν,0_12,V;3;SG;PFV;PST,0_5,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
προσπεράσωμεν,προσπεράσῃ,1_7,?,1_4,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
πρώτων,πρώτη,0_8,N;GEN;PL,0_14,ADJ;NOM;SG;FEM,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἔχει,ἔχε,1_10,V;3;SG;IPFV;PRS,1_11,V;2;SG;IMP,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ζαχαρίαν,ζαχαρίας,0_5,?,0_11,N;GEN;SG,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἔδειξα,ἔδειξε,0_0,N;ACC;SG,0_12,V;3;SG;PFV;PST,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
πάρει,πάρε,1_10,V;3;SG;IPFV;PRS,1_11,V;2;SG;IMP,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
χρόνος,χρόνον,0_2,N;NOM;SG,0_1,?,,,TGT_LEXICAL_ERROR
γράψῃς,γράψε,1_2,?,1_11,V;2;SG;IMP,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
προσφέρουν,προσφέρεται,1_5,?,1_1,ADJ;VOC;PL;FEM;SPRL;AB,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
κάποιος,κάποιαν,0_2,N;NOM;SG,0_5,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
γεμᾶτο,γεμᾶτες,0_10,ADJ;VOC;SG;NEUT,0_9,N;NOM;PL,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἀγαπητόν,ἀγαπητός,2_13,ADJ;NOM;SG;NEUT,2_22,ADJ;NOM;SG;MASC,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἁλωνίζει,ἁλωνίζῃ,1_10,V;3;SG;IPFV;PRS,1_4,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἁμαρτωλὴν,ἁμαρτωλοί,2_12,?,2_6,ADJ;VOC;PL;MASC,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
κακόν,κακοί,2_13,ADJ;NOM;SG;NEUT,2_6,ADJ;VOC;PL;MASC,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἔχουν,ἔχων,1_5,?,1_9,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἀδελφοὶ,ἀδελφοῦ,2_19,?,2_17,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
παρεισέφρυσαν,παρεισέφρυσε,0_5,?,0_12,V;3;SG;PFV;PST,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
περιφρονήσῃ,περιφρονῇ,2_18,?,2_2,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
παρηγορήσῃ,παρηγορίας,2_18,?,2_11,V;2;PL;IPFV;PST,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
προσηλωμένον,προσηλωμένα,0_1,?,0_0,N;ACC;SG,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
σημερινὴν,σημερινὸν,2_12,?,2_4,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἐξωτερικά,ἐξωτερική,2_14,N;ACC;PL,2_0,N;VOC;SG,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
πνευματικόν,πνευματικὸς,2_13,ADJ;NOM;SG;NEUT,2_21,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
περιτμημένων,περιτμημένοι,0_8,N;GEN;PL,0_13,ADJ;NOM;PL;MASC,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
δῶρά,δῶρον,0_3,?,0_1,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
πραγματικοὶ,πραγματικὸν,2_19,?,2_4,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
μαρτυρεῖ,μαρτυροῦν,2_8,?,2_3,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἐπιθυμίαν,ἐπιθυμῶ,2_23,?,2_7,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
λόγων,λόγους,0_8,N;GEN;PL,0_7,ADJ;ACC;PL;MASC,n;m;pl;gen,n;m;pl;acc,C
δοξάζωμεν,δοξάζεται,1_7,?,1_1,ADJ;VOC;PL;FEM;SPRL;AB,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
λίγες,λίγη,0_9,N;NOM;PL,0_14,ADJ;NOM;SG;FEM,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἔστειλες,ἔστειλαν,0_9,N;NOM;PL,0_5,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ὅλες,ὅλου,0_9,N;NOM;PL,0_15,ADJ;GEN;SG;NEUT,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
θρησκεία,θρησκείαν,0_0,N;ACC;SG,0_5,?,,,TGT_LEXICAL_ERROR
καρποῦ,καρπῶν,2_17,?,2_24,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
διδάσκῃ,διδάσκουν,1_4,?,1_5,?,,,SRC_LEXICAL_ERROR
πόρνες,πόρνοι,0_9,N;NOM;PL,0_13,ADJ;NOM;PL;MASC,,,TGT_LEXICAL_ERROR
γλῶσσα,γλῶσσά,0_0,N;ACC;SG,0_3,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
λαοῦ,λαοί,2_17,?,2_6,ADJ;VOC;PL;MASC,,,SRC_LEXICAL_ERROR
ζωοποιεῖ,ζωοποιήσῃ,2_8,?,2_18,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
καλοὺς,καλὸς,2_15,?,2_21,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ραδιουργίαν,ραδιουργίαι,0_1,?,0_6,N;VOC;PL,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἀκολουθεῖ,ἀκολουθήσῃ,2_8,?,2_18,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
περιτομῆς,περιτομὴν,2_5,?,2_12,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ξέρομεν,ξέρῃ,1_0,?,1_4,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
περισσότερα,περισσότεροι,0_0,N;ACC;SG,0_13,ADJ;NOM;PL;MASC,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
κακοί,κακά,2_6,ADJ;VOC;PL;MASC,2_14,N;ACC;PL,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
πέτρα,πέτρον,0_0,N;ACC;SG,0_1,?,,,TGT_LEXICAL_ERROR
ἔκλεισα,ἔκλεισαν,0_0,N;ACC;SG,0_5,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
γνωστὸς,γνωστός,2_21,?,2_22,ADJ;NOM;SG;MASC,,,SRC_LEXICAL_ERROR
θεραπεύει,θεραπεύουν,1_10,V;3;SG;IPFV;PRS,1_5,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
πνεύματι,πνεύματα,0_6,N;VOC;PL,0_0,N;ACC;SG,,,SRC_LEXICAL_ERROR
γνωρίσουν,γνωρίσετε,1_5,?,1_3,V;2;PL;IMP,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
πέτρε,πέτρες,0_12,V;3;SG;PFV;PST,0_9,N;NOM;PL,,,SRC_LEXICAL_ERROR
μετέχουν,μετέχῃ,1_5,?,1_4,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
προξενῇ,προξενήσῃ,2_2,?,2_18,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
γεμᾶτοι,γεμᾶτος,0_13,ADJ;NOM;PL;MASC,0_2,N;NOM;SG,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἁμαρτωλῶν,ἁμαρτωλός,2_24,?,2_22,ADJ;NOM;SG;MASC,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
κατάρες,κατάρα,0_9,N;NOM;PL,0_0,N;ACC;SG,n;f;pl;nom - n;f;pl;acc - n;f;pl;voc,n;f;sg;nom - n;f;sg;acc - n;f;sg;voc,C
τυφλοὺς,τυφλὸν,2_15,?,2_4,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
αὐτοὶ,αὐτοῦ,2_19,?,2_17,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἐθνικός,ἐθνικοί,2_22,ADJ;NOM;SG;MASC,2_6,ADJ;VOC;PL;MASC,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ναοῦ,ναός,2_17,?,2_22,ADJ;NOM;SG;MASC,,,SRC_LEXICAL_ERROR
τελευταῖοι,τελευταῖον,0_13,ADJ;NOM;PL;MASC,0_1,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
εὐεργετῆτε,εὐεργετῶν,2_9,?,2_24,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
φέρετε,φέρει,1_3,V;2;PL;IMP,1_10,V;3;SG;IPFV;PRS,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
λαβαίνεις,λαβαίνω,1_6,V;2;SG;IPFV;PRS,1_8,V;1;SG;IPFV;PRS,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
τελεία,τελείους,0_0,N;ACC;SG,0_7,ADJ;ACC;PL;MASC,,,TGT_LEXICAL_ERROR
ἀληθινά,ἀληθινός,2_14,N;ACC;PL,2_22,ADJ;NOM;SG;MASC,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
δίνεις,δίνετε,1_6,V;2;SG;IPFV;PRS,1_3,V;2;PL;IMP,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
σύρουν,σύρων,1_5,?,1_9,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἐξωτερικόν,ἐξωτερικὰ,2_13,ADJ;NOM;SG;NEUT,2_1,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ναοὺς,ναὸς,2_15,?,2_21,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἐρώτησε,ἐρώτησα,0_12,V;3;SG;PFV;PST,0_0,N;ACC;SG,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἔρημα,ἔρημους,0_0,N;ACC;SG,0_7,ADJ;ACC;PL;MASC,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
τρέφουν,τρέφεται,1_5,?,1_1,ADJ;VOC;PL;FEM;SPRL;AB,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἐλευθέρων,ἐλευθέρα,0_8,N;GEN;PL,0_0,N;ACC;SG,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
τηρῇ,τηρεῖ,2_2,?,2_8,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
πόσος,πόσην,0_2,N;NOM;SG,0_4,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
χαίρω,χαίρουν,1_8,V;1;SG;IPFV;PRS,1_5,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ὁλόγυρα,ὁλόγυρά,0_0,N;ACC;SG,0_3,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
γεμᾶτο,γεμᾶτοι,0_10,ADJ;VOC;SG;NEUT,0_13,ADJ;NOM;PL;MASC,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
γίνει,γίνῃ,1_10,V;3;SG;IPFV;PRS,1_4,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
κοινοῦ,κοινοὶ,2_17,?,2_19,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
κρίνετε,κρίνεις,1_3,V;2;PL;IMP,1_6,V;2;SG;IPFV;PRS,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἀνθρώπινον,ἀνθρώπινην,0_1,?,0_4,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἄψογα,ἄψογη,0_0,N;ACC;SG,0_14,ADJ;NOM;SG;FEM,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
πύρινες,πύρινη,0_9,N;NOM;PL,0_14,ADJ;NOM;SG;FEM,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
αὐτοί,αὐτά,2_6,ADJ;VOC;PL;MASC,2_14,N;ACC;PL,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
λουτροῦ,λουτρὸν,2_17,?,2_4,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
σταυροῦ,σταυρόν,2_17,?,2_13,ADJ;NOM;SG;NEUT,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
πιστεύωμεν,πιστεύετε,1_7,?,1_3,V;2;PL;IMP,,,SRC_LEXICAL_ERROR
καλεῖ,καλὸν,2_8,?,2_4,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
περιφρονῇ,περιφρονήσῃ,2_2,?,2_18,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
σκηνῆς,σκηνὴν,2_5,?,2_12,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
καταστρέφῃ,καταστρέφει,1_4,?,1_10,V;3;SG;IPFV;PRS,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
δεξαμενή,δεξαμενήν,2_0,N;VOC;SG,2_10,?,,,TGT_LEXICAL_ERROR
τελευταῖον,τελευταῖος,0_1,?,0_2,N;NOM;SG,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἐχθρὸν,ἐχθροῦ,2_4,?,2_17,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
πιστέψῃ,πιστέψει,1_4,?,1_10,V;3;SG;IPFV;PRS,,,SRC_LEXICAL_ERROR
κακή,κακὰ,2_0,N;VOC;SG,2_1,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
μισθωτοὺς,μισθωτός,2_15,?,2_22,ADJ;NOM;SG;MASC,,,SRC_LEXICAL_ERROR
πείσωμεν,πείσῃς,1_7,?,1_2,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
φάγω,φάγετε,1_8,V;1;SG;IPFV;PRS,1_3,V;2;PL;IMP,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἐξετάζετε,ἐξετάζεται,1_3,V;2;PL;IMP,1_1,ADJ;VOC;PL;FEM;SPRL;AB,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἑτοίμασες,ἑτοίμασα,0_9,N;NOM;PL,0_0,N;ACC;SG,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἐμοί,ἐμοῦ,2_6,ADJ;VOC;PL;MASC,2_17,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
εἶδος,εἶδε,0_2,N;NOM;SG,0_12,V;3;SG;PFV;PST,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
σεβασμὸν,σεβασμόν,2_4,?,2_13,ADJ;NOM;SG;NEUT,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
θυμὸν,θυμόν,2_4,?,2_13,ADJ;NOM;SG;NEUT,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
καθαροὶ,καθαρὰ,2_19,?,2_1,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
νηστεύουν,νηστεύομεν,1_5,?,1_0,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἐξορκίζομεν,ἐξορκίζω,1_0,?,1_8,V;1;SG;IPFV;PRS,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἁμαρτωλὸς,ἁμαρτωλὴ,2_21,?,2_20,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἐλεύθερα,ἐλεύθερος,0_0,N;ACC;SG,0_2,N;NOM;SG,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
συνετός,συνετά,2_22,ADJ;NOM;SG;MASC,2_14,N;ACC;PL,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
φθαρτόν,φθαρτοῦ,2_13,ADJ;NOM;SG;NEUT,2_17,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἐκλεκτὸν,ἐκλεκτοί,2_4,?,2_6,ADJ;VOC;PL;MASC,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
κάνῃς,κάνῃ,1_2,?,1_4,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
δημιουργεῖ,δημιουργίας,2_8,?,2_11,V;2;PL;IPFV;PST,,,SRC_LEXICAL_ERROR
οὐρανὸν,οὐρανοὺς,2_4,?,2_15,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἔζησα,ἔζησαν,0_0,N;ACC;SG,0_5,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
πρώτας,πρώτα,0_11,N;GEN;SG,0_0,N;ACC;SG,,,SRC_LEXICAL_ERROR
κρίνεται,κρίνεις,1_1,ADJ;VOC;PL;FEM;SPRL;AB,1_6,V;2;SG;IPFV;PRS,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
κρίνῃς,κρίνωμεν,1_2,?,1_7,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
νεκρὰ,νεκρός,2_1,?,2_22,ADJ;NOM;SG;MASC,,,SRC_LEXICAL_ERROR
ἰουδαϊκῶν,ἰουδαϊκὸν,2_24,?,2_4,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ὑπεροχὴν,ὑπεροχῆς,2_12,?,2_5,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἀντιλέγεις,ἀντιλέγουν,1_6,V;2;SG;IPFV;PRS,1_5,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
κατακρίνετε,κατακρίνῃ,1_3,V;2;PL;IMP,1_4,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
μυστικὸν,μυστικὴν,2_4,?,2_12,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
στερεὸν,στερεὰ,2_4,?,2_1,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
βέβαιος,βέβαιον,0_2,N;NOM;SG,0_1,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ὠφέλιμον,ὠφέλιμη,0_1,?,0_14,ADJ;NOM;SG;FEM,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
κάμετε,κάμῃ,1_3,V;2;PL;IMP,1_4,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
κεφαλή,κεφαλήν,2_0,N;VOC;SG,2_10,?,,,TGT_LEXICAL_ERROR
διακόσιες,διακόσιους,0_9,N;NOM;PL,0_7,ADJ;ACC;PL;MASC,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἀδελφός,ἀδελφὴν,2_22,ADJ;NOM;SG;MASC,2_12,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἐλεύθερη,ἐλεύθερα,0_14,ADJ;NOM;SG;FEM,0_0,N;ACC;SG,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
φίλον,φίλοι,0_1,?,0_13,ADJ;NOM;PL;MASC,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
παληά,παληὰ,2_14,N;ACC;PL,2_1,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
σεμνή,σεμνὴν,2_0,N;VOC;SG,2_12,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἐκήρυττα,ἐκήρυτταν,0_0,N;ACC;SG,0_5,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἀρκετὰ,ἀρκετὴν,2_1,?,2_12,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἁμαρτωλὴ,ἁμαρτωλὸς,2_20,?,2_21,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
μόνην,μόνους,0_4,?,0_7,ADJ;ACC;PL;MASC,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
λαοί,λαοὶ,2_6,ADJ;VOC;PL;MASC,2_19,?,,,TGT_LEXICAL_ERROR
δυνατόν,δυνατοὶ,2_13,ADJ;NOM;SG;NEUT,2_19,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
πλουσίαν,πλουσίας,0_5,?,0_11,N;GEN;SG,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
μεγάλον,μεγάλων,0_1,?,0_8,N;GEN;PL,,,SRC_LEXICAL_ERROR
ζωντανὰ,ζωντανοῦ,2_1,?,2_17,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
αὐτοί,αὐτὴν,2_6,ADJ;VOC;PL;MASC,2_12,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
πτωχὴν,πτωχὸν,2_12,?,2_4,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἔχῃ,ἔχω,1_4,?,1_8,V;1;SG;IPFV;PRS,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἐνεργὸν,ἐνεργῆτε,2_4,?,2_9,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
