src word,tgt word,src slot,src predicted MSD,tgt slot,tgt predicted MSD,src apertium tags,tgt apertium tags,annotation
dejes,dejarlo,1_25,V;SBJV;PRS;2;SG,1_21,?,n;m;pl - verb;prs;p2;sg,verb;inf;prn;enc;p3;nt - verb;inf;prn;enc;p3;m;sg,C
persona,personas,2_6,V;SBJV;PRS;1;SG,2_2,V.PTCP;PST;FEM;PL,n;f;sg - verb;pri;p3;sg - verb;imp;p2;sg,n;f;pl - verb;pri;p2;sg,C
deba,deben,0_12,V;SBJV;PRS;3;SG,0_10,V;SBJV;PST;2;PL,verb;prs;p3;sg - verb;prs;p1;sg - verb;imp;p3;sg - verb;prs;p3;sg - verb;prs;p1;sg,verb;pri;p3;pl - verb;pri;p3;pl,C
confiamos,confiará,1_4,V;IND;PST;1;PL;PFV,1_1,V;IND;FUT;3;SG,verb;ifi;p1;pl - verb;pri;p1;pl,verb;fti;p3;sg,C
conocen,conocer,0_10,V;SBJV;PST;2;PL,0_3,V;IND;FUT;2;SG,verb;pri;p3;pl,verb;inf,C
construye,construyó,1_22,V;POS;IMP;3;SG,1_15,V;IND;PST;3;SG;PFV,verb;pri;p3;sg - verb;imp;p2;sg,verb;ifi;p3;sg,C
reinar,reino,1_14,V;NFIN,1_10,V;IND;PRS;1;SG,verb;inf,n;m;sg - verb;pri;p1;sg,C
terminar,terminara,1_14,V;NFIN,1_8,V;SBJV;PST;3;SG;LGSPEC1,verb;inf,verb;pis;p3;sg - verb;pis;p1;sg,C
pasen,pasado,1_17,V;SBJV;PRS;3;PL,1_13,V.PTCP;PST;MASC;SG,verb;prs;p3;pl - verb;imp;p3;pl,adj;m;sg - n;m;sg - verb;pp;m;sg,C
llegará,llegado,1_1,V;IND;FUT;3;SG,1_13,V.PTCP;PST;MASC;SG,verb;fti;p3;sg,verb;pp;m;sg,C
presenté,presente,1_20,V;IND;PST;1;SG;PFV,1_22,V;POS;IMP;3;SG,verb;ifi;p1;sg,adj;mf;sg - n;m;sg - verb;prs;p3;sg - verb;prs;p1;sg - verb;imp;p3;sg,C
mataron,matan,1_0,V;IND;PST;3;PL;PFV,1_16,V;IND;PRS;3;PL,verb;ifi;p3;pl,verb;pri;p3;pl,C
considero,consideró,1_10,V;IND;PRS;1;SG,1_15,V;IND;PST;3;SG;PFV,verb;pri;p1;sg,verb;ifi;p3;sg,C
buscar,buscando,1_14,V;NFIN,1_12,V.CVB;PRS,verb;inf,verb;ger,C
pase,pasados,1_22,V;POS;IMP;3;SG,1_18,V.PTCP;PST;MASC;PL,n;m;sg - verb;prs;p3;sg - verb;prs;p1;sg - verb;imp;p3;sg,adj;m;pl - n;m;pl - verb;pp;m;pl,C
odias,odien,1_24,V;IND;PRS;2;SG,1_17,V;SBJV;PRS;3;PL,verb;pri;p2;sg,verb;prs;p3;pl - verb;imp;p3;pl,C
bautizando,bautizamos,1_12,V.CVB;PRS,1_4,V;IND;PST;1;PL;PFV,verb;ger,verb;ifi;p1;pl - verb;pri;p1;pl,C
insistes,insisten,0_4,V;IND;PST;2;PL;IPFV,0_10,V;SBJV;PST;2;PL,verb;pri;p2;sg,verb;pri;p3;pl,C
atrevía,atreve,0_1,V;IND;PST;3;SG;IPFV,0_14,V;IND;PRS;3;SG,verb;pii;p3;sg - verb;pii;p1;sg,verb;pri;p3;sg - verb;imp;p2;sg,C
interesado,interesados,1_13,V.PTCP;PST;MASC;SG,1_18,V.PTCP;PST;MASC;PL,adj;m;sg - n;m;sg - verb;pp;m;sg,adj;m;pl - n;m;pl - verb;pp;m;pl,C
atrevía,atrevido,0_1,V;IND;PST;3;SG;IPFV,0_11,V;NEG;IMP;1;PL,verb;pii;p3;sg - verb;pii;p1;sg,verb;pp;m;sg - adj;m;sg - n;m;sg,C
hacemos,hace,0_9,V;IND;PRS;1;PL,0_14,V;IND;PRS;3;SG,verb;pri;p1;pl,verb;pri;p3;sg,C
escupan,escupieron,0_8,V;POS;IMP;3;PL,0_7,V;COND;2;PL,verb;prs;p3;pl - verb;imp;p3;pl,verb;ifi;p3;pl,C
preocupes,preocupas,1_25,V;SBJV;PRS;2;SG,1_24,V;IND;PRS;2;SG,verb;prs;p2;sg,n;mf;pl - verb;pri;p2;sg,C
asiento,asientos,2_0,V;SBJV;PRS;2;PL,2_5,V;SBJV;FUT;1;PL,n;m;sg - verb;pri;p1;sg - verb;pri;p1;sg,n;m;pl,C
sujetar,sujetarse,1_14,V;NFIN,1_9,V;SBJV;PST;1;SG,verb;inf,verb;inf;prn;enc;ref;p3;mf;sp,C
enseña,enseñarlo,1_11,V;POS;IMP;2;SG,1_21,?,n;f;sg - verb;pri;p3;sg - verb;imp;p2;sg,verb;inf;prn;enc;p3;nt - verb;inf;prn;enc;p3;m;sg,C
presentaran,presentarlo,1_19,V;SBJV;PST;3;PL;LGSPEC1,1_21,?,verb;pis;p3;pl,verb;inf;prn;enc;p3;nt - verb;inf;prn;enc;p3;m;sg,C
libros,libre,1_3,?,1_22,V;POS;IMP;3;SG,n;m;pl,adj;mf;sg - verb;prs;p3;sg - verb;prs;p1;sg - verb;imp;p3;sg,POS_PAIR_ERROR
lloraba,lloraban,1_5,V;IND;PST;1;SG;IPFV,1_6,V;IND;PST;3;PL;IPFV,verb;pii;p3;sg - verb;pii;p1;sg,verb;pii;p3;pl,C
rechazando,rechaza,1_12,V.CVB;PRS,1_11,V;POS;IMP;2;SG,verb;ger,verb;pri;p3;sg - verb;imp;p2;sg,C
bajarlo,baje,1_21,?,1_22,V;POS;IMP;3;SG,verb;inf;prn;enc;p3;nt - verb;inf;prn;enc;p3;m;sg,verb;prs;p3;sg - verb;prs;p1;sg - verb;imp;p3;sg,C
sufrió,sufran,0_2,V;SBJV;PST;1;SG;LGSPEC1,0_8,V;POS;IMP;3;PL,verb;ifi;p3;sg,verb;prs;p3;pl - verb;imp;p3;pl,C
haremos,harían,0_9,V;IND;PRS;1;PL,0_6,V;COND;3;PL,verb;fti;p1;pl,verb;cni;p3;pl,C
