src word,tgt word,src slot,src msd,tgt slot,tgt msd,src apertium tags,tgt apertium tags,annotation
fátækum,fátæk,1_2,N;INDF;DAT;PL,1_0,N;INDF;ACC;SG,adj;pst;m;sg;dat;sta - adj;pst;m;pl;dat;sta - adj;pst;f;pl;dat;sta - adj;pst;nt;pl;dat;sta,adj;pst;f;sg;nom;sta - adj;pst;nt;pl;nom;sta - adj;pst;nt;pl;acc;sta,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
þúsundunum,þúsundum,1_1,N;DEF;DAT;PL,1_2,N;INDF;DAT;PL,n;nt;pl;dat;def - n;f;pl;dat;def,n;f;pl;dat;ind - n;nt;pl;dat;ind,C
ritar,ritað,1_9,ADJ;NOM;PL,1_8,V.CVB,verb;actv;pri;p2;sg - verb;actv;pri;p3;sg,verb;actv;supn - verb;actv;pp;nt;sg;nom;sta - verb;actv;pp;nt;sg;acc;sta,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
rætst,rætur,0_12,V;IND;PRS;1;SG,0_16,V;IND;PRS;2;SG,,,UNK_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR
fávísa,fávísar,1_14,N;INDF;GEN;PL,1_9,ADJ;NOM;PL,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
grafinn,grafir,0_2,ADJ;NOM;SG,0_8,V;SBJV;PRS;2;SG,adj;pst;m;sg;nom;sta - adj;pst;m;sg;acc;sta,n;f;pl;nom;ind - n;f;pl;acc;ind,ERR_TGT_SLOT_ERROR
óbyggðum,óbyggð,1_2,N;INDF;DAT;PL,1_0,N;INDF;ACC;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ljóna,ljón,1_14,N;INDF;GEN;PL,1_0,N;INDF;ACC;SG,n;nt;pl;gen;ind,n;nt;sg;nom;ind - n;nt;sg;acc;ind - n;nt;pl;nom;ind - n;nt;pl;acc;ind,ERR_SRC_SLOT_ERROR
ásettu,ásetti,1_17,N;INDF;GEN;SG,1_7,N;INDF;DAT;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ljósinu,ljós,1_10,V;SBJV;PST;2;PL,1_0,N;INDF;ACC;SG,n;nt;sg;dat;def,n;nt;sg;nom;ind - n;nt;sg;acc;ind - n;nt;pl;nom;ind - n;nt;pl;acc;ind,ERR_SRC_SLOT_ERROR
fræðst,fræðir,0_12,V;IND;PRS;1;SG,0_8,V;SBJV;PRS;2;SG,verb;midv;supn,verb;actv;pri;p2;sg - verb;actv;pri;p3;sg - verb;actv;prs;p2;sg,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
fullyrtu,fullyrti,1_17,N;INDF;GEN;SG,1_7,N;INDF;DAT;SG,verb;actv;past;p3;pl - verb;actv;pss;p3;pl - verb;actv;imp;p2;sg - verb;actv;pp;m;pl;nom;vei - verb;actv;pp;m;pl;acc;vei - verb;actv;pp;m;pl;dat;vei - verb;actv;pp;m;pl;gen;vei - verb;actv;pp;f;sg;acc;vei - verb;actv;pp;f;sg;dat;vei - verb;actv;pp;f;sg;gen;vei - verb;actv;pp;f;pl;nom;vei - verb;actv;pp;f;pl;acc;vei - verb;actv;pp;f;pl;dat;vei - verb;actv;pp;f;pl;gen;vei - verb;actv;pp;nt;sg;gen;sta - verb;actv;pp;nt;pl;nom;vei - verb;actv;pp;nt;pl;acc;vei - verb;actv;pp;nt;pl;dat;vei - verb;actv;pp;nt;pl;gen;vei,verb;actv;past;p1;sg - verb;actv;past;p3;sg - verb;actv;pss;p1;sg - verb;actv;pss;p3;sg - verb;actv;pp;m;sg;nom;vei,SRC_SLOT_ERROR;TGT_SLOT_ERROR
hinu,hina,1_17,N;INDF;GEN;SG,1_14,N;INDF;GEN;PL,prn;dem;nt;sg;dat - det;def;nt;sg;dat,prn;dem;m;pl;acc - prn;dem;f;sg;acc - det;def;m;pl;acc - det;def;f;sg;acc,SRC_POS_ERROR TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
Sódómu,Sódóma,1_17,N;INDF;GEN;SG,1_14,N;INDF;GEN;PL,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
þessir,þessar,1_4,V;IND;PST;2;SG,1_9,ADJ;NOM;PL,prn;dem;m;pl;nom - det;dem;m;pl;nom,prn;dem;f;pl;nom - prn;dem;f;pl;acc - det;dem;f;pl;nom - det;dem;f;pl;acc,SRC_POS_ERROR TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
Mannssoninn,Mannssonurinn,1_5,N;DEF;ACC;SG,1_16,N;DEF;NOM;SG,np;ant;m;sg;nom - np;ant;m;sg;acc,np;ant;m;sg;nom - np;ant;m;sg;acc,SRC_POS_ERROR TGT_POS_ERROR
veitir,veitum,0_8,V;SBJV;PRS;2;SG,0_1,V;SBJV;PRS;1;PL,verb;actv;pri;p2;sg - verb;actv;pri;p3;sg - verb;actv;prs;p2;sg,verb;actv;pri;p1;pl - verb;actv;prs;p1;pl,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
arfleifð,arfleifðar,1_0,N;INDF;ACC;SG,1_9,ADJ;NOM;PL,n;f;sg;nom;ind - n;f;sg;acc;ind - n;f;sg;dat;ind,n;f;sg;gen;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
drukkum,drukkin,0_1,V;SBJV;PRS;1;PL,0_3,ADJ;ACC;PL,verb;actv;past;p1;pl,verb;actv;pp;f;sg;nom;sta - verb;actv;pp;nt;pl;nom;sta - verb;actv;pp;nt;pl;acc;sta - adj;pst;f;sg;nom;sta - adj;pst;nt;pl;nom;sta - adj;pst;nt;pl;acc;sta,ERR_SRC_SLOT_ERROR
fúsum,fúsir,1_2,N;INDF;DAT;PL,1_4,V;IND;PST;2;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
útlendingum,útlendingur,1_2,N;INDF;DAT;PL,1_12,V.PTCP;PST;NOM;SG,n;m;pl;dat;ind,n;m;sg;nom;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
stundu,stundum,1_17,N;INDF;GEN;SG,1_2,N;INDF;DAT;PL,verb;actv;past;p3;pl - verb;actv;pp;m;pl;nom;vei - verb;actv;pp;m;pl;acc;vei - verb;actv;pp;m;pl;dat;vei - verb;actv;pp;m;pl;gen;vei - verb;actv;pp;f;sg;acc;vei - verb;actv;pp;f;sg;dat;vei - verb;actv;pp;f;sg;gen;vei - verb;actv;pp;f;pl;nom;vei - verb;actv;pp;f;pl;acc;vei - verb;actv;pp;f;pl;dat;vei - verb;actv;pp;f;pl;gen;vei - verb;actv;pp;nt;sg;gen;sta - verb;actv;pp;nt;pl;nom;vei - verb;actv;pp;nt;pl;acc;vei - verb;actv;pp;nt;pl;dat;vei - verb;actv;pp;nt;pl;gen;vei,adv; - n;f;pl;dat;ind - verb;actv;past;p1;pl - verb;actv;pp;m;sg;gen;sta - verb;actv;pp;m;pl;gen;sta - verb;actv;pp;f;pl;gen;sta - verb;actv;pp;nt;pl;gen;sta,SRC_SLOT_ERROR
vonin,voni,1_6,V.PTCP;PST;ACC;PL,1_7,N;INDF;DAT;SG,n;f;sg;nom;def,verb;actv;prs;p1;sg - verb;actv;prs;p3;sg - verb;actv;prs;p3;pl,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
Ljós,Ljós,0_14,V;IMP;2;SG,0_14,V;IMP;2;SG,n;nt;sg;nom;ind - n;nt;sg;acc;ind - n;nt;pl;nom;ind - n;nt;pl;acc;ind,n;nt;sg;nom;ind - n;nt;sg;acc;ind - n;nt;pl;nom;ind - n;nt;pl;acc;ind,SRC_SLOT_ERROR;TGT_SLOT_ERROR
ofsókn,ofsóknir,1_0,N;INDF;ACC;SG,1_4,V;IND;PST;2;SG,n;f;sg;nom;ind - n;f;sg;acc;ind - n;f;sg;dat;ind,n;f;pl;nom;ind - n;f;pl;acc;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
senda,sendum,1_14,N;INDF;GEN;PL,1_2,N;INDF;DAT;PL,verb;actv;inf - verb;actv;pri;p3;pl - n;m;pl;acc;ind - n;m;pl;gen;ind - verb;actv;pp;m;sg;acc;vei - verb;actv;pp;m;sg;dat;vei - verb;actv;pp;m;sg;gen;vei - verb;actv;pp;m;pl;acc;sta - verb;actv;pp;f;sg;nom;vei - verb;actv;pp;f;sg;acc;sta - verb;actv;pp;nt;sg;nom;vei - verb;actv;pp;nt;sg;acc;vei - verb;actv;pp;nt;sg;dat;vei - verb;actv;pp;nt;sg;gen;vei,verb;actv;pri;p1;pl - verb;actv;past;p1;pl - verb;actv;prs;p1;pl - verb;actv;pss;p1;pl - n;m;pl;dat;ind - verb;actv;pp;m;sg;gen;sta - verb;actv;pp;m;pl;gen;sta - verb;actv;pp;f;pl;gen;sta - verb;actv;pp;nt;pl;gen;sta,C
hegðar,hegðið,1_9,ADJ;NOM;PL,1_15,V;IMP;2;PL,verb;actv;pri;p2;sg - verb;actv;pri;p3;sg,verb;actv;pri;p2;pl - verb;actv;prs;p2;pl - verb;actv;imp;p2;pl,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
lærisveinunum,lærisveins,1_1,N;DEF;DAT;PL,1_13,PRN;INDF;GEN;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
kvöldu,kvöld,1_17,N;INDF;GEN;SG,1_0,N;INDF;ACC;SG,,,UNK_SRC_SLOT_ERROR;SRC_LEXICAL_ERROR
stæra,stæri,0_20,V;NFIN,0_15,V;SBJV;PRS;3;PL,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
efast,ef,0_11,V;IND;PRS;3;PL,0_14,V;IMP;2;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR
guðlastar,guðlast,1_9,ADJ;NOM;PL,1_0,N;INDF;ACC;SG,,,UNK_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR
heiðingjar,heiðingja,1_9,ADJ;NOM;PL,1_14,N;INDF;GEN;PL,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
sjáum,sjái,0_1,V;SBJV;PRS;1;PL,0_15,V;SBJV;PRS;3;PL,verb;actv;pri;p1;pl - verb;actv;prs;p1;pl,verb;actv;prs;p1;sg - verb;actv;prs;p3;sg - verb;actv;prs;p3;pl,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
annara,annara,1_14,N;INDF;GEN;PL,1_14,N;INDF;GEN;PL,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
slíkum,slíka,1_2,N;INDF;DAT;PL,1_14,N;INDF;GEN;PL,det;ind;m;sg;dat - det;ind;m;pl;dat - det;ind;f;pl;dat - det;ind;nt;pl;dat,det;ind;m;pl;acc - det;ind;f;sg;acc,SRC_POS_ERROR TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
hlutu,hluta,1_17,N;INDF;GEN;SG,1_14,N;INDF;GEN;PL,verb;actv;past;p3;pl,n;m;sg;acc;ind - n;m;sg;dat;ind - n;m;sg;gen;ind - n;m;pl;acc;ind - n;m;pl;gen;ind - n;m;pl;gen;ind,ERR_SRC_SLOT_ERROR
sæi,sæi,0_15,V;SBJV;PRS;3;PL,0_15,V;SBJV;PRS;3;PL,verb;actv;pss;p1;sg - verb;actv;pss;p3;sg,verb;actv;pss;p1;sg - verb;actv;pss;p3;sg,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
dýrlegan,dýrlegi,1_3,ADJ;ACC;SG,1_7,N;INDF;DAT;SG,adj;pst;m;sg;acc;sta,adj;pst;m;sg;nom;vei,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
mælir,mælum,0_8,V;SBJV;PRS;2;SG,0_1,V;SBJV;PRS;1;PL,verb;actv;pri;p2;sg - verb;actv;pri;p3;sg - verb;actv;prs;p2;sg - n;m;sg;nom;ind,n;nt;pl;dat;ind - verb;actv;pri;p1;pl - verb;actv;prs;p1;pl - n;m;pl;dat;ind,C
tunglsjúka,tunglsjúkur,1_14,N;INDF;GEN;PL,1_12,V.PTCP;PST;NOM;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
kunnan,kunnur,1_3,ADJ;ACC;SG,1_12,V.PTCP;PST;NOM;SG,adj;pst;m;sg;acc;sta,adj;pst;m;sg;nom;sta,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
líka,líkur,0_20,V;NFIN,0_16,V;IND;PRS;2;SG,adv; - verb;actv;inf - n;nt;pl;gen;ind - n;f;pl;gen;ind - adj;pst;m;sg;acc;vei - adj;pst;m;sg;dat;vei - adj;pst;m;sg;gen;vei - adj;pst;m;pl;acc;sta - adj;pst;f;sg;nom;vei - adj;pst;f;sg;acc;sta - adj;pst;nt;sg;nom;vei - adj;pst;nt;sg;acc;vei - adj;pst;nt;sg;dat;vei - adj;pst;nt;sg;gen;vei,n;f;pl;nom;ind - n;f;pl;acc;ind - adj;pst;m;sg;nom;sta,TGT_SLOT_ERROR
snauða,snauðu,1_14,N;INDF;GEN;PL,1_17,N;INDF;GEN;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
dýrlegi,dýrlegi,1_7,N;INDF;DAT;SG,1_7,N;INDF;DAT;SG,adj;pst;m;sg;nom;vei,adj;pst;m;sg;nom;vei,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
greina,greinar,1_14,N;INDF;GEN;PL,1_9,ADJ;NOM;PL,verb;actv;inf - verb;midv;inf - n;f;pl;gen;ind - verb;actv;pri;p3;pl - n;m;pl;acc;ind - n;m;pl;gen;ind,n;f;sg;gen;ind - n;f;pl;nom;ind - n;f;pl;acc;ind - n;m;pl;nom;ind,TGT_SLOT_ERROR
leiða,leiðin,1_14,N;INDF;GEN;PL,1_6,V.PTCP;PST;ACC;PL,verb;actv;inf - n;f;pl;gen;ind - verb;actv;pri;p3;pl - n;nt;pl;gen;ind - adj;pst;m;sg;acc;vei - adj;pst;m;sg;dat;vei - adj;pst;m;sg;gen;vei - adj;pst;m;pl;acc;sta - adj;pst;f;sg;nom;vei - adj;pst;f;sg;acc;sta - adj;pst;nt;sg;nom;vei - adj;pst;nt;sg;acc;vei - adj;pst;nt;sg;dat;vei - adj;pst;nt;sg;gen;vei,n;f;sg;nom;def - n;nt;pl;nom;def - n;nt;pl;acc;def,TGT_SLOT_ERROR
bát,báti,1_0,N;INDF;ACC;SG,1_7,N;INDF;DAT;SG,n;m;sg;acc;ind,n;m;sg;dat;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
samlaga,samlagast,1_14,N;INDF;GEN;PL,1_19,V;IND;PRS;3;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ákaft,ákafar,1_0,N;INDF;ACC;SG,1_9,ADJ;NOM;PL,adv;pst - adj;pst;nt;sg;nom;sta - adj;pst;nt;sg;acc;sta,adv;comp - adj;pst;f;pl;nom;sta - adj;pst;f;pl;acc;sta,ERR_TGT_SLOT_ERROR
friði,friður,1_7,N;INDF;DAT;SG,1_12,V.PTCP;PST;NOM;SG,verb;actv;prs;p1;sg - verb;actv;prs;p3;sg - verb;actv;prs;p3;pl - n;m;sg;dat;ind,n;m;sg;nom;ind,ERR_TGT_SLOT_ERROR
möttulinn,möttul,1_5,N;DEF;ACC;SG,1_0,N;INDF;ACC;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
aftraði,aftrið,1_11,V;SBJV;PST;3;SG,1_15,V;IMP;2;PL,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
frelsaði,frelsað,1_11,V;SBJV;PST;3;SG,1_8,V.CVB,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
flutti,fluttir,1_7,N;INDF;DAT;SG,1_4,V;IND;PST;2;SG,verb;actv;past;p1;sg - verb;actv;past;p3;sg - verb;actv;pp;m;sg;nom;vei,verb;actv;past;p2;sg - verb;actv;pp;m;pl;nom;sta,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
reglu,reglum,1_17,N;INDF;GEN;SG,1_2,N;INDF;DAT;PL,n;f;sg;acc;ind - n;f;sg;dat;ind - n;f;sg;gen;ind,n;f;pl;dat;ind,ERR_TGT_SLOT_ERROR
þjóð,þjóð,1_0,N;INDF;ACC;SG,1_0,N;INDF;ACC;SG,n;f;sg;nom;ind - n;f;sg;acc;ind - n;f;sg;dat;ind,n;f;sg;nom;ind - n;f;sg;acc;ind - n;f;sg;dat;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
orðum,orðs,1_2,N;INDF;DAT;PL,1_13,PRN;INDF;GEN;SG,n;nt;pl;dat;ind,n;nt;sg;gen;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
hvíldardagur,hvíldardaginn,1_12,V.PTCP;PST;NOM;SG,1_5,N;DEF;ACC;SG,n;m;sg;nom;ind,n;m;sg;acc;def,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
skíra,skírst,0_20,V;NFIN,0_12,V;IND;PRS;1;SG,verb;actv;inf - verb;actv;pri;p3;pl,verb;midv;supn,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
mína,míns,1_14,N;INDF;GEN;PL,1_13,PRN;INDF;GEN;SG,prn;pos;m;pl;acc - prn;pos;f;sg;acc,prn;pos;m;sg;gen - prn;pos;nt;sg;gen,SRC_POS_ERROR TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
lendir,lendi,1_4,V;IND;PST;2;SG,1_7,N;INDF;DAT;SG,verb;actv;pri;p2;sg - verb;actv;pri;p3;sg - verb;actv;prs;p2;sg,verb;actv;pri;p1;sg - verb;actv;prs;p1;sg - verb;actv;prs;p3;sg - verb;actv;prs;p3;pl,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
þýðast,þýðir,0_11,V;IND;PRS;3;PL,0_8,V;SBJV;PRS;2;SG,verb;midv;inf - verb;midv;pri;p3;pl,verb;actv;pri;p2;sg - verb;actv;pri;p3;sg - verb;actv;prs;p2;sg,ERR_TGT_SLOT_ERROR
tjaldbúð,tjaldbúðin,0_14,V;IMP;2;SG,0_3,ADJ;ACC;PL,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
gæfi,gæfur,1_7,N;INDF;DAT;SG,1_12,V.PTCP;PST;NOM;SG,,,ERR_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;TGT_LEXICAL_ERROR
lífinu,líf,1_10,V;SBJV;PST;2;PL,1_0,N;INDF;ACC;SG,n;nt;sg;dat;def,n;nt;sg;nom;ind - n;nt;sg;acc;ind - n;nt;pl;nom;ind - n;nt;pl;acc;ind,ERR_SRC_SLOT_ERROR
sitja,sit,0_6,PRN;INDF;ACC;PL,0_14,V;IMP;2;SG,verb;actv;inf - verb;actv;pri;p3;pl,verb;actv;pri;p1;sg - verb;actv;imp;p2;sg,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
ávarpar,ávarpið,1_9,ADJ;NOM;PL,1_15,V;IMP;2;PL,verb;actv;pri;p2;sg - verb;actv;pri;p3;sg,verb;actv;pri;p2;pl - verb;actv;prs;p2;pl - verb;actv;imp;p2;pl,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
þinna,þinni,1_14,N;INDF;GEN;PL,1_7,N;INDF;DAT;SG,prn;pos;m;pl;gen - prn;pos;f;pl;gen - prn;pos;nt;pl;gen,prn;pos;f;sg;dat,SRC_POS_ERROR TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
fengin,fenguð,1_6,V.PTCP;PST;ACC;PL,1_18,V;IND;PST;2;PL,verb;actv;pp;nt;pl;nom;sta - verb;actv;pp;nt;pl;acc;sta - verb;actv;pp;f;sg;nom;sta,verb;actv;past;p2;pl,MAPPED_POS_PAIR_ERROR
lokið,lokað,1_15,V;IMP;2;PL,1_8,V.CVB,n;nt;sg;nom;def - n;nt;sg;acc;def - verb;actv;supn - adj;pst;nt;sg;nom;sta - adj;pst;nt;sg;acc;sta - verb;actv;pp;nt;sg;nom;sta - verb;actv;pp;nt;sg;acc;sta,adj;pst;nt;sg;nom;sta - adj;pst;nt;sg;acc;sta,ERR_TGT_SLOT_ERROR
óttinn,ótta,0_2,ADJ;NOM;SG,0_20,V;NFIN,n;m;sg;nom;def,n;m;sg;acc;ind - n;m;sg;dat;ind - n;m;sg;gen;ind,ERR_SRC_SLOT_ERROR
náðar,náðar,1_9,ADJ;NOM;PL,1_9,ADJ;NOM;PL,verb;actv;pp;f;pl;nom;sta - verb;actv;pp;f;pl;acc;sta,verb;actv;pp;f;pl;nom;sta - verb;actv;pp;f;pl;acc;sta,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
skírlífar,skírlífu,1_9,ADJ;NOM;PL,1_17,N;INDF;GEN;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
festi,fest,1_7,N;INDF;DAT;SG,1_0,N;INDF;ACC;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
lendar,lendur,1_9,ADJ;NOM;PL,1_12,V.PTCP;PST;NOM;SG,,,UNK_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR
samboðin,samboðinn,0_3,ADJ;ACC;PL,0_2,ADJ;NOM;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
fórnað,fórnin,1_8,V.CVB,1_6,V.PTCP;PST;ACC;PL,,,UNK_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR
