src word,tgt word,src slot,src predicted,tgt slot,tgt predicted,annotation 1,annotation 2,Notes,KEY,
inherit,inherited,1_2,V;NFIN,1_1,V;PST,C,,,,
,,,,,,,,,,
disappears,disappeared,1_0,V;3;SG;PRS,1_1,V;PST,C,,,,
disappears,disappear,1_0,V;3;SG;PRS,1_2,V;NFIN,C,,,,
disappeared,disappears,1_1,V;PST,1_0,V;3;SG;PRS,C,,,,
disappeared,disappear,1_1,V;PST,1_2,V;NFIN,C,,,,
disappear,disappears,1_2,V;NFIN,1_0,V;3;SG;PRS,C,,,,
disappear,disappeared,1_2,V;NFIN,1_1,V;PST,C,,,,
,,,,,,,,,,
enjoyed,enjoy,1_1,V;PST,1_2,V;NFIN,C,,,,
enjoyed,enjoying,1_1,V;PST,1_3,V;V.PTCP;PRS,C,,,,
enjoy,enjoyed,1_2,V;NFIN,1_1,V;PST,C,,,,
enjoy,enjoying,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C,,,,
enjoying,enjoyed,1_3,V;V.PTCP;PRS,1_1,V;PST,C,,,,
enjoying,enjoy,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C,,,,
,,,,,,,,,,
yours,your,1_0,V;3;SG;PRS,1_2,V;NFIN,SLOT_ERROR,,,,
your,yours,1_2,V;NFIN,1_0,V;3;SG;PRS,SLOT_ERROR,,,,
,,,,,,,,,,
fills,filled,1_0,V;3;SG;PRS,1_1,V;PST,C,,,,
fills,fill,1_0,V;3;SG;PRS,1_2,V;NFIN,C,,,,
filled,fills,1_1,V;PST,1_0,V;3;SG;PRS,C,,,,
filled,fill,1_1,V;PST,1_2,V;NFIN,C,,,,
fill,fills,1_2,V;NFIN,1_0,V;3;SG;PRS,C,,,,
fill,filled,1_2,V;NFIN,1_1,V;PST,C,,,,
,,,,,,,,,,
requests,requested,1_0,V;3;SG;PRS,1_1,V;PST,C,,,,
requests,request,1_0,V;3;SG;PRS,1_2,V;NFIN,C,,,,
requests,requesting,1_0,V;3;SG;PRS,1_3,V;V.PTCP;PRS,C,,,,
requested,requests,1_1,V;PST,1_0,V;3;SG;PRS,C,,,,
requested,request,1_1,V;PST,1_2,V;NFIN,C,,,,
requested,requesting,1_1,V;PST,1_3,V;V.PTCP;PRS,C,,,,
request,requests,1_2,V;NFIN,1_0,V;3;SG;PRS,C,,,,
request,requested,1_2,V;NFIN,1_1,V;PST,C,,,,
request,requesting,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C,,,,
requesting,requests,1_3,V;V.PTCP;PRS,1_0,V;3;SG;PRS,C,,,,
requesting,requested,1_3,V;V.PTCP;PRS,1_1,V;PST,C,,,,
requesting,request,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C,,,,
,,,,,,,,,,
harvests,harvested,1_0,V;3;SG;PRS,1_1,V;PST,C,,,,
harvests,harvest,1_0,V;3;SG;PRS,1_2,V;NFIN,C,,,,
harvests,harvesting,1_0,V;3;SG;PRS,1_3,V;V.PTCP;PRS,C,,,,
harvested,harvests,1_1,V;PST,1_0,V;3;SG;PRS,C,,,,
harvested,harvest,1_1,V;PST,1_2,V;NFIN,C,,,,
harvested,harvesting,1_1,V;PST,1_3,V;V.PTCP;PRS,C,,,,
harvest,harvests,1_2,V;NFIN,1_0,V;3;SG;PRS,C,,,,
harvest,harvested,1_2,V;NFIN,1_1,V;PST,C,,,,
harvest,harvesting,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C,,,,
harvesting,harvests,1_3,V;V.PTCP;PRS,1_0,V;3;SG;PRS,C,,,,
harvesting,harvested,1_3,V;V.PTCP;PRS,1_1,V;PST,C,,,,
harvesting,harvest,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C,,,,
,,,,,,,,,,
simple,simply,1_2,V;NFIN,1_6,ADJ,DERIVATIONAL_ERROR,,,,
simply,simple,1_6,ADJ,1_2,V;NFIN,DERIVATIONAL_ERROR,,,,
,,,,,,,,,,
fix,fixing,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C,,,,
fixing,fix,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C,,,,
,,,,,,,,,,
accord,according,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C,,,,
according,accord,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C,,,,
,,,,,,,,,,
sends,send,1_0,V;3;SG;PRS,1_2,V;NFIN,C,,,,
sends,sending,1_0,V;3;SG;PRS,1_3,V;V.PTCP;PRS,C,,,,
send,sends,1_2,V;NFIN,1_0,V;3;SG;PRS,C,,,,
send,sending,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C,,,,
sending,sends,1_3,V;V.PTCP;PRS,1_0,V;3;SG;PRS,C,,,,
sending,send,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C,,,,
,,,,,,,,,,
ancients,ancient,1_0,V;3;SG;PRS,1_2,V;NFIN,C,,,,
ancient,ancients,1_2,V;NFIN,1_0,V;3;SG;PRS,C,,,,
,,,,,,,,,,
praises,praised,1_0,V;3;SG;PRS,1_1,V;PST,C,,,,
praises,praise,1_0,V;3;SG;PRS,1_2,V;NFIN,C,,,,
praises,praising,1_0,V;3;SG;PRS,1_3,V;V.PTCP;PRS,C,,,,
praised,praises,1_1,V;PST,1_0,V;3;SG;PRS,C,,,,
praised,praise,1_1,V;PST,1_2,V;NFIN,C,,,,
praised,praising,1_1,V;PST,1_3,V;V.PTCP;PRS,C,,,,
praise,praises,1_2,V;NFIN,1_0,V;3;SG;PRS,C,,,,
praise,praised,1_2,V;NFIN,1_1,V;PST,C,,,,
praise,praising,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C,,,,
praising,praises,1_3,V;V.PTCP;PRS,1_0,V;3;SG;PRS,C,,,,
praising,praised,1_3,V;V.PTCP;PRS,1_1,V;PST,C,,,,
praising,praise,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C,,,,
,,,,,,,,,,
riches,rich,1_0,V;3;SG;PRS,1_2,V;NFIN,C,,,,
riches,richly,1_0,V;3;SG;PRS,1_4,?,DERIVATIONAL_ERROR,,,,
rich,riches,1_2,V;NFIN,1_0,V;3;SG;PRS,C,,,,
rich,richly,1_2,V;NFIN,1_4,?,DERIVATIONAL_ERROR,,,,
richly,riches,1_4,?,1_0,V;3;SG;PRS,DERIVATIONAL_ERROR,,,,
richly,rich,1_4,?,1_2,V;NFIN,DERIVATIONAL_ERROR,,,,
,,,,,,,,,,
foods,food,1_0,V;3;SG;PRS,1_2,V;NFIN,SLOT_ERROR,,,,
food,foods,1_2,V;NFIN,1_0,V;3;SG;PRS,SLOT_ERROR,,,,
,,,,,,,,,,
customs,custom,1_0,V;3;SG;PRS,1_2,V;NFIN,SLOT_ERROR,,,,
custom,customs,1_2,V;NFIN,1_0,V;3;SG;PRS,SLOT_ERROR,,,,
,,,,,,,,,,
traditions,tradition,1_0,V;3;SG;PRS,1_2,V;NFIN,SLOT_ERROR,,,,
tradition,traditions,1_2,V;NFIN,1_0,V;3;SG;PRS,SLOT_ERROR,,,,
,,,,,,,,,,
off,offer,1_2,V;NFIN,1_5,N;SG,POS_ERROR,,,,
offer,off,1_5,N;SG,1_2,V;NFIN,POS_ERROR,,,,
,,,,,,,,,,
poisoned,poison,1_1,V;PST,1_2,V;NFIN,C,,,,
poison,poisoned,1_2,V;NFIN,1_1,V;PST,C,,,,
,,,,,,,,,,
denounced,denounce,1_1,V;PST,1_2,V;NFIN,C,,,,
denounce,denounced,1_2,V;NFIN,1_1,V;PST,C,,,,
,,,,,,,,,,
owes,owed,1_0,V;3;SG;PRS,1_1,V;PST,C,,,,
owes,owe,1_0,V;3;SG;PRS,1_2,V;NFIN,C,,,,
owed,owes,1_1,V;PST,1_0,V;3;SG;PRS,C,,,,
owed,owe,1_1,V;PST,1_2,V;NFIN,C,,,,
owe,owes,1_2,V;NFIN,1_0,V;3;SG;PRS,C,,,,
owe,owed,1_2,V;NFIN,1_1,V;PST,C,,,,
,,,,,,,,,,
masquerades,masquerade,1_0,V;3;SG;PRS,1_2,V;NFIN,C,,,,
masquerades,masquerading,1_0,V;3;SG;PRS,1_3,V;V.PTCP;PRS,C,,,,
masquerade,masquerades,1_2,V;NFIN,1_0,V;3;SG;PRS,C,,,,
masquerade,masquerading,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C,,,,
masquerading,masquerades,1_3,V;V.PTCP;PRS,1_0,V;3;SG;PRS,C,,,,
masquerading,masquerade,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C,,,,
,,,,,,,,,,
shielded,shield,1_1,V;PST,1_2,V;NFIN,C,,,,
shield,shielded,1_2,V;NFIN,1_1,V;PST,C,,,,
,,,,,,,,,,
debts,debt,1_0,V;3;SG;PRS,1_2,V;NFIN,SLOT_ERROR,,,,
debt,debts,1_2,V;NFIN,1_0,V;3;SG;PRS,SLOT_ERROR,,,,
,,,,,,,,,,
final,finally,1_2,V;NFIN,1_4,?,DERIVATIONAL_ERROR,,,,
finally,final,1_4,?,1_2,V;NFIN,DERIVATIONAL_ERROR,,,,
,,,,,,,,,,
liars,liar,1_0,V;3;SG;PRS,1_2,V;NFIN,SLOT_ERROR,,,,
liar,liars,1_2,V;NFIN,1_0,V;3;SG;PRS,SLOT_ERROR,,,,
,,,,,,,,,,
referred,referring,1_1,V;PST,1_3,V;V.PTCP;PRS,C,,,,
referring,referred,1_3,V;V.PTCP;PRS,1_1,V;PST,C,,,,
,,,,,,,,,,
wonders,wondered,1_0,V;3;SG;PRS,1_1,V;PST,C,,,,
wonders,wonder,1_0,V;3;SG;PRS,1_2,V;NFIN,C,,,,
wonders,wondering,1_0,V;3;SG;PRS,1_3,V;V.PTCP;PRS,C,,,,
wondered,wonders,1_1,V;PST,1_0,V;3;SG;PRS,C,,,,
wondered,wonder,1_1,V;PST,1_2,V;NFIN,C,,,,
wondered,wondering,1_1,V;PST,1_3,V;V.PTCP;PRS,C,,,,
wonder,wonders,1_2,V;NFIN,1_0,V;3;SG;PRS,C,,,,
wonder,wondered,1_2,V;NFIN,1_1,V;PST,C,,,,
wonder,wondering,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C,,,,
wondering,wonders,1_3,V;V.PTCP;PRS,1_0,V;3;SG;PRS,C,,,,
wondering,wondered,1_3,V;V.PTCP;PRS,1_1,V;PST,C,,,,
wondering,wonder,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C,,,,
,,,,,,,,,,
gifts,gifted,1_0,V;3;SG;PRS,1_1,V;PST,C,,,,
gifts,gift,1_0,V;3;SG;PRS,1_2,V;NFIN,C,,,,
gifted,gifts,1_1,V;PST,1_0,V;3;SG;PRS,C,,,,
gifted,gift,1_1,V;PST,1_2,V;NFIN,C,,,,
gift,gifts,1_2,V;NFIN,1_0,V;3;SG;PRS,C,,,,
gift,gifted,1_2,V;NFIN,1_1,V;PST,C,,,,
,,,,,,,,,,
redeemed,redeem,1_1,V;PST,1_2,V;NFIN,C,,,,
redeem,redeemed,1_2,V;NFIN,1_1,V;PST,C,,,,
,,,,,,,,,,
groans,groan,1_0,V;3;SG;PRS,1_2,V;NFIN,C,,,,
groans,groaning,1_0,V;3;SG;PRS,1_3,V;V.PTCP;PRS,C,,,,
groan,groans,1_2,V;NFIN,1_0,V;3;SG;PRS,C,,,,
groan,groaning,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C,,,,
groaning,groans,1_3,V;V.PTCP;PRS,1_0,V;3;SG;PRS,C,,,,
groaning,groan,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C,,,,
,,,,,,,,,,
scorned,scorn,1_1,V;PST,1_2,V;NFIN,C,,,,
scorned,scorning,1_1,V;PST,1_3,V;V.PTCP;PRS,C,,,,
scorn,scorned,1_2,V;NFIN,1_1,V;PST,C,,,,
scorn,scorning,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C,,,,
scorning,scorned,1_3,V;V.PTCP;PRS,1_1,V;PST,C,,,,
scorning,scorn,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C,,,,
,,,,,,,,,,
deals,deal,1_0,V;3;SG;PRS,1_2,V;NFIN,C,,,,
deals,dealing,1_0,V;3;SG;PRS,1_3,V;V.PTCP;PRS,C,,,,
deals,dealer,1_0,V;3;SG;PRS,1_5,N;SG,DERIVATIONAL_ERROR,,,,
deal,deals,1_2,V;NFIN,1_0,V;3;SG;PRS,C,,,,
deal,dealing,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C,,,,
deal,dealer,1_2,V;NFIN,1_5,N;SG,DERIVATIONAL_ERROR,,,,
dealing,deals,1_3,V;V.PTCP;PRS,1_0,V;3;SG;PRS,C,,,,
dealing,deal,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C,,,,
dealing,dealer,1_3,V;V.PTCP;PRS,1_5,N;SG,DERIVATIONAL_ERROR,,,,
dealer,deals,1_5,N;SG,1_0,V;3;SG;PRS,DERIVATIONAL_ERROR,,This one is deal [N],,
dealer,deal,1_5,N;SG,1_2,V;NFIN,DERIVATIONAL_ERROR,,This one is deal [N],,
dealer,dealing,1_5,N;SG,1_3,V;V.PTCP;PRS,DERIVATIONAL_ERROR,,,,
,,,,,,,,,,
doctors,doctor,1_0,V;3;SG;PRS,1_2,V;NFIN,C,,"Probably is a Noun, but definitely a verb asense that could be in bible",,
doctor,doctors,1_2,V;NFIN,1_0,V;3;SG;PRS,C,,"Probably is a Noun, but definitely a verb asense that could be in bible",,
,,,,,,,,,,
festivals,festival,1_0,V;3;SG;PRS,1_2,V;NFIN,SLOT_ERROR,,,,
festival,festivals,1_2,V;NFIN,1_0,V;3;SG;PRS,SLOT_ERROR,,,,
,,,,,,,,,,
dear,dearly,1_2,V;NFIN,1_4,?,DERIVATIONAL_ERROR,,,,
dear,dearer,1_2,V;NFIN,1_5,N;SG,POS_ERROR,,"This is not a derivation, I think dearer is the comparative, though the inflection looks like the derivaitonal +er",,
dearly,dear,1_4,?,1_2,V;NFIN,DERIVATIONAL_ERROR,,,,
dearly,dearer,1_4,?,1_5,N;SG,POS_ERROR,,,,
dearer,dear,1_5,N;SG,1_2,V;NFIN,SLOT_ERROR,,This pair could be a valid adjectival ADJ --> comparative. But slots are not marked as such,,
dearer,dearly,1_5,N;SG,1_4,?,POS_ERROR,,,,
,,,,,,,,,,
jail,jailer,1_2,V;NFIN,1_5,N;SG,DERIVATIONAL_ERROR,,,,
jailer,jail,1_5,N;SG,1_2,V;NFIN,DERIVATIONAL_ERROR,,,,
,,,,,,,,,,
spoils,spoil,1_0,V;3;SG;PRS,1_2,V;NFIN,C,,,,
spoil,spoils,1_2,V;NFIN,1_0,V;3;SG;PRS,C,,,,
,,,,,,,,,,
crowds,crowding,1_0,V;3;SG;PRS,1_3,V;V.PTCP;PRS,C,,Note I think crowds is more likely to appear as a noun than a verb,,
crowding,crowds,1_3,V;V.PTCP;PRS,1_0,V;3;SG;PRS,C,,,,
,,,,,,,,,,
raises,raised,1_0,V;3;SG;PRS,1_1,V;PST,C,,,,
raises,raise,1_0,V;3;SG;PRS,1_2,V;NFIN,C,,,,
raises,raising,1_0,V;3;SG;PRS,1_3,V;V.PTCP;PRS,C,,,,
raised,raises,1_1,V;PST,1_0,V;3;SG;PRS,C,,,,
raised,raise,1_1,V;PST,1_2,V;NFIN,C,,,,
raised,raising,1_1,V;PST,1_3,V;V.PTCP;PRS,C,,,,
raise,raises,1_2,V;NFIN,1_0,V;3;SG;PRS,C,,,,
raise,raised,1_2,V;NFIN,1_1,V;PST,C,,,,
raise,raising,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C,,,,
raising,raises,1_3,V;V.PTCP;PRS,1_0,V;3;SG;PRS,C,,,,
raising,raised,1_3,V;V.PTCP;PRS,1_1,V;PST,C,,,,
raising,raise,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C,,,,
,,,,,,,,,,
stones,stoned,1_0,V;3;SG;PRS,1_1,V;PST,C,,,,
stones,stone,1_0,V;3;SG;PRS,1_2,V;NFIN,C,,,,
stones,stoning,1_0,V;3;SG;PRS,1_3,V;V.PTCP;PRS,C,,,,
stoned,stones,1_1,V;PST,1_0,V;3;SG;PRS,C,,,,
stoned,stone,1_1,V;PST,1_2,V;NFIN,C,,,,
stoned,stoning,1_1,V;PST,1_3,V;V.PTCP;PRS,C,,,,
stone,stones,1_2,V;NFIN,1_0,V;3;SG;PRS,C,,,,
stone,stoned,1_2,V;NFIN,1_1,V;PST,C,,,,
stone,stoning,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C,,,,
stoning,stones,1_3,V;V.PTCP;PRS,1_0,V;3;SG;PRS,C,,,,
stoning,stoned,1_3,V;V.PTCP;PRS,1_1,V;PST,C,,,,
stoning,stone,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C,,,,
,,,,,,,,,,
entrusted,entrust,1_1,V;PST,1_2,V;NFIN,C,,,,
entrust,entrusted,1_2,V;NFIN,1_1,V;PST,C,,,,
,,,,,,,,,,
graves,grave,1_0,V;3;SG;PRS,1_2,V;NFIN,SLOT_ERROR,,,,
grave,graves,1_2,V;NFIN,1_0,V;3;SG;PRS,SLOT_ERROR,,,,
,,,,,,,,,,
pervert,perverting,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C,,,,
perverting,pervert,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C,,,,
,,,,,,,,,,
polluted,pollute,1_1,V;PST,1_2,V;NFIN,C,,,,
pollute,polluted,1_2,V;NFIN,1_1,V;PST,C,,,,
,,,,,,,,,,
needs,needed,1_0,V;3;SG;PRS,1_1,V;PST,C,,,,
needs,need,1_0,V;3;SG;PRS,1_2,V;NFIN,C,,,,
needs,needing,1_0,V;3;SG;PRS,1_3,V;V.PTCP;PRS,C,,,,
needs,needy,1_0,V;3;SG;PRS,1_6,ADJ,DERIVATIONAL_ERROR,SLOT_ERROR,,,
needed,needs,1_1,V;PST,1_0,V;3;SG;PRS,C,,,,
needed,need,1_1,V;PST,1_2,V;NFIN,C,,,,
needed,needing,1_1,V;PST,1_3,V;V.PTCP;PRS,C,,,,
needed,needy,1_1,V;PST,1_6,ADJ,DERIVATIONAL_ERROR,,,,
need,needs,1_2,V;NFIN,1_0,V;3;SG;PRS,C,,,,
need,needed,1_2,V;NFIN,1_1,V;PST,C,,,,
need,needing,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C,,,,
need,needy,1_2,V;NFIN,1_6,ADJ,DERIVATIONAL_ERROR,,,,
needing,needs,1_3,V;V.PTCP;PRS,1_0,V;3;SG;PRS,C,,,,
needing,needed,1_3,V;V.PTCP;PRS,1_1,V;PST,C,,,,
needing,need,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C,,,,
needing,needy,1_3,V;V.PTCP;PRS,1_6,ADJ,DERIVATIONAL_ERROR,,,,
needy,needs,1_6,ADJ,1_0,V;3;SG;PRS,DERIVATIONAL_ERROR,,,,
needy,needed,1_6,ADJ,1_1,V;PST,DERIVATIONAL_ERROR,,,,
needy,need,1_6,ADJ,1_2,V;NFIN,DERIVATIONAL_ERROR,,,,
needy,needing,1_6,ADJ,1_3,V;V.PTCP;PRS,DERIVATIONAL_ERROR,,,,
,,,,,,,,,,
strong,strongly,1_2,V;NFIN,1_4,?,DERIVATIONAL_ERROR,,,,
strong,stronger,1_2,V;NFIN,1_5,N;SG,SLOT_ERROR,,,,
strongly,strong,1_4,?,1_2,V;NFIN,DERIVATIONAL_ERROR,,,,
strongly,stronger,1_4,?,1_5,N;SG,DERIVATIONAL_ERROR,,,,
stronger,strong,1_5,N;SG,1_2,V;NFIN,SLOT_ERROR,,,,
stronger,strongly,1_5,N;SG,1_4,?,DERIVATIONAL_ERROR,,,,
,,,,,,,,,,
,,,,,,,,,,
blocked,block,1_1,V;PST,1_2,V;NFIN,C,,,,
block,blocked,1_2,V;NFIN,1_1,V;PST,C,,,,
,,,,,,,,,,
repeated,repeat,1_1,V;PST,1_2,V;NFIN,C,,,,
repeat,repeated,1_2,V;NFIN,1_1,V;PST,C,,,,
,,,,,,,,,,
dead,deadly,1_2,V;NFIN,1_4,?,DERIVATIONAL_ERROR,,,,
deadly,dead,1_4,?,1_2,V;NFIN,DERIVATIONAL_ERROR,,,,
,,,,,,,,,,
credits,credited,1_0,V;3;SG;PRS,1_1,V;PST,C,,,,
credits,credit,1_0,V;3;SG;PRS,1_2,V;NFIN,C,,,,
credited,credits,1_1,V;PST,1_0,V;3;SG;PRS,C,,,,
credited,credit,1_1,V;PST,1_2,V;NFIN,C,,,,
credit,credits,1_2,V;NFIN,1_0,V;3;SG;PRS,C,,,,
credit,credited,1_2,V;NFIN,1_1,V;PST,C,,,,
,,,,,,,,,,
friends,friend,1_0,V;3;SG;PRS,1_2,V;NFIN,SLOT_ERROR,,,,
friend,friends,1_2,V;NFIN,1_0,V;3;SG;PRS,SLOT_ERROR,,,,
,,,,,,,,,,
