src word,tgt word,src slot,src predicted MSD,tgt slot,tgt predicted MSD,annotation
alborote,alborotaron,1_22,V;POS;IMP;3;SG,1_0,V;IND;PST;3;PL;PFV,c
derrota,derrotarlo,1_11,V;POS;IMP;2;SG,1_21,?,CLITIC_ERROR
tocara,tocaran,1_8,V;SBJV;PST;3;SG;LGSPEC1,1_19,V;SBJV;PST;3;PL;LGSPEC1,c
presentes,presenten,1_25,V;SBJV;PRS;2;SG,1_17,V;SBJV;PRS;3;PL,c
despido,despide,0_0,V;POS;IMP;2;PL,0_14,V;IND;PRS;3;SG,c
honrarlo,honraba,1_21,?,1_5,V;IND;PST;1;SG;IPFV,CLITIC_ERROR
estaba,estarán,1_5,V;IND;PST;1;SG;IPFV,1_23,V;IND;FUT;3;PL,c
estudié,estudiando,1_20,V;IND;PST;1;SG;PFV,1_12,V.CVB;PRS,c
termina,terminarán,1_11,V;POS;IMP;2;SG,1_23,V;IND;FUT;3;PL,c
acompañó,acompañaran,1_15,V;IND;PST;3;SG;PFV,1_19,V;SBJV;PST;3;PL;LGSPEC1,c
necesitas,necesite,1_24,V;IND;PRS;2;SG,1_22,V;POS;IMP;3;SG,c
anunciado,anuncian,1_13,V.PTCP;PST;MASC;SG,1_16,V;IND;PRS;3;PL,c
molestan,molestarse,1_16,V;IND;PRS;3;PL,1_9,V;SBJV;PST;1;SG,CLITIC_ERROR
actuando,actuamos,1_12,V.CVB;PRS,1_4,V;IND;PST;1;PL;PFV,c
quemaron,quema,1_0,V;IND;PST;3;PL;PFV,1_11,V;POS;IMP;2;SG,c
queja,quejen,1_11,V;POS;IMP;2;SG,1_17,V;SBJV;PRS;3;PL,c
acabará,acabado,1_1,V;IND;FUT;3;SG,1_13,V.PTCP;PST;MASC;SG,POS_ERROR
adoraran,adoramos,1_19,V;SBJV;PST;3;PL;LGSPEC1,1_4,V;IND;PST;1;PL;PFV,c
aceptaron,aceptando,1_0,V;IND;PST;3;PL;PFV,1_12,V.CVB;PRS,c
demuestran,demuestren,2_4,V;IND;PRS;2;PL,2_1,V;SBJV;PRS;1;PL,c
castigará,castigado,1_1,V;IND;FUT;3;SG,1_13,V.PTCP;PST;MASC;SG,c
dejes,dejarlo,1_25,V;SBJV;PRS;2;SG,1_21,?,CLITIC_ERROR
persona,personas,2_6,V;SBJV;PRS;1;SG,2_2,V.PTCP;PST;FEM;PL,PARADIGM_ERROR
deba,deben,0_12,V;SBJV;PRS;3;SG,0_10,V;SBJV;PST;2;PL,SLOT_ERROR
confiamos,confiará,1_4,V;IND;PST;1;PL;PFV,1_1,V;IND;FUT;3;SG,c
conocen,conocer,0_10,V;SBJV;PST;2;PL,0_3,V;IND;FUT;2;SG,POS_ERROR
construye,construyó,1_22,V;POS;IMP;3;SG,1_15,V;IND;PST;3;SG;PFV,c
reinar,reino,1_14,V;NFIN,1_10,V;IND;PRS;1;SG,c
terminar,terminara,1_14,V;NFIN,1_8,V;SBJV;PST;3;SG;LGSPEC1,c
pasen,pasado,1_17,V;SBJV;PRS;3;PL,1_13,V.PTCP;PST;MASC;SG,c
llegará,llegado,1_1,V;IND;FUT;3;SG,1_13,V.PTCP;PST;MASC;SG,POS_ERROR
presenté,presente,1_20,V;IND;PST;1;SG;PFV,1_22,V;POS;IMP;3;SG,SLOT_ERROR
mataron,matan,1_0,V;IND;PST;3;PL;PFV,1_16,V;IND;PRS;3;PL,c
considero,consideró,1_10,V;IND;PRS;1;SG,1_15,V;IND;PST;3;SG;PFV,c
buscar,buscando,1_14,V;NFIN,1_12,V.CVB;PRS,c
pase,pasados,1_22,V;POS;IMP;3;SG,1_18,V.PTCP;PST;MASC;PL,c
odias,odien,1_24,V;IND;PRS;2;SG,1_17,V;SBJV;PRS;3;PL,c
bautizando,bautizamos,1_12,V.CVB;PRS,1_4,V;IND;PST;1;PL;PFV,c
insistes,insisten,0_4,V;IND;PST;2;PL;IPFV,0_10,V;SBJV;PST;2;PL,SLOT_ERROR
atrevía,atreve,0_1,V;IND;PST;3;SG;IPFV,0_14,V;IND;PRS;3;SG,c
interesado,interesados,1_13,V.PTCP;PST;MASC;SG,1_18,V.PTCP;PST;MASC;PL,c
atrevía,atrevido,0_1,V;IND;PST;3;SG;IPFV,0_11,V;NEG;IMP;1;PL,POS_ERROR
hacemos,hace,0_9,V;IND;PRS;1;PL,0_14,V;IND;PRS;3;SG,c
escupan,escupieron,0_8,V;POS;IMP;3;PL,0_7,V;COND;2;PL,SLOT_ERROR
preocupes,preocupas,1_25,V;SBJV;PRS;2;SG,1_24,V;IND;PRS;2;SG,c
asiento,asientos,2_0,V;SBJV;PRS;2;PL,2_5,V;SBJV;FUT;1;PL,PARADIGM_ERROR
sujetar,sujetarse,1_14,V;NFIN,1_9,V;SBJV;PST;1;SG,CLITIC_ERROR
enseña,enseñarlo,1_11,V;POS;IMP;2;SG,1_21,?,CLITIC_ERROR
presentaran,presentarlo,1_19,V;SBJV;PST;3;PL;LGSPEC1,1_21,?,CLITIC_ERROR
libros,libre,1_3,?,1_22,V;POS;IMP;3;SG,PARADIGM_ERROR
lloraba,lloraban,1_5,V;IND;PST;1;SG;IPFV,1_6,V;IND;PST;3;PL;IPFV,c
rechazando,rechaza,1_12,V.CVB;PRS,1_11,V;POS;IMP;2;SG,c
bajarlo,baje,1_21,?,1_22,V;POS;IMP;3;SG,c
sufrió,sufran,0_2,V;SBJV;PST;1;SG;LGSPEC1,0_8,V;POS;IMP;3;PL,c
haremos,harían,0_9,V;IND;PRS;1;PL,0_6,V;COND;3;PL,c
