src word,tgt word,src slot,tgt slot
hafir,hafði,0_8,0_5
hafir,haft,0_8,0_17
hafir,hafa,0_8,0_20
hafið,haf,0_19,0_14
hafið,hafna,0_19,0_21
hafið,hafi,0_19,0_15
hafið,hafin,0_19,0_3
hafið,hafinn,0_19,0_2
hafið,hafir,0_19,0_8
hafið,hafið,0_19,0_19
hafið,hafðu,0_19,0_13
hafið,hafði,0_19,0_5
hafið,haft,0_19,0_17
hafið,hafa,0_19,0_20
hafðu,haf,0_13,0_14
hafðu,hafna,0_13,0_21
hafðu,hafi,0_13,0_15
hafðu,hafin,0_13,0_3
hafðu,hafinn,0_13,0_2
hafðu,hafir,0_13,0_8
hafðu,hafið,0_13,0_19
hafðu,hafðu,0_13,0_13
hafðu,hafði,0_13,0_5
hafðu,haft,0_13,0_17
hafðu,hafa,0_13,0_20
hafði,haf,0_5,0_14
hafði,hafna,0_5,0_21
hafði,hafi,0_5,0_15
hafði,hafin,0_5,0_3
hafði,hafinn,0_5,0_2
hafði,hafir,0_5,0_8
hafði,hafið,0_5,0_19
hafði,hafðu,0_5,0_13
hafði,hafði,0_5,0_5
hafði,haft,0_5,0_17
hafði,hafa,0_5,0_20
haft,haf,0_17,0_14
haft,hafna,0_17,0_21
haft,hafi,0_17,0_15
haft,hafin,0_17,0_3
haft,hafinn,0_17,0_2
haft,hafir,0_17,0_8
haft,hafið,0_17,0_19
haft,hafðu,0_17,0_13
haft,hafði,0_17,0_5
haft,haft,0_17,0_17
haft,hafa,0_17,0_20
hafa,haf,0_20,0_14
hafa,hafna,0_20,0_21
hafa,hafi,0_20,0_15
hafa,hafin,0_20,0_3
hafa,hafinn,0_20,0_2
hafa,hafir,0_20,0_8
hafa,hafið,0_20,0_19
hafa,hafðu,0_20,0_13
hafa,hafði,0_20,0_5
hafa,haft,0_20,0_17
hafa,hafa,0_20,0_20
auk,auk,0_14,0_14
auk,auka,0_14,0_20
auk,aukast,0_14,0_11
auk,auki,0_14,0_15
auk,aukist,0_14,0_7
auk,aukið,0_14,0_19
auka,auk,0_20,0_14
auka,auka,0_20,0_20
auka,aukast,0_20,0_11
auka,auki,0_20,0_15
auka,aukist,0_20,0_7
auka,aukið,0_20,0_19
aukast,auk,0_11,0_14
aukast,auka,0_11,0_20
aukast,aukast,0_11,0_11
aukast,auki,0_11,0_15
aukast,aukist,0_11,0_7
aukast,aukið,0_11,0_19
auki,auk,0_15,0_14
auki,auka,0_15,0_20
auki,aukast,0_15,0_11
auki,auki,0_15,0_15
auki,aukist,0_15,0_7
auki,aukið,0_15,0_19
aukist,auk,0_7,0_14
aukist,auka,0_7,0_20
aukist,aukast,0_7,0_11
aukist,auki,0_7,0_15
aukist,aukist,0_7,0_7
aukist,aukið,0_7,0_19
aukið,auk,0_19,0_14
aukið,auka,0_19,0_20
aukið,aukast,0_19,0_11
aukið,auki,0_19,0_15
aukið,aukist,0_19,0_7
aukið,aukið,0_19,0_19
skelfa,skelfa,0_20,0_20
skelfa,skelfast,0_20,0_11
skelfa,skelfist,0_20,0_7
skelfast,skelfa,0_11,0_20
skelfast,skelfast,0_11,0_11
skelfast,skelfist,0_11,0_7
skelfist,skelfa,0_7,0_20
skelfist,skelfast,0_7,0_11
skelfist,skelfist,0_7,0_7
legg,legg,0_14,0_14
legg,leggja,0_14,0_6
legg,leggi,0_14,0_15
legg,leggið,0_14,0_19
legg,leggir,0_14,0_8
legg,leggst,0_14,0_12
legg,leggur,0_14,0_16
leggja,legg,0_6,0_14
leggja,leggja,0_6,0_6
leggja,leggi,0_6,0_15
leggja,leggið,0_6,0_19
leggja,leggir,0_6,0_8
leggja,leggst,0_6,0_12
leggja,leggur,0_6,0_16
leggi,legg,0_15,0_14
leggi,leggja,0_15,0_6
leggi,leggi,0_15,0_15
leggi,leggið,0_15,0_19
leggi,leggir,0_15,0_8
leggi,leggst,0_15,0_12
leggi,leggur,0_15,0_16
leggið,legg,0_19,0_14
leggið,leggja,0_19,0_6
leggið,leggi,0_19,0_15
leggið,leggið,0_19,0_19
leggið,leggir,0_19,0_8
leggið,leggst,0_19,0_12
leggið,leggur,0_19,0_16
leggir,legg,0_8,0_14
leggir,leggja,0_8,0_6
leggir,leggi,0_8,0_15
leggir,leggið,0_8,0_19
leggir,leggir,0_8,0_8
leggir,leggst,0_8,0_12
leggir,leggur,0_8,0_16
leggst,legg,0_12,0_14
leggst,leggja,0_12,0_6
leggst,leggi,0_12,0_15
leggst,leggið,0_12,0_19
leggst,leggir,0_12,0_8
leggst,leggst,0_12,0_12
leggst,leggur,0_12,0_16
leggur,legg,0_16,0_14
leggur,leggja,0_16,0_6
leggur,leggi,0_16,0_15
leggur,leggið,0_16,0_19
leggur,leggir,0_16,0_8
leggur,leggst,0_16,0_12
leggur,leggur,0_16,0_16
vex,vex,0_14,0_14
vex,vexti,0_14,0_0
vexti,vex,0_0,0_14
vexti,vexti,0_0,0_0
dæma,dæma,0_20,0_20
dæma,dæmi,0_20,0_15
dæma,dæmist,0_20,0_7
dæma,dæmir,0_20,0_8
dæma,dæmið,0_20,0_19
dæma,dæmast,0_20,0_11
dæma,dæmt,0_20,0_17
dæmi,dæma,0_15,0_20
dæmi,dæmi,0_15,0_15
dæmi,dæmist,0_15,0_7
dæmi,dæmir,0_15,0_8
dæmi,dæmið,0_15,0_19
dæmi,dæmast,0_15,0_11
dæmi,dæmt,0_15,0_17
dæmist,dæma,0_7,0_20
dæmist,dæmi,0_7,0_15
dæmist,dæmist,0_7,0_7
dæmist,dæmir,0_7,0_8
dæmist,dæmið,0_7,0_19
dæmist,dæmast,0_7,0_11
dæmist,dæmt,0_7,0_17
dæmir,dæma,0_8,0_20
dæmir,dæmi,0_8,0_15
dæmir,dæmist,0_8,0_7
dæmir,dæmir,0_8,0_8
dæmir,dæmið,0_8,0_19
dæmir,dæmast,0_8,0_11
dæmir,dæmt,0_8,0_17
dæmið,dæma,0_19,0_20
dæmið,dæmi,0_19,0_15
dæmið,dæmist,0_19,0_7
dæmið,dæmir,0_19,0_8
dæmið,dæmið,0_19,0_19
dæmið,dæmast,0_19,0_11
dæmið,dæmt,0_19,0_17
dæmast,dæma,0_11,0_20
dæmast,dæmi,0_11,0_15
dæmast,dæmist,0_11,0_7
dæmast,dæmir,0_11,0_8
dæmast,dæmið,0_11,0_19
dæmast,dæmast,0_11,0_11
dæmast,dæmt,0_11,0_17
dæmt,dæma,0_17,0_20
dæmt,dæmi,0_17,0_15
dæmt,dæmist,0_17,0_7
dæmt,dæmir,0_17,0_8
dæmt,dæmið,0_17,0_19
dæmt,dæmast,0_17,0_11
dæmt,dæmt,0_17,0_17
fá,fá,0_14,0_14
fá,fást,0_14,0_12
fá,fái,0_14,0_15
fá,fáist,0_14,0_7
fá,fáir,0_14,0_8
fá,fáið,0_14,0_19
fá,fáa,0_14,0_20
fá,fát,0_14,0_17
fá,fáum,0_14,0_1
fást,fá,0_12,0_14
fást,fást,0_12,0_12
fást,fái,0_12,0_15
fást,fáist,0_12,0_7
fást,fáir,0_12,0_8
fást,fáið,0_12,0_19
fást,fáa,0_12,0_20
fást,fát,0_12,0_17
fást,fáum,0_12,0_1
fái,fá,0_15,0_14
fái,fást,0_15,0_12
fái,fái,0_15,0_15
fái,fáist,0_15,0_7
fái,fáir,0_15,0_8
fái,fáið,0_15,0_19
fái,fáa,0_15,0_20
fái,fát,0_15,0_17
fái,fáum,0_15,0_1
fáist,fá,0_7,0_14
fáist,fást,0_7,0_12
fáist,fái,0_7,0_15
fáist,fáist,0_7,0_7
fáist,fáir,0_7,0_8
fáist,fáið,0_7,0_19
fáist,fáa,0_7,0_20
fáist,fát,0_7,0_17
fáist,fáum,0_7,0_1
fáir,fá,0_8,0_14
fáir,fást,0_8,0_12
fáir,fái,0_8,0_15
fáir,fáist,0_8,0_7
fáir,fáir,0_8,0_8
fáir,fáið,0_8,0_19
fáir,fáa,0_8,0_20
fáir,fát,0_8,0_17
fáir,fáum,0_8,0_1
fáið,fá,0_19,0_14
fáið,fást,0_19,0_12
fáið,fái,0_19,0_15
fáið,fáist,0_19,0_7
fáið,fáir,0_19,0_8
fáið,fáið,0_19,0_19
fáið,fáa,0_19,0_20
fáið,fát,0_19,0_17
fáið,fáum,0_19,0_1
fáa,fá,0_20,0_14
fáa,fást,0_20,0_12
fáa,fái,0_20,0_15
fáa,fáist,0_20,0_7
fáa,fáir,0_20,0_8
fáa,fáið,0_20,0_19
fáa,fáa,0_20,0_20
fáa,fát,0_20,0_17
fáa,fáum,0_20,0_1
fát,fá,0_17,0_14
fát,fást,0_17,0_12
fát,fái,0_17,0_15
fát,fáist,0_17,0_7
fát,fáir,0_17,0_8
fát,fáið,0_17,0_19
fát,fáa,0_17,0_20
fát,fát,0_17,0_17
fát,fáum,0_17,0_1
fáum,fá,0_1,0_14
fáum,fást,0_1,0_12
fáum,fái,0_1,0_15
fáum,fáist,0_1,0_7
fáum,fáir,0_1,0_8
fáum,fáið,0_1,0_19
fáum,fáa,0_1,0_20
fáum,fát,0_1,0_17
fáum,fáum,0_1,0_1
lati,lati,0_0,0_0
lati,laði,0_0,0_5
laði,lati,0_5,0_0
laði,laði,0_5,0_5
þau,þau,0_10,0_10
þau,það,0_10,0_18
það,þau,0_18,0_10
það,það,0_18,0_18
Lát,Lát,0_14,0_14
Lát,Láttu,0_14,0_4
Lát,Látum,0_14,0_1
Lát,Láti,0_14,0_15
Lát,Látið,0_14,0_19
Láttu,Lát,0_4,0_14
Láttu,Láttu,0_4,0_4
Láttu,Látum,0_4,0_1
Láttu,Láti,0_4,0_15
Láttu,Látið,0_4,0_19
Látum,Lát,0_1,0_14
Látum,Láttu,0_1,0_4
Látum,Látum,0_1,0_1
Látum,Láti,0_1,0_15
Látum,Látið,0_1,0_19
Láti,Lát,0_15,0_14
Láti,Láttu,0_15,0_4
Láti,Látum,0_15,0_1
Láti,Láti,0_15,0_15
Láti,Látið,0_15,0_19
Látið,Lát,0_19,0_14
Látið,Láttu,0_19,0_4
Látið,Látum,0_19,0_1
Látið,Láti,0_19,0_15
Látið,Látið,0_19,0_19
sveig,sveig,0_14,0_14
sveig,sveigði,0_14,0_5
sveig,sveigur,0_14,0_16
sveigði,sveig,0_5,0_14
sveigði,sveigði,0_5,0_5
sveigði,sveigur,0_5,0_16
sveigur,sveig,0_16,0_14
sveigur,sveigði,0_16,0_5
sveigur,sveigur,0_16,0_16
vel,vel,0_14,0_14
vel,velt,0_14,0_17
vel,velti,0_14,0_0
vel,velur,0_14,0_16
velt,vel,0_17,0_14
velt,velt,0_17,0_17
velt,velti,0_17,0_0
velt,velur,0_17,0_16
velti,vel,0_0,0_14
velti,velt,0_0,0_17
velti,velti,0_0,0_0
velti,velur,0_0,0_16
velur,vel,0_16,0_14
velur,velt,0_16,0_17
velur,velti,0_16,0_0
velur,velur,0_16,0_16
ónýt,ónýt,0_14,0_14
ónýt,ónýta,0_14,0_20
ónýt,ónýtast,0_14,0_11
ónýt,ónýti,0_14,0_15
ónýt,ónýtist,0_14,0_7
ónýt,ónýtir,0_14,0_8
ónýt,ónýtt,0_14,0_17
ónýta,ónýt,0_20,0_14
ónýta,ónýta,0_20,0_20
ónýta,ónýtast,0_20,0_11
ónýta,ónýti,0_20,0_15
ónýta,ónýtist,0_20,0_7
ónýta,ónýtir,0_20,0_8
ónýta,ónýtt,0_20,0_17
ónýtast,ónýt,0_11,0_14
ónýtast,ónýta,0_11,0_20
ónýtast,ónýtast,0_11,0_11
ónýtast,ónýti,0_11,0_15
ónýtast,ónýtist,0_11,0_7
ónýtast,ónýtir,0_11,0_8
ónýtast,ónýtt,0_11,0_17
ónýti,ónýt,0_15,0_14
ónýti,ónýta,0_15,0_20
ónýti,ónýtast,0_15,0_11
ónýti,ónýti,0_15,0_15
ónýti,ónýtist,0_15,0_7
ónýti,ónýtir,0_15,0_8
ónýti,ónýtt,0_15,0_17
ónýtist,ónýt,0_7,0_14
ónýtist,ónýta,0_7,0_20
ónýtist,ónýtast,0_7,0_11
ónýtist,ónýti,0_7,0_15
ónýtist,ónýtist,0_7,0_7
ónýtist,ónýtir,0_7,0_8
ónýtist,ónýtt,0_7,0_17
ónýtir,ónýt,0_8,0_14
ónýtir,ónýta,0_8,0_20
ónýtir,ónýtast,0_8,0_11
ónýtir,ónýti,0_8,0_15
ónýtir,ónýtist,0_8,0_7
ónýtir,ónýtir,0_8,0_8
ónýtir,ónýtt,0_8,0_17
ónýtt,ónýt,0_17,0_14
ónýtt,ónýta,0_17,0_20
ónýtt,ónýtast,0_17,0_11
ónýtt,ónýti,0_17,0_15
ónýtt,ónýtist,0_17,0_7
ónýtt,ónýtir,0_17,0_8
ónýtt,ónýtt,0_17,0_17
hlæið,hlæið,0_19,0_19
hlæið,hlæja,0_19,0_6
hlæja,hlæið,0_6,0_19
hlæja,hlæja,0_6,0_6
inn,inn,0_14,0_14
inn,innt,0_14,0_17
inn,innti,0_14,0_0
inn,inni,0_14,0_15
inn,innir,0_14,0_8
inn,innið,0_14,0_19
inn,inna,0_14,0_20
innt,inn,0_17,0_14
innt,innt,0_17,0_17
innt,innti,0_17,0_0
innt,inni,0_17,0_15
innt,innir,0_17,0_8
innt,innið,0_17,0_19
innt,inna,0_17,0_20
innti,inn,0_0,0_14
innti,innt,0_0,0_17
innti,innti,0_0,0_0
innti,inni,0_0,0_15
innti,innir,0_0,0_8
innti,innið,0_0,0_19
innti,inna,0_0,0_20
inni,inn,0_15,0_14
inni,innt,0_15,0_17
inni,innti,0_15,0_0
inni,inni,0_15,0_15
inni,innir,0_15,0_8
inni,innið,0_15,0_19
inni,inna,0_15,0_20
innir,inn,0_8,0_14
innir,innt,0_8,0_17
innir,innti,0_8,0_0
innir,inni,0_8,0_15
innir,innir,0_8,0_8
innir,innið,0_8,0_19
innir,inna,0_8,0_20
innið,inn,0_19,0_14
innið,innt,0_19,0_17
innið,innti,0_19,0_0
innið,inni,0_19,0_15
innið,innir,0_19,0_8
innið,innið,0_19,0_19
innið,inna,0_19,0_20
inna,inn,0_20,0_14
inna,innt,0_20,0_17
inna,innti,0_20,0_0
inna,inni,0_20,0_15
inna,innir,0_20,0_8
inna,innið,0_20,0_19
inna,inna,0_20,0_20
hef,hef,0_14,0_14
hef,hefja,0_14,0_6
hef,hefðu,0_14,0_13
hef,hefði,0_14,0_5
hef,hefur,0_14,0_16
hef,hefna,0_14,0_21
hefja,hef,0_6,0_14
hefja,hefja,0_6,0_6
hefja,hefðu,0_6,0_13
hefja,hefði,0_6,0_5
hefja,hefur,0_6,0_16
hefja,hefna,0_6,0_21
hefðu,hef,0_13,0_14
hefðu,hefja,0_13,0_6
hefðu,hefðu,0_13,0_13
hefðu,hefði,0_13,0_5
hefðu,hefur,0_13,0_16
hefðu,hefna,0_13,0_21
hefði,hef,0_5,0_14
hefði,hefja,0_5,0_6
hefði,hefðu,0_5,0_13
hefði,hefði,0_5,0_5
hefði,hefur,0_5,0_16
hefði,hefna,0_5,0_21
hefur,hef,0_16,0_14
hefur,hefja,0_16,0_6
hefur,hefðu,0_16,0_13
hefur,hefði,0_16,0_5
hefur,hefur,0_16,0_16
hefur,hefna,0_16,0_21
hefna,hef,0_21,0_14
hefna,hefja,0_21,0_6
hefna,hefðu,0_21,0_13
hefna,hefði,0_21,0_5
hefna,hefur,0_21,0_16
hefna,hefna,0_21,0_21
skein,skein,0_3,0_3
skein,skeið,0_3,0_19
skeið,skein,0_19,0_3
skeið,skeið,0_19,0_19
gleypa,gleypa,0_20,0_20
gleypa,gleypt,0_20,0_17
gleypt,gleypa,0_17,0_20
gleypt,gleypt,0_17,0_17
byrgir,byrgir,0_8,0_8
byrgir,byrgðu,0_8,0_13
byrgðu,byrgir,0_13,0_8
byrgðu,byrgðu,0_13,0_13
vígi,vígi,0_15,0_15
vígi,vígði,0_15,0_5
vígði,vígi,0_5,0_15
vígði,vígði,0_5,0_5
beðist,beðist,0_7,0_7
beðist,beðið,0_7,0_19
beðið,beðist,0_19,0_7
beðið,beðið,0_19,0_19
rifa,rifa,0_20,0_20
rifa,rifi,0_20,0_15
rifa,rifin,0_20,0_3
rifa,rifið,0_20,0_19
rifa,rifja,0_20,0_6
rifa,rifna,0_20,0_21
rifa,rifu,0_20,0_10
rifi,rifa,0_15,0_20
rifi,rifi,0_15,0_15
rifi,rifin,0_15,0_3
rifi,rifið,0_15,0_19
rifi,rifja,0_15,0_6
rifi,rifna,0_15,0_21
rifi,rifu,0_15,0_10
rifin,rifa,0_3,0_20
rifin,rifi,0_3,0_15
rifin,rifin,0_3,0_3
rifin,rifið,0_3,0_19
rifin,rifja,0_3,0_6
rifin,rifna,0_3,0_21
rifin,rifu,0_3,0_10
rifið,rifa,0_19,0_20
rifið,rifi,0_19,0_15
rifið,rifin,0_19,0_3
rifið,rifið,0_19,0_19
rifið,rifja,0_19,0_6
rifið,rifna,0_19,0_21
rifið,rifu,0_19,0_10
rifja,rifa,0_6,0_20
rifja,rifi,0_6,0_15
rifja,rifin,0_6,0_3
rifja,rifið,0_6,0_19
rifja,rifja,0_6,0_6
rifja,rifna,0_6,0_21
rifja,rifu,0_6,0_10
rifna,rifa,0_21,0_20
rifna,rifi,0_21,0_15
rifna,rifin,0_21,0_3
rifna,rifið,0_21,0_19
rifna,rifja,0_21,0_6
rifna,rifna,0_21,0_21
rifna,rifu,0_21,0_10
rifu,rifa,0_10,0_20
rifu,rifi,0_10,0_15
rifu,rifin,0_10,0_3
rifu,rifið,0_10,0_19
rifu,rifja,0_10,0_6
rifu,rifna,0_10,0_21
rifu,rifu,0_10,0_10
kyn,kyn,0_14,0_14
kyn,kynna,0_14,0_21
kyn,kyni,0_14,0_15
kyn,kyntu,0_14,0_4
kynna,kyn,0_21,0_14
kynna,kynna,0_21,0_21
kynna,kyni,0_21,0_15
kynna,kyntu,0_21,0_4
kyni,kyn,0_15,0_14
kyni,kynna,0_15,0_21
kyni,kyni,0_15,0_15
kyni,kyntu,0_15,0_4
kyntu,kyn,0_4,0_14
kyntu,kynna,0_4,0_21
kyntu,kyni,0_4,0_15
kyntu,kyntu,0_4,0_4
sofa,sofa,0_20,0_20
sofa,sofna,0_20,0_21
sofa,sofið,0_20,0_19
sofa,sofum,0_20,0_1
sofna,sofa,0_21,0_20
sofna,sofna,0_21,0_21
sofna,sofið,0_21,0_19
sofna,sofum,0_21,0_1
sofið,sofa,0_19,0_20
sofið,sofna,0_19,0_21
sofið,sofið,0_19,0_19
sofið,sofum,0_19,0_1
sofum,sofa,0_1,0_20
sofum,sofna,0_1,0_21
sofum,sofið,0_1,0_19
sofum,sofum,0_1,0_1
þekki,þekki,0_15,0_15
þekki,þekkt,0_15,0_17
þekki,þekkti,0_15,0_0
þekki,þekktu,0_15,0_4
þekki,þekkja,0_15,0_6
þekki,þekkið,0_15,0_19
þekki,þekkir,0_15,0_8
þekki,þekkist,0_15,0_7
þekkt,þekki,0_17,0_15
þekkt,þekkt,0_17,0_17
þekkt,þekkti,0_17,0_0
þekkt,þekktu,0_17,0_4
þekkt,þekkja,0_17,0_6
þekkt,þekkið,0_17,0_19
þekkt,þekkir,0_17,0_8
þekkt,þekkist,0_17,0_7
þekkti,þekki,0_0,0_15
þekkti,þekkt,0_0,0_17
þekkti,þekkti,0_0,0_0
þekkti,þekktu,0_0,0_4
þekkti,þekkja,0_0,0_6
þekkti,þekkið,0_0,0_19
þekkti,þekkir,0_0,0_8
þekkti,þekkist,0_0,0_7
þekktu,þekki,0_4,0_15
þekktu,þekkt,0_4,0_17
þekktu,þekkti,0_4,0_0
þekktu,þekktu,0_4,0_4
þekktu,þekkja,0_4,0_6
þekktu,þekkið,0_4,0_19
þekktu,þekkir,0_4,0_8
þekktu,þekkist,0_4,0_7
þekkja,þekki,0_6,0_15
þekkja,þekkt,0_6,0_17
þekkja,þekkti,0_6,0_0
þekkja,þekktu,0_6,0_4
þekkja,þekkja,0_6,0_6
þekkja,þekkið,0_6,0_19
þekkja,þekkir,0_6,0_8
þekkja,þekkist,0_6,0_7
þekkið,þekki,0_19,0_15
þekkið,þekkt,0_19,0_17
þekkið,þekkti,0_19,0_0
þekkið,þekktu,0_19,0_4
þekkið,þekkja,0_19,0_6
þekkið,þekkið,0_19,0_19
þekkið,þekkir,0_19,0_8
þekkið,þekkist,0_19,0_7
þekkir,þekki,0_8,0_15
þekkir,þekkt,0_8,0_17
þekkir,þekkti,0_8,0_0
þekkir,þekktu,0_8,0_4
þekkir,þekkja,0_8,0_6
þekkir,þekkið,0_8,0_19
þekkir,þekkir,0_8,0_8
þekkir,þekkist,0_8,0_7
þekkist,þekki,0_7,0_15
þekkist,þekkt,0_7,0_17
þekkist,þekkti,0_7,0_0
þekkist,þekktu,0_7,0_4
þekkist,þekkja,0_7,0_6
þekkist,þekkið,0_7,0_19
þekkist,þekkir,0_7,0_8
þekkist,þekkist,0_7,0_7
spyrjast,spyrjast,0_11,0_11
spyrjast,spyrji,0_11,0_15
spyrjast,spyrjist,0_11,0_7
spyrji,spyrjast,0_15,0_11
spyrji,spyrji,0_15,0_15
spyrji,spyrjist,0_15,0_7
spyrjist,spyrjast,0_7,0_11
spyrjist,spyrji,0_7,0_15
spyrjist,spyrjist,0_7,0_7
rek,rek,0_14,0_14
rek,reka,0_14,0_20
rek,rekast,0_14,0_11
rek,rekur,0_14,0_16
rek,rekja,0_14,0_6
rek,reki,0_14,0_15
rek,rekin,0_14,0_3
rek,rekinn,0_14,0_2
rek,rekið,0_14,0_19
rek,rekna,0_14,0_21
reka,rek,0_20,0_14
reka,reka,0_20,0_20
reka,rekast,0_20,0_11
reka,rekur,0_20,0_16
reka,rekja,0_20,0_6
reka,reki,0_20,0_15
reka,rekin,0_20,0_3
reka,rekinn,0_20,0_2
reka,rekið,0_20,0_19
reka,rekna,0_20,0_21
rekast,rek,0_11,0_14
rekast,reka,0_11,0_20
rekast,rekast,0_11,0_11
rekast,rekur,0_11,0_16
rekast,rekja,0_11,0_6
rekast,reki,0_11,0_15
rekast,rekin,0_11,0_3
rekast,rekinn,0_11,0_2
rekast,rekið,0_11,0_19
rekast,rekna,0_11,0_21
rekur,rek,0_16,0_14
rekur,reka,0_16,0_20
rekur,rekast,0_16,0_11
rekur,rekur,0_16,0_16
rekur,rekja,0_16,0_6
