src word,tgt word,src slot,tgt slot
Fittichen,Fittichen,0_0,0_0
Lassen,Lassen,0_0,0_0
Lassen,Lasset,0_0,0_6
Lasset,Lassen,0_6,0_0
Lasset,Lasset,0_6,0_6
drang,drang,0_12,0_12
drang,drangen,0_12,0_0
drangen,drang,0_0,0_12
drangen,drangen,0_0,0_0
antaste,antaste,0_3,0_3
antaste,antasten,0_3,0_0
antaste,antastet,0_3,0_9
antasten,antaste,0_0,0_3
antasten,antasten,0_0,0_0
antasten,antastet,0_0,0_9
antastet,antaste,0_9,0_3
antastet,antasten,0_9,0_0
antastet,antastet,0_9,0_9
schnitt,schnitt,0_12,0_12
schnitt,schnitten,0_12,0_0
schnitten,schnitt,0_0,0_12
schnitten,schnitten,0_0,0_0
hergehen,hergehen,0_0,0_0
hergehen,hergeht,0_0,0_6
hergeht,hergehen,0_6,0_0
hergeht,hergeht,0_6,0_6
steinern,steinern,0_12,0_12
steinern,steinerne,0_12,0_3
steinern,steinernes,0_12,0_8
steinern,steinernen,0_12,0_0
steinerne,steinern,0_3,0_12
steinerne,steinerne,0_3,0_3
steinerne,steinernes,0_3,0_8
steinerne,steinernen,0_3,0_0
steinernes,steinern,0_8,0_12
steinernes,steinerne,0_8,0_3
steinernes,steinernes,0_8,0_8
steinernes,steinernen,0_8,0_0
steinernen,steinern,0_0,0_12
steinernen,steinerne,0_0,0_3
steinernen,steinernes,0_0,0_8
steinernen,steinernen,0_0,0_0
Widerspenstigen,Widerspenstigen,0_0,0_0
Widerspenstigen,Widerspenstiger,0_0,0_5
Widerspenstiger,Widerspenstigen,0_5,0_0
Widerspenstiger,Widerspenstiger,0_5,0_5
sang,sang,0_12,0_12
sang,sangen,0_12,0_0
sangen,sang,0_0,0_12
sangen,sangen,0_0,0_0
Gleich,Gleich,0_12,0_12
Gleich,Gleiches,0_12,0_8
Gleiches,Gleich,0_8,0_12
Gleiches,Gleiches,0_8,0_8
lasse,lasse,0_3,0_3
lasse,lassen,0_3,0_0
lasse,lasset,0_3,0_9
lasse,lassest,0_3,0_2
lassen,lasse,0_0,0_3
lassen,lassen,0_0,0_0
lassen,lasset,0_0,0_9
lassen,lassest,0_0,0_2
lasset,lasse,0_9,0_3
lasset,lassen,0_9,0_0
lasset,lasset,0_9,0_9
lasset,lassest,0_9,0_2
lassest,lasse,0_2,0_3
lassest,lassen,0_2,0_0
lassest,lasset,0_2,0_9
lassest,lassest,0_2,0_2
einzige,einzige,0_3,0_3
einzige,einziger,0_3,0_5
einzige,einzigen,0_3,0_0
einzige,einziges,0_3,0_8
einziger,einzige,0_5,0_3
einziger,einziger,0_5,0_5
einziger,einzigen,0_5,0_0
einziger,einziges,0_5,0_8
einzigen,einzige,0_0,0_3
einzigen,einziger,0_0,0_5
einzigen,einzigen,0_0,0_0
einzigen,einziges,0_0,0_8
einziges,einzige,0_8,0_3
einziges,einziger,0_8,0_5
einziges,einzigen,0_8,0_0
einziges,einziges,0_8,0_8
Schwange,Schwange,0_3,0_3
danke,danke,0_3,0_3
danke,dankt,0_3,0_6
danke,dankte,0_3,0_4
danke,dankten,0_3,0_11
danke,danken,0_3,0_0
danke,danket,0_3,0_9
dankt,danke,0_6,0_3
dankt,dankt,0_6,0_6
dankt,dankte,0_6,0_4
dankt,dankten,0_6,0_11
dankt,danken,0_6,0_0
dankt,danket,0_6,0_9
dankte,danke,0_4,0_3
dankte,dankt,0_4,0_6
dankte,dankte,0_4,0_4
dankte,dankten,0_4,0_11
dankte,danken,0_4,0_0
dankte,danket,0_4,0_9
dankten,danke,0_11,0_3
dankten,dankt,0_11,0_6
dankten,dankte,0_11,0_4
dankten,dankten,0_11,0_11
dankten,danken,0_11,0_0
dankten,danket,0_11,0_9
danken,danke,0_0,0_3
danken,dankt,0_0,0_6
danken,dankte,0_0,0_4
danken,dankten,0_0,0_11
danken,danken,0_0,0_0
danken,danket,0_0,0_9
danket,danke,0_9,0_3
danket,dankt,0_9,0_6
danket,dankte,0_9,0_4
danket,dankten,0_9,0_11
danket,danken,0_9,0_0
danket,danket,0_9,0_9
ausjäten,ausjäten,0_0,0_0
ausjäten,ausjätet,0_0,0_6
ausjätet,ausjäten,0_6,0_0
ausjätet,ausjätet,0_6,0_6
Staub,Staub,0_12,0_12
Staub,Staube,0_12,0_3
Staube,Staub,0_3,0_12
Staube,Staube,0_3,0_3
Glas,Glas,0_12,0_12
Glas,Glase,0_12,0_3
Glase,Glas,0_3,0_12
Glase,Glase,0_3,0_3
einführen,einführen,0_0,0_0
einführen,einführt,0_0,0_6
einführen,einführte,0_0,0_4
einführt,einführen,0_6,0_0
einführt,einführt,0_6,0_6
einführt,einführte,0_6,0_4
einführte,einführen,0_4,0_0
einführte,einführt,0_4,0_6
einführte,einführte,0_4,0_4
gottselig,gottselig,0_12,0_12
gottselig,gottselige,0_12,0_3
gottselig,gottseligen,0_12,0_0
gottselig,gottseligem,0_12,0_7
gottselige,gottselig,0_3,0_12
gottselige,gottselige,0_3,0_3
gottselige,gottseligen,0_3,0_0
gottselige,gottseligem,0_3,0_7
gottseligen,gottselig,0_0,0_12
gottseligen,gottselige,0_0,0_3
gottseligen,gottseligen,0_0,0_0
gottseligen,gottseligem,0_0,0_7
gottseligem,gottselig,0_7,0_12
gottseligem,gottselige,0_7,0_3
gottseligem,gottseligen,0_7,0_0
gottseligem,gottseligem,0_7,0_7
ihr,ihr,0_12,0_12
ihr,ihre,0_12,0_3
ihr,ihrer,0_12,0_5
ihr,ihrem,0_12,0_7
ihr,ihres,0_12,0_8
ihr,ihren,0_12,0_0
ihr,ihrs,0_12,0_1
ihre,ihr,0_3,0_12
ihre,ihre,0_3,0_3
ihre,ihrer,0_3,0_5
ihre,ihrem,0_3,0_7
ihre,ihres,0_3,0_8
ihre,ihren,0_3,0_0
ihre,ihrs,0_3,0_1
ihrer,ihr,0_5,0_12
ihrer,ihre,0_5,0_3
ihrer,ihrer,0_5,0_5
ihrer,ihrem,0_5,0_7
ihrer,ihres,0_5,0_8
ihrer,ihren,0_5,0_0
ihrer,ihrs,0_5,0_1
ihrem,ihr,0_7,0_12
ihrem,ihre,0_7,0_3
ihrem,ihrer,0_7,0_5
ihrem,ihrem,0_7,0_7
ihrem,ihres,0_7,0_8
ihrem,ihren,0_7,0_0
ihrem,ihrs,0_7,0_1
ihres,ihr,0_8,0_12
ihres,ihre,0_8,0_3
ihres,ihrer,0_8,0_5
ihres,ihrem,0_8,0_7
ihres,ihres,0_8,0_8
ihres,ihren,0_8,0_0
ihres,ihrs,0_8,0_1
ihren,ihr,0_0,0_12
ihren,ihre,0_0,0_3
ihren,ihrer,0_0,0_5
ihren,ihrem,0_0,0_7
ihren,ihres,0_0,0_8
ihren,ihren,0_0,0_0
ihren,ihrs,0_0,0_1
ihrs,ihr,0_1,0_12
ihrs,ihre,0_1,0_3
ihrs,ihrer,0_1,0_5
ihrs,ihrem,0_1,0_7
ihrs,ihres,0_1,0_8
ihrs,ihren,0_1,0_0
ihrs,ihrs,0_1,0_1
Ruhm,Ruhm,0_12,0_12
Ruhm,Ruhmes,0_12,0_8
Ruhm,Ruhms,0_12,0_1
Ruhmes,Ruhm,0_8,0_12
Ruhmes,Ruhmes,0_8,0_8
Ruhmes,Ruhms,0_8,0_1
Ruhms,Ruhm,0_1,0_12
Ruhms,Ruhmes,0_1,0_8
Ruhms,Ruhms,0_1,0_1
mische,mische,0_3,0_3
mische,mischest,0_3,0_2
mischest,mische,0_2,0_3
mischest,mischest,0_2,0_2
mustert,mustert,0_6,0_6
mustert,musterte,0_6,0_4
musterte,mustert,0_4,0_6
musterte,musterte,0_4,0_4
Löse,Löse,0_3,0_3
Löse,Löser,0_3,0_5
Löse,Löset,0_3,0_9
Löser,Löse,0_5,0_3
Löser,Löser,0_5,0_5
Löser,Löset,0_5,0_9
Löset,Löse,0_9,0_3
Löset,Löser,0_9,0_5
Löset,Löset,0_9,0_9
schwelle,schwelle,0_3,0_3
schwelle,schwellen,0_3,0_0
schwellen,schwelle,0_0,0_3
schwellen,schwellen,0_0,0_0
Strick,Strick,0_12,0_12
Strick,Stricke,0_12,0_3
Strick,Stricken,0_12,0_0
Stricke,Strick,0_3,0_12
Stricke,Stricke,0_3,0_3
Stricke,Stricken,0_3,0_0
Stricken,Strick,0_0,0_12
Stricken,Stricke,0_0,0_3
Stricken,Stricken,0_0,0_0
bekommen,bekommen,0_0,0_0
bekommen,bekommt,0_0,0_6
bekommt,bekommen,0_6,0_0
bekommt,bekommt,0_6,0_6
verwandeln,verwandeln,0_0,0_0
verwandeln,verwandelt,0_0,0_6
verwandeln,verwandelte,0_0,0_4
verwandeln,verwandelten,0_0,0_11
verwandelt,verwandeln,0_6,0_0
verwandelt,verwandelt,0_6,0_6
verwandelt,verwandelte,0_6,0_4
verwandelt,verwandelten,0_6,0_11
verwandelte,verwandeln,0_4,0_0
verwandelte,verwandelt,0_4,0_6
verwandelte,verwandelte,0_4,0_4
verwandelte,verwandelten,0_4,0_11
verwandelten,verwandeln,0_11,0_0
verwandelten,verwandelt,0_11,0_6
verwandelten,verwandelte,0_11,0_4
verwandelten,verwandelten,0_11,0_11
griff,griff,0_12,0_12
griff,griffe,0_12,0_3
griff,griffen,0_12,0_0
griffe,griff,0_3,0_12
griffe,griffe,0_3,0_3
griffe,griffen,0_3,0_0
griffen,griff,0_0,0_12
griffen,griffe,0_0,0_3
griffen,griffen,0_0,0_0
hieb,hieb,0_12,0_12
hieb,hieben,0_12,0_0
hieben,hieb,0_0,0_12
hieben,hieben,0_0,0_0
versündige,versündige,0_3,0_3
versündige,versündigt,0_3,0_6
versündige,versündigte,0_3,0_4
versündige,versündigten,0_3,0_11
versündige,versündigen,0_3,0_0
versündigt,versündige,0_6,0_3
versündigt,versündigt,0_6,0_6
versündigt,versündigte,0_6,0_4
versündigt,versündigten,0_6,0_11
versündigt,versündigen,0_6,0_0
versündigte,versündige,0_4,0_3
versündigte,versündigt,0_4,0_6
versündigte,versündigte,0_4,0_4
versündigte,versündigten,0_4,0_11
versündigte,versündigen,0_4,0_0
versündigten,versündige,0_11,0_3
versündigten,versündigt,0_11,0_6
versündigten,versündigte,0_11,0_4
versündigten,versündigten,0_11,0_11
versündigten,versündigen,0_11,0_0
versündigen,versündige,0_0,0_3
versündigen,versündigt,0_0,0_6
versündigen,versündigte,0_0,0_4
versündigen,versündigten,0_0,0_11
versündigen,versündigen,0_0,0_0
Pfennig,Pfennig,0_12,0_12
Pfennig,Pfennige,0_12,0_3
Pfennige,Pfennig,0_3,0_12
Pfennige,Pfennige,0_3,0_3
Häupten,Häupten,0_0,0_0
Häupten,Häupter,0_0,0_5
Häupter,Häupten,0_5,0_0
Häupter,Häupter,0_5,0_5
zerbrich,zerbrich,0_12,0_12
zerbrich,zerbricht,0_12,0_6
zerbrich,zerbrichst,0_12,0_10
zerbricht,zerbrich,0_6,0_12
zerbricht,zerbricht,0_6,0_6
zerbricht,zerbrichst,0_6,0_10
zerbrichst,zerbrich,0_10,0_12
zerbrichst,zerbricht,0_10,0_6
zerbrichst,zerbrichst,0_10,0_10
hineinkam,hineinkam,0_12,0_12
hineinkam,hineinkamen,0_12,0_0
hineinkam,hineinkamt,0_12,0_6
hineinkamen,hineinkam,0_0,0_12
hineinkamen,hineinkamen,0_0,0_0
hineinkamen,hineinkamt,0_0,0_6
hineinkamt,hineinkam,0_6,0_12
hineinkamt,hineinkamen,0_6,0_0
hineinkamt,hineinkamt,0_6,0_6
Tob,Tob,0_12,0_12
Tob,Toben,0_12,0_0
Toben,Tob,0_0,0_12
Toben,Toben,0_0,0_0
geselle,geselle,0_3,0_3
geselle,gesellt,0_3,0_6
geselle,gesellte,0_3,0_4
geselle,gesellten,0_3,0_11
gesellt,geselle,0_6,0_3
gesellt,gesellt,0_6,0_6
gesellt,gesellte,0_6,0_4
gesellt,gesellten,0_6,0_11
gesellte,geselle,0_4,0_3
gesellte,gesellt,0_4,0_6
gesellte,gesellte,0_4,0_4
gesellte,gesellten,0_4,0_11
gesellten,geselle,0_11,0_3
gesellten,gesellt,0_11,0_6
gesellten,gesellte,0_11,0_4
gesellten,gesellten,0_11,0_11
Flehen,Flehen,0_0,0_0
Ezem,Ezem,0_7,0_7
Ezem,Ezer,0_7,0_5
Ezer,Ezem,0_5,0_7
Ezer,Ezer,0_5,0_5
Ziege,Ziege,0_3,0_3
Ziege,Ziegen,0_3,0_0
Ziegen,Ziege,0_0,0_3
Ziegen,Ziegen,0_0,0_0
Grämen,Grämen,0_0,0_0
Witwe,Witwe,0_3,0_3
Witwe,Witwen,0_3,0_0
Witwen,Witwe,0_0,0_3
Witwen,Witwen,0_0,0_0
verklagen,verklagen,0_0,0_0
verklagen,verklagt,0_0,0_6
verklagen,verklagte,0_0,0_4
verklagen,verklagten,0_0,0_11
verklagt,verklagen,0_6,0_0
verklagt,verklagt,0_6,0_6
verklagt,verklagte,0_6,0_4
verklagt,verklagten,0_6,0_11
verklagte,verklagen,0_4,0_0
verklagte,verklagt,0_4,0_6
verklagte,verklagte,0_4,0_4
verklagte,verklagten,0_4,0_11
verklagten,verklagen,0_11,0_0
verklagten,verklagt,0_11,0_6
verklagten,verklagte,0_11,0_4
verklagten,verklagten,0_11,0_11
verschmachte,verschmachte,0_3,0_3
verschmachte,verschmachtet,0_3,0_9
verschmachte,verschmachten,0_3,0_0
verschmachtet,verschmachte,0_9,0_3
verschmachtet,verschmachtet,0_9,0_9
verschmachtet,verschmachten,0_9,0_0
verschmachten,verschmachte,0_0,0_3
verschmachten,verschmachtet,0_0,0_9
verschmachten,verschmachten,0_0,0_0
dürr,dürr,0_12,0_12
dürr,dürre,0_12,0_3
dürr,dürren,0_12,0_0
dürr,dürrem,0_12,0_7
dürr,dürrer,0_12,0_5
dürr,dürres,0_12,0_8
dürre,dürr,0_3,0_12
dürre,dürre,0_3,0_3
dürre,dürren,0_3,0_0
dürre,dürrem,0_3,0_7
dürre,dürrer,0_3,0_5
dürre,dürres,0_3,0_8
dürren,dürr,0_0,0_12
dürren,dürre,0_0,0_3
dürren,dürren,0_0,0_0
dürren,dürrem,0_0,0_7
dürren,dürrer,0_0,0_5
dürren,dürres,0_0,0_8
dürrem,dürr,0_7,0_12
dürrem,dürre,0_7,0_3
dürrem,dürren,0_7,0_0
dürrem,dürrem,0_7,0_7
dürrem,dürrer,0_7,0_5
dürrem,dürres,0_7,0_8
dürrer,dürr,0_5,0_12
dürrer,dürre,0_5,0_3
dürrer,dürren,0_5,0_0
dürrer,dürrem,0_5,0_7
dürrer,dürrer,0_5,0_5
dürrer,dürres,0_5,0_8
dürres,dürr,0_8,0_12
dürres,dürre,0_8,0_3
dürres,dürren,0_8,0_0
dürres,dürrem,0_8,0_7
dürres,dürrer,0_8,0_5
dürres,dürres,0_8,0_8
erstieg,erstieg,0_12,0_12
erstieg,erstiegen,0_12,0_0
erstiegen,erstieg,0_0,0_12
erstiegen,erstiegen,0_0,0_0
geheiligt,geheiligt,0_12,0_12
geheiligt,geheiligtes,0_12,0_8
geheiligt,geheiligten,0_12,0_0
geheiligtes,geheiligt,0_8,0_12
geheiligtes,geheiligtes,0_8,0_8
geheiligtes,geheiligten,0_8,0_0
geheiligten,geheiligt,0_0,0_12
geheiligten,geheiligtes,0_0,0_8
geheiligten,geheiligten,0_0,0_0
kahl,kahl,0_12,0_12
kahl,kahle,0_12,0_3
kahl,kahlen,0_12,0_0
kahle,kahl,0_3,0_12
kahle,kahle,0_3,0_3
kahle,kahlen,0_3,0_0
kahlen,kahl,0_0,0_12
kahlen,kahle,0_0,0_3
kahlen,kahlen,0_0,0_0
Schmied,Schmied,0_12,0_12
Schmied,Schmiede,0_12,0_3
Schmied,Schmieden,0_12,0_0
Schmiede,Schmied,0_3,0_12
Schmiede,Schmiede,0_3,0_3
Schmiede,Schmieden,0_3,0_0
Schmieden,Schmied,0_0,0_12
Schmieden,Schmiede,0_0,0_3
Schmieden,Schmieden,0_0,0_0
weigere,weigere,0_3,0_3
weigere,weigert,0_3,0_6
weigere,weigerte,0_3,0_4
weigere,weigerten,0_3,0_11
weigere,weigern,0_3,0_0
weigere,weigerst,0_3,0_10
weigert,weigere,0_6,0_3
weigert,weigert,0_6,0_6
weigert,weigerte,0_6,0_4
weigert,weigerten,0_6,0_11
weigert,weigern,0_6,0_0
weigert,weigerst,0_6,0_10
weigerte,weigere,0_4,0_3
weigerte,weigert,0_4,0_6
weigerte,weigerte,0_4,0_4
weigerte,weigerten,0_4,0_11
weigerte,weigern,0_4,0_0
weigerte,weigerst,0_4,0_10
weigerten,weigere,0_11,0_3
weigerten,weigert,0_11,0_6
weigerten,weigerte,0_11,0_4
weigerten,weigerten,0_11,0_11
weigerten,weigern,0_11,0_0
weigerten,weigerst,0_11,0_10
weigern,weigere,0_0,0_3
weigern,weigert,0_0,0_6
weigern,weigerte,0_0,0_4
weigern,weigerten,0_0,0_11
weigern,weigern,0_0,0_0
weigern,weigerst,0_0,0_10
weigerst,weigere,0_10,0_3
weigerst,weigert,0_10,0_6
weigerst,weigerte,0_10,0_4
weigerst,weigerten,0_10,0_11
weigerst,weigern,0_10,0_0
weigerst,weigerst,0_10,0_10
fein,fein,0_12,0_12
fein,feine,0_12,0_3
fein,feines,0_12,0_8
fein,feiner,0_12,0_5
fein,feinem,0_12,0_7
fein,feinen,0_12,0_0
feine,fein,0_3,0_12
feine,feine,0_3,0_3
feine,feines,0_3,0_8
feine,feiner,0_3,0_5
feine,feinem,0_3,0_7
feine,feinen,0_3,0_0
feines,fein,0_8,0_12
feines,feine,0_8,0_3
feines,feines,0_8,0_8
feines,feiner,0_8,0_5
feines,feinem,0_8,0_7
feines,feinen,0_8,0_0
feiner,fein,0_5,0_12
feiner,feine,0_5,0_3
feiner,feines,0_5,0_8
feiner,feiner,0_5,0_5
feiner,feinem,0_5,0_7
feiner,feinen,0_5,0_0
feinem,fein,0_7,0_12
feinem,feine,0_7,0_3
feinem,feines,0_7,0_8
feinem,feiner,0_7,0_5
feinem,feinem,0_7,0_7
feinem,feinen,0_7,0_0
feinen,fein,0_0,0_12
feinen,feine,0_0,0_3
feinen,feines,0_0,0_8
feinen,feiner,0_0,0_5
feinen,feinem,0_0,0_7
feinen,feinen,0_0,0_0
beiseit,beiseit,0_12,0_12
beiseit,beiseits,0_12,0_1
beiseit,beiseite,0_12,0_3
beiseits,beiseit,0_1,0_12
beiseits,beiseits,0_1,0_1
beiseits,beiseite,0_1,0_3
beiseite,beiseit,0_3,0_12
beiseite,beiseits,0_3,0_1
beiseite,beiseite,0_3,0_3
bekriegen,bekriegen,0_0,0_0
bekriegen,bekrieget,0_0,0_6
bekrieget,bekriegen,0_6,0_0
bekrieget,bekrieget,0_6,0_6
Fall,Fall,0_12,0_12
Fall,Fallt,0_12,0_6
Fall,Falle,0_12,0_3
Fall,Falles,0_12,0_8
Fall,Fallen,0_12,0_0
Fall,Fallet,0_12,0_9
Fallt,Fall,0_6,0_12
Fallt,Fallt,0_6,0_6
Fallt,Falle,0_6,0_3
Fallt,Falles,0_6,0_8
Fallt,Fallen,0_6,0_0
Fallt,Fallet,0_6,0_9
Falle,Fall,0_3,0_12
Falle,Fallt,0_3,0_6
Falle,Falle,0_3,0_3
Falle,Falles,0_3,0_8
Falle,Fallen,0_3,0_0
Falle,Fallet,0_3,0_9
Falles,Fall,0_8,0_12
Falles,Fallt,0_8,0_6
Falles,Falle,0_8,0_3
Falles,Falles,0_8,0_8
Falles,Fallen,0_8,0_0
Falles,Fallet,0_8,0_9
Fallen,Fall,0_0,0_12
Fallen,Fallt,0_0,0_6
Fallen,Falle,0_0,0_3
Fallen,Falles,0_0,0_8
Fallen,Fallen,0_0,0_0
Fallen,Fallet,0_0,0_9
Fallet,Fall,0_9,0_12
Fallet,Fallt,0_9,0_6
Fallet,Falle,0_9,0_3
Fallet,Falles,0_9,0_8
Fallet,Fallen,0_9,0_0
Fallet,Fallet,0_9,0_9
Mitknecht,Mitknecht,0_6,0_6
Mitknecht,Mitknechte,0_6,0_4
Mitknechte,Mitknecht,0_4,0_6
Mitknechte,Mitknechte,0_4,0_4
Kaufleute,Kaufleute,0_3,0_3
Kaufleute,Kaufleuten,0_3,0_0
Kaufleuten,Kaufleute,0_0,0_3
Kaufleuten,Kaufleuten,0_0,0_0
Achsen,Achsen,0_0,0_0
lateinische,lateinische,0_3,0_3
lateinische,lateinischer,0_3,0_5
lateinischer,lateinische,0_5,0_3
lateinischer,lateinischer,0_5,0_5
blind,blind,0_12,0_12
blind,blinde,0_12,0_3
blind,blindes,0_12,0_8
blind,blinder,0_12,0_5
blinde,blind,0_3,0_12
blinde,blinde,0_3,0_3
blinde,blindes,0_3,0_8
blinde,blinder,0_3,0_5
blindes,blind,0_8,0_12
blindes,blinde,0_8,0_3
blindes,blindes,0_8,0_8
blindes,blinder,0_8,0_5
blinder,blind,0_5,0_12
blinder,blinde,0_5,0_3
blinder,blindes,0_5,0_8
blinder,blinder,0_5,0_5
erbittere,erbittere,0_3,0_3
erbittere,erbittert,0_3,0_6
erbittere,erbitterten,0_3,0_11
erbittert,erbittere,0_6,0_3
erbittert,erbittert,0_6,0_6
erbittert,erbitterten,0_6,0_11
erbitterten,erbittere,0_11,0_3
erbitterten,erbittert,0_11,0_6
erbitterten,erbitterten,0_11,0_11
versöhne,versöhne,0_3,0_3
versöhne,versöhnen,0_3,0_0
versöhne,versöhnet,0_3,0_9
versöhne,versöhnst,0_3,0_10
versöhne,versöhnt,0_3,0_6
versöhne,versöhnte,0_3,0_4
versöhnen,versöhne,0_0,0_3
versöhnen,versöhnen,0_0,0_0
versöhnen,versöhnet,0_0,0_9
versöhnen,versöhnst,0_0,0_10
versöhnen,versöhnt,0_0,0_6
versöhnen,versöhnte,0_0,0_4
versöhnet,versöhne,0_9,0_3
versöhnet,versöhnen,0_9,0_0
versöhnet,versöhnet,0_9,0_9
versöhnet,versöhnst,0_9,0_10
versöhnet,versöhnt,0_9,0_6
versöhnet,versöhnte,0_9,0_4
versöhnst,versöhne,0_10,0_3
versöhnst,versöhnen,0_10,0_0
versöhnst,versöhnet,0_10,0_9
versöhnst,versöhnst,0_10,0_10
versöhnst,versöhnt,0_10,0_6
versöhnst,versöhnte,0_10,0_4
versöhnt,versöhne,0_6,0_3
versöhnt,versöhnen,0_6,0_0
versöhnt,versöhnet,0_6,0_9
versöhnt,versöhnst,0_6,0_10
versöhnt,versöhnt,0_6,0_6
versöhnt,versöhnte,0_6,0_4
versöhnte,versöhne,0_4,0_3
versöhnte,versöhnen,0_4,0_0
versöhnte,versöhnet,0_4,0_9
versöhnte,versöhnst,0_4,0_10
versöhnte,versöhnt,0_4,0_6
versöhnte,versöhnte,0_4,0_4
Morgenland,Morgenland,0_12,0_12
Morgenland,Morgenlande,0_12,0_3
Morgenland,Morgenlandes,0_12,0_8
Morgenlande,Morgenland,0_3,0_12
Morgenlande,Morgenlande,0_3,0_3
Morgenlande,Morgenlandes,0_3,0_8
Morgenlandes,Morgenland,0_8,0_12
Morgenlandes,Morgenlande,0_8,0_3
Morgenlandes,Morgenlandes,0_8,0_8
